# This file is generated by MACS								
# ARGUMENTS LIST:								
# name = 11889.r1.32.1e-05								
# format = BED								
# ChIP-seq file = /projects/genauhpc/markus/Busslinger/2012Jul02/results/11889.8/macs/../subsample/sample/27277536/11889.r1.bed								
# control file = /projects/genauhpc/markus/Busslinger/2012Jul02/results/11889.8/macs/../subsample/input/22477991/10195.6.pe76.36.bowtie.r1.bed								
# effective genome size = 2.65e+09								
# tag size = 36								
# band width = 300								
# model fold = 17								
# pvalue cutoff = 1.00e-05								
# Ranges for calculating regional lambda are : peak_region,1000,5000,10000								
# unique tags in treatment: 25445452								
# total tags in treatment: 27277536								
# unique tags in control: 19975494								
# total tags in control: 22477991								
# d = 174								
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
chr1	36917037	36917912	876	443	43	94.49	9.37	5.52
chr1	37356227	37357379	1153	309	43	58.88	5.09	18.07
chr1	37552868	37553411	544	223	24	51.68	4.58	28.74
chr1	37602943	37604314	1372	865	76	112.76	6.52	4.93
chr1	37642370	37643580	1211	774	98	308.35	12.93	10.79
chr1	37722124	37723080	957	501	52	80.32	6.6	7.11
chr1	37753545	37754351	807	350	36	56.55	5.11	20.71
chr1	37856334	37856802	469	220	16	52.84	6.6	26.36
chr1	37921031	37922343	1313	651	53	95.47	5.26	5.39
chr1	37946733	37947712	980	517	48	67.53	6.1	11.42
chr1	38054530	38055759	1230	361	43	77.73	5.31	7.44
chr1	38186536	38187573	1038	429	47	120.02	8.09	5.03
chr1	38485509	38486328	820	339	34	52.38	5.72	27.21
chr1	38658468	38659318	851	683	32	61.6	5.19	15.31
chr1	38700208	38701116	909	434	42	71.91	6.22	9.52
chr1	38750670	38751710	1041	476	54	79.26	5.19	7.26
chr1	38837556	38838706	1151	673	40	64	6.15	13.52
chr1	39250919	39251683	765	413	33	98.49	7.85	5.45
chr1	39535019	39536251	1233	766	65	141.76	9.91	5.21
chr1	39543747	39544763	1017	564	64	228.26	13.19	8
chr1	39633493	39634652	1160	311	46	107.62	5.17	5.08
chr1	39671069	39672317	1249	399	55	76.4	5.79	7.71
chr1	39790022	39792132	2111	1447	110	83.71	5.74	6.46
chr1	39792548	39793567	1020	535	43	69.44	5.47	10.42
chr1	39817674	39819340	1667	561	92	157.87	7.9	5.42
chr1	39951489	39953251	1763	956	89	93.93	5.46	5.58
chr1	39956688	39959051	2364	904	88	144.78	5.48	5.23
chr1	40121184	40122144	961	520	40	70.46	4.9	10.02
chr1	40140998	40141984	987	443	44	66.45	6.32	11.89
chr1	40319399	40321002	1604	882	70	70.23	3.98	10.11
chr1	40322867	40324121	1255	469	66	133.91	5.4	5.19
chr1	40412504	40413446	943	473	55	215.6	13.54	7.47
chr1	40416411	40417278	868	404	33	79.38	6.98	7.22
chr1	40449170	40450090	921	341	35	86.78	5.76	5.89
chr1	40461302	40462053	752	490	32	94.48	6.38	5.51
chr1	40521902	40523178	1277	653	74	197.85	8.59	6.8
chr1	40558052	40559414	1363	957	59	130.15	7.52	5.18
chr1	43155274	43156165	892	413	33	60.78	5.94	16.14
chr1	44158804	44159680	877	468	31	72.57	6.66	9.19
chr1	44176133	44177240	1108	701	40	50.85	4.86	30.4
chr1	44204429	44205278	850	537	33	60.49	5.26	16.38
chr1	45851698	45852221	524	249	17	51.83	5.94	28.53
chr1	45948700	45949534	835	386	30	65.31	6.77	12.41
chr1	46909355	46910469	1115	409	41	80.35	5.31	7.11
chr1	46916659	46917475	817	543	33	74.6	5.85	8.37
chr1	51390599	51391394	796	449	29	54.31	8.78	24.06
chr1	51537006	51537769	764	433	30	68.1	5.96	11.17
chr1	51550207	51551399	1193	478	62	153.11	8.14	5.27
chr1	51641343	51642466	1124	459	72	209.12	12.15	7.24
chr1	51987044	51988227	1184	620	99	489.02	24	18.34
chr1	52170298	52171188	891	484	36	84.41	6.94	6.4
chr1	52351084	52351855	772	432	37	103.13	9.28	5.17
chr1	52551765	52552545	781	442	28	75.89	7.43	7.87
chr1	52556421	52557652	1232	366	67	171.82	8.65	5.88
chr1	52568267	52569484	1218	573	107	204.48	11.84	7.15
chr1	52634664	52636002	1339	859	106	412.36	14.53	14.81
chr1	52779030	52780231	1202	636	91	208.8	9.02	7.2
chr1	52783292	52784655	1364	408	63	172.03	7.91	5.9
chr1	52873516	52874877	1362	391	55	113.67	7.66	4.9
chr1	53370219	53371137	919	311	47	147.76	9.47	5.28
chr1	53848172	53848925	754	278	29	53.82	5.26	24.75
chr1	53907563	53908772	1210	443	61	196.94	8.64	6.74
chr1	53913227	53914138	912	437	53	93.18	9.77	5.67
chr1	54050487	54051427	941	479	54	155.39	12.78	5.33
chr1	54159137	54160379	1243	470	60	180.92	10.34	6.22
chr1	54185664	54186683	1020	441	96	401.54	15.27	14.34
chr1	54830745	54831655	911	448	35	57.67	6.8	19.46
chr1	54855116	54855931	816	386	31	51.47	5.26	29.09
chr1	54958480	54959290	811	359	30	51.29	4.85	29.44
chr1	54982119	54983568	1450	601	61	97.18	4.51	5.37
chr1	55143930	55145269	1340	919	52	82.72	5.54	6.64
chr1	55187554	55188836	1283	552	50	118.11	6.52	4.91
chr1	55293487	55294730	1244	624	56	104.75	4.86	5.15
chr1	55462380	55462989	610	173	21	52.04	5.39	27.94
chr1	55475472	55476291	820	457	40	132.95	12.26	5.18
chr1	55585081	55586448	1368	882	155	624.28	16.07	24.72
chr1	55959868	55960786	919	461	48	157.31	14.27	5.39
chr1	57030297	57031024	728	399	24	63.19	5.5	14.25
chr1	57433834	57434816	983	555	39	108.91	8.59	5.06
chr1	57462842	57464033	1192	381	51	162.48	9.35	5.61
chr1	58026687	58027481	795	475	26	59.15	8.02	17.69
chr1	58360203	58361427	1225	599	88	210.4	10.68	7.17
chr1	58448824	58450450	1627	464	83	308.4	13.14	10.83
chr1	58772863	58773620	758	442	40	107.95	7.14	5.1
chr1	58853951	58854887	937	470	41	76.82	5.9	7.56
chr1	58858813	58860196	1384	553	64	82.87	5.92	6.59
chr1	59029651	59031320	1670	185	75	114.85	5.24	4.93
chr1	59219715	59220492	778	430	32	55.54	5.37	22.09
chr1	59538067	59539631	1565	700	78	158.79	6.59	5.48
chr1	59727400	59728209	810	324	29	67.79	6.17	11.37
chr1	59819432	59820341	910	471	36	117.38	8.21	4.87
chr1	59820886	59821615	730	450	27	87.47	7.2	5.93
chr1	59951988	59952916	929	501	38	78.23	6.67	7.3
chr1	59969196	59970381	1186	342	49	79.39	5.29	7.21
chr1	60154561	60155906	1346	384	51	59.58	3.87	17.3
chr1	60215345	60216176	832	363	34	97.43	10.03	5.38
chr1	60237544	60238349	806	463	28	59.58	5.91	17.29
chr1	60465794	60466975	1182	406	69	253.11	9.97	8.85
chr1	60622684	60623481	798	379	33	66.51	4.89	11.87
chr1	60636427	60637326	900	422	43	73.28	8.72	8.89
chr1	60759168	60760132	965	559	42	151.54	10.19	5.29
chr1	60801006	60801628	623	327	22	54.21	6.72	24.12
chr1	60802095	60803193	1099	486	56	161.54	9.36	5.59
chr1	60812447	60813253	807	469	26	55.79	7.26	21.71
chr1	60880495	60881718	1224	709	64	183.92	9.61	6.22
chr1	60965507	60966346	840	496	31	53.82	4.17	24.75
chr1	60968197	60969005	809	435	32	50.84	4.23	30.4
chr1	60972658	60973946	1289	471	77	174.66	7.96	5.94
chr1	61685082	61686106	1025	224	35	52.06	3.96	27.89
chr1	61865725	61866301	577	362	18	52.37	6.6	27.26
chr1	62088117	62088858	742	438	29	62.58	5.74	14.69
chr1	62195216	62195827	612	253	22	68.02	6.85	11.19
chr1	62275584	62276294	711	274	29	79.25	7.52	7.26
chr1	62439226	62440128	903	582	36	73.99	5.01	8.6
chr1	62725104	62726135	1032	544	46	139.96	8.52	5.27
chr1	62743323	62744104	782	394	49	156.84	10.9	5.34
chr1	62747431	62748336	906	532	37	76.07	5.72	7.75
chr1	62749127	62750409	1283	943	54	177.43	7.53	6.01
chr1	62753062	62753823	762	319	30	102.06	8.99	5.21
chr1	62766563	62767994	1432	946	62	164.01	9.94	5.69
chr1	62770886	62771775	890	493	34	58.85	7.03	18.06
chr1	62797512	62798716	1205	685	74	280.73	11.28	10.42
chr1	62820472	62821632	1161	318	43	56.8	4.16	20.46
chr1	63013325	63013946	622	324	23	72.71	6.28	9.13
chr1	64347705	64348702	998	516	63	161.13	9.67	5.58
chr1	64349066	64350064	999	636	44	114.75	8.85	4.95
chr1	64351728	64352910	1183	755	55	145.44	6.25	5.19
chr1	64578190	64579521	1332	939	48	119.31	7.87	4.97
chr1	64663203	64664728	1526	1176	61	81.94	4.31	6.7
chr1	64737691	64738427	737	395	26	71.05	6.45	9.81
chr1	64783938	64784984	1047	711	38	75.79	6.32	7.93
chr1	64913931	64914982	1052	525	67	150.21	9.59	5.34
chr1	64971976	64972988	1013	594	44	137.43	8.92	5.22
chr1	64995635	64996616	982	505	48	180.18	12.97	6.16
chr1	65003015	65003856	842	358	34	106.65	8.25	5.07
chr1	65225293	65226303	1011	542	75	275.23	16.54	10.06
chr1	66325869	66326810	942	475	42	155.12	11.99	5.31
chr1	66862325	66864821	2497	550	183	746.47	23.48	25.42
chr1	70942752	70943510	759	384	22	51.72	7.9	28.68
chr1	71069060	71069830	771	369	29	65.85	5.75	12.13
chr1	71603322	71604413	1092	667	43	103	6.72	5.18
chr1	71984590	71985446	857	475	46	152.52	8.57	5.27
chr1	72260882	72261619	738	412	30	69.57	7.94	10.39
chr1	72282741	72283412	672	430	24	55.75	5.52	21.75
chr1	72301229	72303057	1829	953	76	82.16	4.51	6.67
chr1	73948741	73949981	1241	496	59	144.42	6	5.24
chr1	73969564	73970417	854	358	35	56.55	6.63	20.7
chr1	74016486	74017277	792	430	33	74.97	5.28	8.22
chr1	74044564	74045840	1277	821	69	56.18	4.51	21.18
chr1	74053447	74055922	2476	688	135	246.73	8.42	8.38
chr1	74071392	74072392	1001	598	46	99.81	6.29	5.31
chr1	74080979	74083133	2155	457	110	248.78	9.02	8.42
chr1	74101830	74102750	921	574	85	271.49	10.35	9.87
chr1	74112903	74113737	835	405	31	98.73	12.59	5.45
chr1	74120968	74121840	873	518	33	52.87	4.26	26.25
chr1	74144337	74145667	1331	719	53	89.15	4.51	5.87
chr1	74170603	74172351	1749	278	72	149.15	6.07	5.33
chr1	74180226	74181151	926	491	65	212	15.39	7.28
chr1	74199998	74200952	955	164	33	62.24	4.51	14.85
chr1	74282638	74284033	1396	443	65	136.19	5.64	5.23
chr1	74321146	74322026	881	362	31	52.33	4.1	27.25
chr1	74342000	74342821	822	403	34	60.36	5.21	16.51
chr1	74419383	74420510	1128	689	47	81.62	4.73	6.74
chr1	74432936	74434128	1193	723	54	102.33	5.9	5.13
chr1	74436046	74439204	3159	2726	132	101.35	4.38	5.21
chr1	74552047	74553323	1277	638	46	68.26	4.21	11.08
chr1	74634217	74635328	1112	773	40	50.5	4.16	31.34
chr1	74707591	74708631	1041	538	42	134.09	7.8	5.2
chr1	74848616	74850198	1583	943	87	142.75	6.66	5.21
chr1	74852064	74853976	1913	1274	102	203.77	8.15	7.1
chr1	74876326	74877213	888	437	36	78.61	7.79	7.32
chr1	74918595	74919401	807	332	31	62.79	6.04	14.61
chr1	74928534	74929379	846	445	31	52.74	5.54	26.68
chr1	75138878	75140323	1446	987	58	108.9	4.55	5.06
chr1	75474944	75476509	1566	695	59	105.02	5.96	5.17
chr1	75555769	75556640	872	323	36	66.19	4.3	12.06
chr1	75561932	75563048	1117	585	75	210.51	11.92	7.18
chr1	78699258	78700086	829	444	32	57.23	6.22	19.97
chr1	79694933	79695583	651	404	30	87.11	9.73	5.91
chr1	79696461	79697348	888	520	37	89.19	7.67	5.87
chr1	79699374	79700683	1310	909	49	82.04	5.74	6.66
chr1	79707282	79708802	1521	1017	63	68.88	3.76	10.7
chr1	79772437	79773313	877	378	33	105.67	7.2	5.13
chr1	79799972	79800695	724	320	43	139.19	12.66	5.21
chr1	80623058	80624058	1001	536	50	61.55	6.27	15.37
chr1	80624561	80625252	692	364	22	52.3	7.26	27.25
chr1	80753276	80754474	1199	419	68	152.93	7.31	5.3
chr1	81838268	81839120	853	439	35	61	6.94	15.95
chr1	82196259	82197808	1550	1146	79	184.94	9.4	6.25
chr1	82199131	82200035	905	461	36	73.68	5.99	8.76
chr1	82216959	82217868	910	432	54	243.61	21.4	8.42
chr1	82263748	82264564	817	412	33	74.6	7.1	8.37
chr1	82279430	82280580	1151	330	58	198.84	11.66	6.8
chr1	82286647	82288501	1855	915	81	147.73	6.02	5.28
chr1	82721126	82721859	734	455	29	81.91	6.02	6.69
chr1	82835577	82836551	975	511	46	152.34	10.25	5.3
chr1	84834855	84836831	1977	467	100	376.29	16.19	13.77
chr1	84911386	84912107	722	359	27	75.92	8.35	7.85
chr1	87497116	87497919	804	331	38	52.37	5.04	27.25
chr1	87654289	87655582	1294	745	99	348.76	14.92	11.36
chr1	87659594	87660488	895	505	40	63.18	5.18	14.27
chr1	87705476	87706453	978	473	38	59.56	4.51	17.3
chr1	87790726	87792500	1775	813	65	66.38	4.64	11.94
chr1	87853741	87854838	1098	723	44	84.68	5.64	6.35
chr1	87914725	87915539	815	388	29	54.26	5.72	24.12
chr1	87942261	87943648	1388	994	57	70.66	4.21	9.96
chr1	87944727	87945628	902	384	71	291.76	13.57	10.31
chr1	88087114	88088054	941	540	38	53.62	5.56	25.02
chr1	88159127	88161286	2160	1216	135	416.16	12.24	15.09
chr1	88197435	88198908	1474	442	79	149.26	8.12	5.34
chr1	88305855	88306453	599	202	22	50.64	5.26	31.05
chr1	88330429	88331795	1367	376	54	91.97	4.97	5.71
chr1	88336893	88340130	3238	2364	157	349.56	8.56	11.39
chr1	88368419	88369777	1359	534	95	388.94	18.68	14.33
chr1	88382917	88384599	1683	1214	85	195.87	9.02	6.68
chr1	88400491	88401449	959	676	48	86.59	6.02	5.92
chr1	88423758	88425448	1691	1188	66	65.26	5.36	12.43
chr1	88428031	88429357	1327	306	53	102.48	5.74	5.15
chr1	88478461	88479424	964	489	42	54.5	5.64	23.75
chr1	88925165	88926229	1065	523	91	233.17	11.4	8.19
chr1	89083270	89084615	1346	485	56	77.47	5.48	7.46
chr1	89178046	89178838	793	363	33	60.95	5.99	15.96
chr1	89223346	89224318	973	457	36	100.16	5.98	5.27
chr1	89302653	89303059	407	236	16	50.78	7.02	30.6
chr1	89374790	89375718	929	491	42	50.72	4.72	30.69
chr1	89406483	89407969	1487	631	64	144.72	8.16	5.22
chr1	89477248	89478087	840	450	32	57.3	6.77	19.91
chr1	89532888	89534413	1526	1046	71	74.99	4.84	8.22
chr1	89536131	89537625	1495	867	77	98.16	5.58	5.44
chr1	89546996	89548722	1727	1269	93	103.95	4.06	5.14
chr1	89554076	89555421	1346	930	57	59.45	3.85	17.37
chr1	89662059	89663083	1025	482	51	98.32	6.35	5.45
chr1	89724569	89725480	912	480	45	108.9	8.2	5.06
chr1	89725784	89727081	1298	858	147	579.51	21.75	23.3
chr1	89752824	89753911	1088	688	56	135.16	8.37	5.2
chr1	89762509	89763756	1248	840	48	77.04	4.89	7.53
chr1	89768097	89768878	782	338	31	89.25	7.69	5.87
chr1	89797265	89798293	1029	430	58	83.48	7.12	6.5
chr1	89991234	89992047	814	500	32	77.67	7.22	7.44
chr1	90329871	90330815	945	474	37	80.87	7.25	6.94
chr1	90358738	90359832	1095	543	61	93.96	7.02	5.58
chr1	90370806	90373401	2596	1539	154	430.9	15.23	15.7
chr1	90386117	90386927	811	222	32	58.99	4.07	17.87
chr1	90449715	90450776	1062	636	41	83.81	5.21	6.47
chr1	90483184	90484595	1412	961	98	186.14	7.31	6.26
chr1	90507117	90507944	828	408	28	56.31	4.27	21.06
chr1	90550986	90552636	1651	371	85	300.16	9.67	10.88
chr1	90553502	90554276	775	349	33	105.86	10.08	5.14
chr1	90598184	90599467	1284	903	67	134.19	5.08	5.21
chr1	91198631	91199923	1293	736	138	471.5	17.29	16.67
chr1	91350871	91351687	817	408	43	139.22	10.27	5.21
chr1	91471899	91472723	825	457	43	139.25	11.28	5.21
chr1	91476500	91477386	887	325	31	83.05	6.36	6.56
chr1	91509858	91510526	669	246	24	56.85	5.12	20.36
chr1	92264757	92266033	1277	890	64	153.61	6.77	5.25
chr1	92281491	92282151	661	268	27	53.73	6.22	24.88
chr1	92958868	92959931	1064	539	48	102.09	5.22	5.19
chr1	92965997	92967135	1139	291	51	66.84	4.92	11.66
chr1	93075524	93077036	1513	922	63	58.4	3.82	18.62
chr1	93113043	93114140	1098	497	59	51.27	3.92	29.47
chr1	93131778	93132600	823	414	39	81.02	7.86	6.92
chr1	93146213	93147332	1120	436	50	65.77	4.51	12.16
chr1	93308672	93311108	2437	952	93	181.91	7.59	6.16
chr1	93930541	93931341	801	423	35	95.48	8.57	5.39
chr1	93976318	93977484	1167	694	74	188.63	10.31	6.33
chr1	94003032	94003979	948	561	44	89.03	7.64	5.85
chr1	94112701	94113318	618	441	23	60.74	6.31	16.17
chr1	94162095	94162580	486	193	19	54.78	5.76	23.37
chr1	94202311	94203211	901	510	36	82.11	7.3	6.66
chr1	94228083	94228891	809	328	33	62.36	5.47	14.77
chr1	94267796	94268722	927	510	62	162.08	12.33	5.59
chr1	94544159	94545645	1487	582	74	150.81	5.21	5.34
chr1	94548749	94549690	942	493	57	174.8	12.13	5.9
chr1	94728902	94729709	808	368	26	53.64	6.17	24.91
chr1	94806806	94808151	1346	425	48	61.71	4.65	15.22
chr1	95530891	95532516	1626	339	64	53.12	3.67	25.68
chr1	95564824	95566256	1433	540	65	108.47	6.47	5.01
chr1	95931111	95932455	1345	552	79	141.69	6.37	5.21
chr1	95974734	95975624	891	400	34	85.13	8.64	6.24
chr1	95982690	95983193	504	345	17	54.67	7.2	23.53
chr1	96383363	96384289	927	462	41	87.73	6.77	5.88
chr1	96478453	96479236	784	337	35	124.45	11.28	5.05
chr1	96554724	96555283	560	267	19	56.02	7.9	21.45
chr1	97209732	97210582	851	368	36	110.53	11.41	4.93
chr1	97562357	97563139	783	445	31	52.29	4.51	27.37
chr1	99555840	99556787	948	542	49	155.15	9.93	5.32
chr1	99557162	99557868	707	369	21	53.21	6.36	25.54
chr1	99666267	99667068	802	360	30	78.94	6.02	7.29
chr1	99991325	99992712	1388	629	78	321.14	11.84	11.22
chr1	100026494	100027155	662	243	22	65.53	5.97	12.31
chr1	107252417	107253462	1046	604	40	99.38	6.79	5.32
chr1	107331290	107332327	1038	423	50	149.55	10.13	5.33
chr1	107559655	107561224	1570	239	61	120.43	7.53	5.03
chr1	107683183	107684216	1034	535	46	86.82	7.29	5.9
chr1	107931687	107932569	883	414	64	117.2	7.73	4.87
chr1	108058806	108059760	955	441	49	112.39	8.33	4.95
chr1	108068563	108069788	1226	469	42	76.06	5.41	7.79
chr1	108127436	108128635	1200	685	77	286.85	14.6	10.32
chr1	108213283	108214174	892	423	83	346.21	17.01	11.3
chr1	108411681	108412848	1168	633	86	231.03	8.85	8.13
chr1	108451910	108452721	812	430	57	172.12	10.63	5.91
chr1	108465267	108466207	941	470	73	193.51	10.88	6.53
chr1	108523647	108524449	803	331	24	57.61	7.33	19.47
chr1	108610158	108611266	1109	393	48	66.08	4.16	12.07
chr1	108828286	108829206	921	470	35	112.37	8.99	4.95
chr1	108829986	108830870	885	460	40	150.42	10.79	5.37
chr1	109421996	109422829	834	487	30	56.99	6.97	20.16
chr1	109480260	109481100	841	298	39	112.38	9.02	4.95
chr1	120207488	120208532	1045	403	45	130.43	7.44	5.19
chr1	120285436	120286218	783	407	33	62.36	5.3	14.77
chr1	120930301	120931032	732	333	23	55.81	8.59	21.69
chr1	121373343	121374177	835	469	33	63.76	5.74	13.75
chr1	121399114	121399963	850	168	32	58.92	3.66	18
chr1	121400467	121401954	1488	563	67	156.42	8.43	5.3
chr1	121429504	121430412	909	465	37	55.58	4.51	22.04
chr1	121544656	121545433	778	314	28	87.59	7.8	5.93
chr1	121971918	121972770	853	378	36	98.53	9.87	5.45
chr1	122017549	122018324	776	337	30	58.71	4.51	18.16
chr1	122161693	122162939	1247	377	43	50.17	4.55	32.04
chr1	123327227	123328606	1380	920	54	72.97	4.16	8.99
chr1	123349968	123350988	1021	540	52	170.16	10.45	5.92
chr1	124253517	124254293	777	277	52	88.9	10.08	5.84
chr1	127137754	127139148	1395	707	61	166.51	7.85	5.79
chr1	127159982	127160840	859	435	37	68.87	5.9	10.7
chr1	127331607	127332905	1299	709	59	145.61	6.51	5.2
chr1	129126778	129127654	877	562	33	80.77	5.01	6.93
chr1	129187435	129188720	1286	795	107	410.05	22.2	14.96
chr1	129189662	129190552	891	327	42	78.42	6.45	7.3
chr1	129205629	129206494	866	458	74	192.54	10.69	6.52
chr1	129670275	129671603	1329	948	54	132.32	7.2	5.18
chr1	129726058	129727965	1908	1402	93	144.39	7.52	5.24
chr1	129733015	129733796	782	406	25	53.13	6.79	25.67
chr1	129746467	129747434	968	404	41	95.47	5.85	5.39
chr1	130141054	130141989	936	530	34	68.73	4.51	10.82
chr1	130211162	130211829	668	222	28	90.49	10.62	5.78
chr1	130332353	130333315	963	462	54	202.28	10.41	7.06
chr1	130487054	130490070	3017	725	122	144.09	4.64	5.22
chr1	130729060	130730788	1729	379	69	65.57	3.76	12.3
chr1	132445427	132446299	873	486	38	88.4	11.28	5.86
chr1	132446732	132447917	1186	437	65	157.69	7.29	5.41
chr1	132613634	132614445	812	352	30	50.51	5.55	31.34
chr1	132921988	132923061	1074	753	43	78.87	5.64	7.31
chr1	132992996	132994490	1495	784	63	101.67	4.9	5.19
chr1	132999698	133001300	1603	830	140	410.23	13	14.65
chr1	133006716	133008229	1514	911	92	265.98	9.62	9.75
chr1	133012765	133014293	1529	497	84	246.02	13.7	8.35
chr1	133034294	133035116	823	344	30	52.29	4.43	27.36
chr1	133080467	133081571	1105	593	79	254.91	11.37	9.02
chr1	133096292	133097407	1116	653	64	102.96	6.52	5.17
chr1	133109290	133110155	866	390	43	77.82	8.72	7.42
chr1	133141061	133143199	2139	1349	87	56.9	3.26	20.25
chr1	133150764	133151939	1176	721	118	320.46	13.96	11.18
chr1	133274924	133275737	814	430	28	50.4	6.15	31.58
chr1	133280887	133281651	765	296	35	53.48	6.04	25.16
chr1	133323781	133324581	801	377	30	56.64	5.88	20.57
chr1	133421550	133424367	2818	2368	160	304.24	8.72	10.92
chr1	133424379	133425378	1000	510	46	102.25	8.27	5.14
chr1	133584913	133585945	1033	264	44	61.23	3.91	15.59
chr1	133587528	133588677	1150	616	88	118.33	7.29	4.92
chr1	133608659	133609742	1084	633	47	87.05	5.64	5.92
chr1	133634406	133636329	1924	1267	150	542.95	16.27	19.67
chr1	133661930	133662918	989	667	38	55.33	4.2	22.46
chr1	133844514	133845501	988	465	65	147.7	10.73	5.27
chr1	133856674	133857679	1006	401	45	119.27	7.52	4.96
chr1	133900174	133901186	1013	533	46	112.77	6.97	4.93
chr1	133903861	133905403	1543	346	70	137.26	4.81	5.2
chr1	133998375	133999364	990	451	54	67.04	6.54	11.63
chr1	134029783	134030668	886	534	36	51.76	4.25	28.57
chr1	134034270	134034983	714	231	26	54.73	4.68	23.37
chr1	134045843	134046673	831	379	32	58.28	6.39	18.75
chr1	134053802	134054667	866	376	34	104.83	8.35	5.16
