# This file is generated by MACS								
# ARGUMENTS LIST:								
# name = 9102.4.pe100.36.bowtie.r1.27277536.32.1e-05								
# format = BED								
# ChIP-seq file = /projects/genauhpc/markus/Busslinger/2012Jul02/results/subsamples/9102.4.pe100.36.bowtie.r1.27277536.bed								
# control file = /projects/genauhpc/markus/Busslinger/2012Jul02/results/subsamples/10195.6.pe76.36.bowtie.r1.22477991.bed								
# effective genome size = 2.65e+09								
# tag size = 36								
# band width = 300								
# model fold = 17								
# pvalue cutoff = 1.00e-05								
# Ranges for calculating regional lambda are : peak_region,1000,5000,10000								
# unique tags in treatment: 22718727								
# total tags in treatment: 27277536								
# unique tags in control: 19975494								
# total tags in control: 22477991								
# d = 159								
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
chr1	20941230	20942258	1029	374	56	101.19	6.45	1.48
chr1	21069122	21070029	908	472	48	181.78	10.37	1.33
chr1	21208461	21209172	712	355	32	136.01	12.49	1.29
chr1	21323634	21324024	391	216	22	117.37	13.96	1.35
chr1	21450992	21451532	541	157	19	53.19	5.7	11.1
chr1	21544650	21545111	462	302	24	60.44	5.9	6.69
chr1	21950439	21953108	2670	1402	124	254.1	6.75	1.57
chr1	22009931	22010404	474	155	15	52.36	9.55	11.79
chr1	22539983	22540912	930	425	34	55.27	4.25	9.45
chr1	23389973	23390634	662	338	30	116.07	11.71	1.37
chr1	23680849	23681339	491	257	15	50.5	8.08	13.49
chr1	23768881	23770210	1330	475	62	228.04	10.03	1.4
chr1	23928506	23929580	1075	770	77	438.24	20.58	2.66
chr1	24012239	24012844	606	302	32	121.68	13.27	1.32
chr1	24106282	24107274	993	611	43	156.31	9.99	1.35
chr1	24296047	24296553	507	319	16	52.81	6.38	11.42
chr1	24618248	24623168	4921	2295	5434	624.1	1.88	3.98
chr1	24685274	24685964	691	187	48	274.79	22.05	1.68
chr1	25285323	25285804	482	328	19	77.76	7.35	2.71
chr1	27736120	27736611	492	197	15	50.39	6.61	13.6
chr1	30929788	30931267	1480	946	90	384.37	12.9	2.08
chr1	31005674	31007329	1656	1251	77	291.05	17.64	1.81
chr1	31221412	31222061	650	322	26	70.25	7.7	3.9
chr1	33063749	33064328	580	294	17	53.09	6.61	11.18
chr1	33338299	33339157	859	631	37	55.24	5.88	9.46
chr1	33398972	33399748	777	354	34	102.76	7.52	1.46
chr1	33463610	33464005	396	144	16	69.23	9.55	4.05
chr1	33608055	33608876	822	377	35	94.59	7.04	1.67
chr1	33635128	33636026	899	433	44	119.97	9.94	1.32
chr1	33720489	33721061	573	380	20	50.43	5.32	13.54
chr1	33726075	33727531	1457	441	72	212.38	12.8	1.36
chr1	33776332	33777413	1082	587	50	180.28	11.94	1.31
chr1	33870644	33871700	1057	241	65	280.6	9.41	1.75
chr1	34050879	34051588	710	342	25	84.47	8.51	2.1
chr1	34117442	34117978	537	154	20	50.99	5.03	13.01
chr1	34127129	34127588	460	152	16	51.52	5.66	12.52
chr1	34292783	34293780	998	623	33	75.65	5.64	2.97
chr1	34489525	34490245	721	289	25	62.53	6.64	5.83
chr1	34490766	34492110	1345	976	79	322.56	12.62	1.94
chr1	34495818	34497316	1499	908	73	124.85	6.57	1.31
chr1	34516032	34517344	1313	770	77	215.45	7.66	1.39
chr1	34529091	34530718	1628	442	96	310.65	14.65	1.96
chr1	34538449	34539198	750	418	35	109.52	8.87	1.41
chr1	34567338	34568447	1110	493	55	93.97	5.53	1.69
chr1	34635913	34637157	1245	854	47	128.65	6.76	1.28
chr1	34690489	34691160	672	330	21	54.62	6.76	9.9
chr1	34691587	34692124	538	280	18	55.38	7.07	9.41
chr1	34807464	34808094	631	319	23	72.01	7.54	3.56
chr1	34858445	34859745	1301	174	56	131.17	6.24	1.29
chr1	34862717	34863456	740	402	25	51.18	5.38	12.82
chr1	34899504	34900321	818	427	33	78.74	9.53	2.62
chr1	34906522	34907809	1288	317	82	356.89	17.2	1.88
chr1	35739238	35739800	563	285	19	50.71	5.7	13.29
chr1	35742297	35742964	668	381	25	61.74	8.13	6.17
chr1	35870197	35871122	926	398	45	119.4	8.92	1.34
chr1	35883711	35885393	1683	726	112	322.18	16.9	1.93
chr1	36073538	36074391	854	501	30	52.89	4.61	11.33
chr1	36109285	36110063	779	329	51	193.48	15	1.33
chr1	36121508	36122336	829	429	37	72.37	7.58	3.47
chr1	36124765	36126174	1410	970	59	104.84	5.45	1.45
chr1	36300521	36301525	1005	654	69	176.25	10.41	1.3
chr1	36320760	36321586	827	425	56	158.96	10.71	1.35
chr1	36338433	36339580	1148	382	44	50.56	5.79	13.41
chr1	36352895	36354778	1884	527	97	153.58	6.63	1.33
chr1	36364307	36367213	2907	737	234	558.95	16.08	3.72
chr1	36373751	36374407	657	243	26	67.57	7.04	4.4
chr1	36405362	36405906	545	263	21	52.81	5.82	11.42
chr1	36425332	36426568	1237	750	87	310.38	15.74	1.95
chr1	36431509	36432440	932	548	38	76.23	6.45	2.91
chr1	36465202	36466247	1046	318	36	65.02	4.37	5.22
chr1	36501187	36502426	1240	328	59	113.98	5.68	1.39
chr1	36527835	36528482	648	406	34	73.33	6.49	3.29
chr1	36567921	36570929	3009	1517	156	433.07	11.25	2.75
chr1	36603175	36604723	1549	890	70	85.12	6.14	2.06
chr1	36612446	36615279	2834	1639	139	148.82	5.53	1.32
chr1	36615296	36616526	1231	528	43	51.64	4.25	12.41
chr1	36628353	36629242	890	449	35	60	6.28	6.96
chr1	36636635	36637733	1099	294	51	66.2	5.47	4.9
chr1	36640025	36641341	1317	365	46	70.81	4.81	3.75
chr1	36645173	36646037	865	538	34	66.42	5.1	4.86
chr1	36656937	36657707	771	403	33	54.02	4.17	10.44
chr1	36717236	36717993	758	339	26	53.93	5.87	10.5
chr1	36747962	36748857	896	316	50	159.3	11.06	1.36
chr1	36765731	36767105	1375	783	61	139.84	7.16	1.32
chr1	36822598	36824835	2238	1340	117	159.53	6.33	1.36
chr1	36827543	36828982	1440	447	67	118.85	5.16	1.34
chr1	36842860	36843804	945	414	39	87.34	4.99	1.91
chr1	36853288	36855002	1715	1225	103	259.7	13.08	1.61
chr1	36858357	36859154	798	405	42	106.8	7.9	1.44
chr1	36892352	36893374	1023	298	66	168.68	10.71	1.28
chr1	36917125	36917899	775	383	32	67.88	8.51	4.32
chr1	36995607	36997295	1689	1179	95	170.99	7.99	1.29
chr1	37356289	37357289	1001	376	40	77.97	4.68	2.7
chr1	37365149	37366052	904	694	48	54.67	4.57	9.9
chr1	37369529	37370284	756	406	50	117.45	8.42	1.34
chr1	37424956	37425501	546	389	21	51.54	4.77	12.52
chr1	37436489	37437353	865	431	40	62	6.38	6.09
chr1	37486134	37487597	1464	809	104	349.7	14.03	1.92
chr1	37597349	37598532	1184	618	61	139.39	7.9	1.32
chr1	37603094	37604236	1143	699	91	261.65	11.37	1.63
chr1	37623300	37624030	731	291	32	56.4	4.96	8.83
chr1	37642422	37643533	1112	745	114	488.55	18.81	2.97
chr1	37657294	37658744	1451	515	66	99.41	5.8	1.54
chr1	37706960	37707722	763	325	25	50.91	5.53	13.13
chr1	37722049	37723181	1133	525	84	232.98	12.69	1.43
chr1	37776082	37776988	907	404	40	106.04	5.34	1.45
chr1	37921138	37922720	1583	1099	151	690.75	17.44	5.21
chr1	37928765	37929549	785	428	37	91.49	10.21	1.78
chr1	37946595	37947752	1158	740	79	230.49	11.8	1.41
chr1	38054485	38055740	1256	420	67	228.33	8.67	1.4
chr1	38185764	38187353	1590	356	61	123.19	5.34	1.3
chr1	38683250	38685232	1983	779	85	182.08	6.56	1.33
chr1	38687542	38688091	550	208	36	132.87	10.97	1.28
chr1	38700433	38701380	948	241	44	85.8	7.68	2.05
chr1	38714238	38715508	1271	383	76	120	6.06	1.32
chr1	38721410	38722148	739	444	36	54.21	5	10.18
chr1	38750032	38751540	1509	1162	78	136.16	9.53	1.29
chr1	38752672	38753493	822	366	49	111.64	7.81	1.39
chr1	38823672	38824726	1055	657	36	73.52	9.04	3.26
chr1	38892345	38893795	1451	275	61	149.9	6.66	1.33
chr1	38954431	38955245	815	435	36	74.09	7.9	3.2
chr1	39044027	39045195	1169	574	70	142.42	7.68	1.32
chr1	39135444	39136361	918	497	55	92.92	9.08	1.73
chr1	39250698	39251685	988	353	39	116.99	8.42	1.37
chr1	39359946	39360410	465	184	19	62.92	6.84	5.77
chr1	39424366	39425078	713	222	28	64.93	5.15	5.26
chr1	39534872	39535980	1109	687	42	70.44	4.25	3.84
chr1	39592105	39593161	1057	392	50	108.01	5.92	1.42
chr1	39633152	39634559	1408	1149	95	426.69	16.13	2.65
chr1	39768981	39771945	2965	2071	156	230.26	7.99	1.41
chr1	39790504	39791856	1353	937	72	66.73	5.99	4.75
chr1	39792676	39794123	1448	494	72	167.95	7.54	1.29
chr1	39817804	39818697	894	432	44	84.46	5.18	2.1
chr1	39924524	39925483	960	447	58	182.16	13.19	1.33
chr1	39951959	39952887	929	571	70	219.66	12.44	1.38
chr1	39957016	39958663	1648	552	82	244.85	10.85	1.49
chr1	40083811	40084706	896	469	44	84.17	8.99	2.11
chr1	40111481	40112859	1379	738	57	80.35	5.9	2.46
chr1	40522212	40523114	903	524	47	132.08	8.78	1.29
chr1	40737180	40739452	2273	421	112	181.37	8.99	1.33
chr1	41900226	41900599	374	152	13	51.55	8.08	12.51
chr1	42754358	42755819	1462	1054	63	196.52	7.99	1.33
chr1	42760553	42761353	801	125	26	77.22	5.14	2.79
chr1	42828708	42829489	782	395	27	69.79	6.76	3.95
chr1	42907598	42908777	1180	466	54	135.7	7.37	1.29
chr1	42979545	42980115	571	277	20	53.17	5.53	11.1
chr1	43009406	43010752	1347	404	48	144.7	12.51	1.33
chr1	43148076	43150120	2045	1628	94	204.57	6.52	1.34
chr1	43155081	43156136	1056	452	110	578.26	15.67	4
chr1	43417533	43418914	1382	876	100	287.17	17.63	1.83
chr1	43501985	43503678	1694	1269	77	145.12	5.92	1.34
chr1	43618942	43619813	872	448	43	126.16	11.44	1.3
chr1	43755068	43755931	864	430	45	85.56	7.81	2.06
chr1	43883540	43885222	1683	1350	95	218.14	9.95	1.38
chr1	43954540	43955859	1320	442	71	122.48	9.43	1.32
chr1	43990093	43991533	1441	732	102	430.61	11.78	2.7
chr1	44158858	44159636	779	302	78	505.45	17.36	3.29
chr1	44175315	44177246	1932	1475	87	110.43	5.83	1.4
chr1	44204467	44205234	768	271	65	279.44	11.91	1.74
chr1	44233124	44233825	702	325	23	54.43	6.64	10.03
chr1	45851727	45852702	976	509	41	154.39	10.63	1.34
chr1	46909346	46911482	2137	338	110	355.66	10.51	1.91
chr1	49886708	49887214	507	297	16	54.83	8.08	9.8
chr1	50983590	50985168	1579	472	71	169.87	6.45	1.28
chr1	51161423	51162209	787	350	39	152.37	13.06	1.32
chr1	51357949	51358417	469	331	16	59.27	8.08	7.26
chr1	51374995	51375491	497	334	16	52.18	6.18	11.93
chr1	51534473	51535847	1375	643	98	245.55	8.91	1.5
chr1	51550387	51551437	1051	643	46	129.52	8.35	1.28
chr1	51586442	51587159	718	297	52	184.12	14.61	1.33
chr1	51641439	51642483	1045	470	83	290.69	12.17	1.81
chr1	51932157	51932766	610	217	21	56.81	5.76	8.47
chr1	51971633	51973185	1553	463	91	423.46	12.44	2.59
chr1	51987143	51988040	898	470	77	425.49	21.18	2.63
chr1	52065288	52065853	566	280	25	55.21	6.32	9.57
chr1	52068180	52068704	525	148	30	124.72	12.85	1.31
chr1	52095898	52096669	772	361	43	55.12	4.81	9.62
chr1	52170155	52171030	876	544	68	321.14	16.69	1.92
chr1	52175827	52177003	1177	408	81	326.8	14.81	1.94
chr1	52202892	52203583	692	174	26	50.77	4.29	13.23
chr1	52206796	52208122	1327	924	52	101.09	5.5	1.48
chr1	52288714	52290591	1878	1618	112	441.86	13.25	2.66
chr1	52345457	52346457	1001	207	44	82.52	5.53	2.24
chr1	52487884	52488732	849	230	34	78.35	6.1	2.66
chr1	52556218	52557986	1769	542	93	258.2	9.22	1.59
chr1	52568470	52569304	835	372	56	82.01	7.04	2.28
chr1	52577860	52578623	764	375	36	81.08	6.32	2.35
chr1	52634749	52635890	1142	677	60	186.2	8.73	1.33
chr1	52687174	52688172	999	348	59	214.38	13.07	1.38
chr1	52709973	52710601	629	408	32	59.66	6.32	7.04
chr1	52711773	52712489	717	469	49	200.18	15.52	1.34
chr1	52783149	52784589	1441	606	90	379.72	14.4	2.06
chr1	52873859	52874795	937	654	70	268.02	10.63	1.66
chr1	52901532	52902443	912	589	36	51.85	4.06	12.2
chr1	53008912	53010313	1402	931	57	64.26	4.23	5.41
chr1	53353398	53354336	939	517	64	263.87	11.56	1.67
chr1	53370065	53370869	805	407	48	164.46	15.67	1.29
chr1	53409083	53409866	784	503	43	181.55	15.48	1.33
chr1	53670133	53670693	561	410	18	61.08	6.61	6.45
chr1	53763241	53764019	779	259	32	101.49	8.8	1.48
chr1	53841132	53842198	1067	747	47	137.45	7.52	1.3
chr1	53847986	53849312	1327	416	63	142.2	9.78	1.32
chr1	53907528	53908797	1270	847	75	309.94	18.24	1.95
chr1	54185517	54186604	1088	621	82	313.54	14.46	1.96
chr1	54250974	54252445	1472	992	77	267.66	9.95	1.68
chr1	54348330	54348859	530	377	17	58.41	6.61	7.7
chr1	54495358	54496293	936	496	51	93.49	7.07	1.71
chr1	54613842	54615172	1331	700	68	173.51	9.36	1.29
chr1	54898553	54899163	611	267	36	88.58	7.1	1.88
chr1	54970231	54970701	471	152	23	66.09	7.03	4.92
chr1	54982317	54984016	1700	432	94	253.08	8.38	1.59
chr1	55083688	55084873	1186	707	87	318.56	14.66	1.88
chr1	55109125	55110370	1246	800	58	169.35	8.27	1.29
chr1	55144031	55145590	1560	889	108	425.11	14.07	2.62
chr1	55187561	55188905	1345	357	88	400.49	18.63	2.32
chr1	55266965	55268252	1288	263	75	133.5	8.31	1.28
chr1	55272128	55272850	723	370	44	119.97	10.9	1.32
chr1	55283198	55283924	727	387	28	105.26	6.61	1.45
chr1	55293630	55294980	1351	405	128	564.06	20.74	3.64
chr1	55418976	55420893	1918	1705	103	384.59	15.03	2.08
chr1	55462074	55464237	2164	425	110	382.06	9.62	2.1
chr1	55475582	55476129	548	395	22	60.51	9.6	6.67
chr1	55585113	55586402	1290	783	91	280.19	12.53	1.75
chr1	55614491	55615236	746	313	35	103.68	10.37	1.45
chr1	55661850	55662574	725	339	26	65.67	6.51	5.01
chr1	55795309	55796409	1101	677	57	158.99	11.59	1.35
chr1	56889589	56890803	1215	177	55	162.57	11.06	1.31
chr1	57028106	57028795	690	366	26	96.78	11.76	1.63
chr1	57028852	57030867	2016	956	103	440.16	10.29	2.72
chr1	57033867	57035042	1176	357	57	193.91	10.05	1.33
chr1	57433923	57435305	1383	458	82	372.18	18.43	1.98
chr1	57462845	57464080	1236	731	87	392.83	12.72	2.21
chr1	57477615	57478533	919	610	32	67.56	5.53	4.4
chr1	57831489	57832429	941	495	41	88.1	5.03	1.91
chr1	57896521	57897306	786	401	32	79.41	10.67	2.55
chr1	58012997	58013669	673	367	23	73.08	8.82	3.31
chr1	58026188	58027457	1270	864	67	214.59	9.53	1.39
chr1	58052444	58053343	900	416	46	195.5	13.49	1.32
chr1	58086351	58087162	812	574	26	54.49	6.17	9.99
chr1	58155903	58156555	653	339	29	54.92	7.22	9.72
chr1	58272059	58272876	818	341	42	72.21	8.29	3.5
chr1	58357501	58358473	973	426	51	70.99	6.42	3.71
chr1	58360198	58361608	1411	523	118	365.68	20.94	1.88
chr1	58448812	58450286	1475	841	121	700.21	29.67	5.54
chr1	58501727	58502755	1029	609	71	162.99	10.19	1.3
chr1	58561124	58562286	1163	760	61	259.39	13.49	1.61
chr1	58709211	58710105	895	505	36	111.39	8.42	1.4
chr1	58772801	58773449	649	373	27	64.24	5.38	5.4
chr1	58851694	58853008	1315	788	63	56.94	4.02	8.39
chr1	58854207	58854817	611	242	27	64.84	8.93	5.3
chr1	58858855	58859926	1072	511	71	178.54	8.13	1.33
chr1	59013104	59013562	459	151	26	84.11	8.51	2.12
chr1	59029732	59031158	1427	998	102	255.85	6.76	1.59
chr1	59176401	59177649	1249	587	63	173.81	7.77	1.29
chr1	59293570	59294421	852	395	43	127.03	7.97	1.29
chr1	59377744	59378326	583	151	20	71.07	6.61	3.7
chr1	59378949	59379775	827	454	32	113.16	9.1	1.4
chr1	59389706	59390454	749	393	54	199.44	10.39	1.34
chr1	59497078	59497741	664	253	24	65.3	6.21	5.12
chr1	59537880	59541270	3391	433	151	326.31	6.09	1.94
chr1	59663455	59664363	909	201	29	58.37	6.08	7.71
chr1	59726943	59728194	1252	778	94	463.58	22.7	2.7
chr1	59741636	59742254	619	170	26	98.87	10.12	1.56
chr1	59819514	59821170	1657	476	77	312.97	10.29	1.95
chr1	59969169	59971097	1929	848	95	220.08	6.38	1.38
chr1	60154691	60155655	965	381	66	216.26	13.43	1.38
chr1	60236789	60238060	1272	385	71	200.75	8.51	1.33
chr1	60399688	60400736	1049	607	69	154.98	7.68	1.34
chr1	60465874	60467311	1438	408	81	316.43	11.06	1.89
chr1	60622660	60624458	1799	534	101	307.38	8.76	1.95
chr1	60854494	60855206	713	363	27	53.51	6.91	10.76
chr1	60855476	60856223	748	363	31	51.22	6.77	12.79
chr1	60972654	60973643	990	554	42	63.88	4.84	5.51
chr1	61685457	61686316	860	496	43	157.63	9.9	1.33
chr1	62067628	62068012	385	198	14	53.02	7.51	11.24
chr1	62749075	62750627	1553	383	75	267.8	9.22	1.66
chr1	62752457	62753751	1295	729	68	293.55	13.13	1.81
chr1	63159453	63160190	738	339	24	60.36	6.47	6.72
chr1	63222925	63224305	1381	455	59	115.39	5.1	1.37
chr1	63294697	63295507	811	267	30	68.82	5.98	4.12
chr1	63303814	63304293	480	249	17	53.68	8.6	10.64
chr1	63319722	63320478	757	340	29	70.9	5.03	3.74
chr1	63368715	63369293	579	319	19	65.23	10.29	5.14
chr1	63491914	63493329	1416	865	61	179.41	6.77	1.32
chr1	64167597	64169316	1720	921	66	126.2	7.21	1.3
chr1	64341397	64342508	1112	715	44	88.68	8.29	1.89
chr1	64347593	64348862	1270	463	58	112.36	7.11	1.4
chr1	64349187	64349867	681	295	26	64.61	9.05	5.36
chr1	64351813	64352673	861	326	32	85.54	6.21	2.06
chr1	64354848	64355715	868	440	41	50.54	5.53	13.42
chr1	64483562	64484190	629	393	19	59.78	8.82	7.02
chr1	64578292	64579879	1588	415	86	313.41	8.46	1.96
chr1	64579912	64580406	495	249	21	74.88	9.87	3.09
chr1	64663293	64664766	1474	568	119	449.64	16.26	2.69
chr1	64716144	64716673	530	242	19	52.57	5.53	11.59
chr1	64736764	64738484	1721	1338	80	273.9	19.05	1.67
chr1	64781143	64784828	3686	2730	178	446.29	7.58	2.63
chr1	64844846	64845158	313	157	14	52.03	7.74	12.05
chr1	64914138	64914888	751	313	32	51.79	4.84	12.27
chr1	64972117	64972984	868	308	52	237.88	17.16	1.44
chr1	64995803	64996497	695	366	22	68.9	9.34	4.1
chr1	65002905	65003828	924	461	39	141.37	10.79	1.32
chr1	65020903	65021680	778	524	30	70.08	5.63	3.91
chr1	65224581	65226353	1773	1263	133	487.97	22.97	2.96
chr1	65232644	65233918	1275	562	70	233.51	8.55	1.42
chr1	66514769	66515350	582	264	18	58.78	5.88	7.52
chr1	66746941	66748036	1096	468	63	202.94	11.52	1.34
chr1	66862269	66864971	2703	526	206	986.78	28.23	12.26
chr1	66909229	66910130	902	187	47	167.51	8.76	1.28
chr1	67572343	67572822	480	326	16	57.94	7.35	7.93
chr1	68605016	68605657	642	416	18	52.77	7.35	11.44
chr1	69734022	69734662	641	297	36	156.65	11.71	1.34
chr1	71148736	71150102	1367	993	70	230.25	11.17	1.41
chr1	71222810	71223328	519	180	16	53.52	6.61	10.76
chr1	71603249	71604148	900	464	59	236.31	14.08	1.43
chr1	71699057	71700142	1086	815	56	111.49	6.57	1.4
chr1	72003324	72004062	739	403	27	62.9	9.55	5.77
chr1	72188443	72189002	560	299	19	67.46	8.08	4.43
chr1	72258019	72259245	1227	839	74	295.13	14.38	1.83
chr1	72260670	72262363	1694	637	94	310.53	12.8	1.96
chr1	72282604	72283448	845	425	51	212.66	13.54	1.37
chr1	72290156	72291275	1120	456	59	131.85	7.37	1.29
chr1	72301118	72302919	1802	1056	90	169.8	6.27	1.28
chr1	72330372	72331190	819	547	38	101.37	6.45	1.49
chr1	72353563	72354403	841	465	43	139.08	11.56	1.32
chr1	72474724	72476915	2192	632	126	343.87	9.78	1.85
chr1	72536523	72537762	1240	244	93	420.41	13.56	2.53
chr1	72581178	72581816	639	316	24	90.18	8.82	1.86
chr1	72629394	72630549	1156	695	59	129.73	9.4	1.28
chr1	72792742	72793607	866	506	38	114.7	9.22	1.37
chr1	72870962	72872422	1461	1139	60	181.48	9.33	1.33
chr1	72912466	72913100	635	204	23	61.76	7.19	6.17
chr1	72918235	72918720	486	158	17	63.65	5.88	5.57
chr1	73006727	73007206	480	199	18	56.92	8.24	8.39
chr1	73090021	73090781	761	355	26	72.1	7.99	3.52
chr1	73870812	73871881	1070	286	64	195.81	7.61	1.32
chr1	73886330	73886975	646	354	22	53.89	6.51	10.52
chr1	73957089	73957926	838	371	31	58.86	4.15	7.49
chr1	73960676	73961550	875	500	40	121.57	7.9	1.32
chr1	73971320	73972279	960	520	41	83.83	5.78	2.15
chr1	73998749	74000975	2227	840	81	50.97	3.07	13.01
chr1	74012610	74013483	874	385	61	134.66	6.08	1.29
chr1	74059971	74060526	556	422	22	55.38	5.24	9.41
chr1	74071337	74072032	696	311	33	92.19	6.45	1.75
chr1	74082982	74083758	777	440	29	74.54	6.44	3.16
chr1	74114580	74116245	1666	404	57	156.4	9.93	1.33
chr1	74120976	74121746	771	313	28	52.3	4.35	11.85
chr1	74140929	74141705	777	364	27	58.76	6.03	7.53
chr1	74143016	74143619	604	362	22	62.23	7.41	6
