name	chr	start	end	width	kwidth	read_region_sum	reads_per_width	reads_per_mil	reads_per_milp	reads_per_kwidth	reads_per_kwidthp	reads_per_kwidth_per_mil	reads_per_kwidth_per_milp	reads_per_kwidth_per_milp_l	norm_sigmoid	norm_zscore
isl_117	chr10	116571378	116571445	68	0.068	2	0.0294117647058824	20.1914146105076	1614.20500403551	29.4117647058824	23738.3088828752	296.932567801583	23738.3088828752	548811.875962343	0.599696875376913	0.691769407975829
isl_118	chr10	116587946	116588008	63	0.063	2	0.0317460317460317	20.1914146105076	1614.20500403551	31.7460317460317	25622.3016513573	320.498644611232	25622.3016513573	592368.374054592	0.599696875376913	0.691769407975829
isl_119	chr10	116589018	116589084	67	0.067	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_12	chr1	60916190	60916236	47	0.047	2	0.0425531914893617	20.1914146105076	1614.20500403551	42.5531914893617	34344.7873199045	429.604566181013	34344.7873199045	794025.692881688	0.599696875376913	0.691769407975829
isl_120	chr10	116630006	116630065	60	0.06	3	0.05	30.2871219157614	2421.30750605327	50	40355.1251008878	504.78536526269	40355.1251008878	932980.189135983	0.647097090870364	0.770759857440744
isl_121	chr10	116641105	116641160	56	0.056	2	0.0357142857142857	20.1914146105076	1614.20500403551	35.7142857142857	28825.089357777	360.560975187636	28825.089357777	666414.420811416	0.599696875376913	0.691769407975829
isl_122	chr10	116679807	116679860	54	0.054	2	0.037037037037037	20.1914146105076	1614.20500403551	37.037037037037	29892.6852599169	373.915085379771	29892.6852599169	691096.436397024	0.599696875376913	0.691769407975829
isl_123	chr10	116686130	116686171	42	0.042	2	0.0476190476190476	20.1914146105076	1614.20500403551	47.6190476190476	38433.452477036	480.747966916848	38433.452477036	888552.561081889	0.599696875376913	0.691769407975829
isl_124	chr10	116718729	116718777	49	0.049	2	0.0408163265306122	20.1914146105076	1614.20500403551	40.8163265306122	32942.9592660309	412.069685928727	32942.9592660309	761616.480927333	0.599696875376913	0.691769407975829
isl_125	chr10	116772666	116772709	44	0.044	2	0.0454545454545455	20.1914146105076	1614.20500403551	45.4545454545455	36686.4773644435	458.895786602446	36686.4773644435	848163.808305439	0.599696875376913	0.691769407975829
isl_126	chr10	116813030	116813077	48	0.048	2	0.0416666666666667	20.1914146105076	1614.20500403551	41.6666666666667	33629.2709174065	420.654471052242	33629.2709174065	777483.490946653	0.599696875376913	0.691769407975829
isl_127	chr10	116858461	116858520	60	0.06	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_128	chr10	116872360	116872404	45	0.045	2	0.0444444444444444	20.1914146105076	1614.20500403551	44.4444444444444	35871.2223119003	448.698102455725	35871.2223119003	829315.723676429	0.599696875376913	0.691769407975829
isl_129	chr10	116893388	116893434	47	0.047	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_13	chr1	73065677	73065743	67	0.067	2	0.0298507462686567	20.1914146105076	1614.20500403551	29.8507462686567	24092.61200053	301.364397171755	24092.61200053	557003.097991632	0.599696875376913	0.691769407975829
isl_130	chr10	116902560	116902619	60	0.06	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_131	chr10	116947899	116947952	54	0.054	2	0.037037037037037	20.1914146105076	1614.20500403551	37.037037037037	29892.6852599169	373.915085379771	29892.6852599169	691096.436397024	0.599696875376913	0.691769407975829
isl_132	chr10	116949295	116949360	66	0.066	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_133	chr10	116958369	116958421	53	0.053	2	0.0377358490566038	20.1914146105076	1614.20500403551	37.7358490566038	30456.6981893493	380.97008699071	30456.6981893493	704135.991800742	0.599696875376913	0.691769407975829
isl_134	chr10	116962729	116962786	58	0.058	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_135	chr10	116969509	116969557	49	0.049	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_136	chr10	117015732	117015787	56	0.056	2	0.0357142857142857	20.1914146105076	1614.20500403551	35.7142857142857	28825.089357777	360.560975187636	28825.089357777	666414.420811416	0.599696875376913	0.691769407975829
isl_137	chr10	117029555	117029624	70	0.07	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_138	chr10	117049821	117049869	49	0.049	2	0.0408163265306122	20.1914146105076	1614.20500403551	40.8163265306122	32942.9592660309	412.069685928727	32942.9592660309	761616.480927333	0.599696875376913	0.691769407975829
isl_139	chr10	117109012	117109059	48	0.048	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_14	chr1	75764254	75764317	64	0.064	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_140	chr10	117133293	117133365	73	0.073	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_141	chr10	117146980	117147048	69	0.069	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_142	chr10	117147210	117147267	58	0.058	1	0.0172413793103448	10.0957073052538	807.102502017756	17.2413793103448	13915.5603796165	174.0639190561	13915.5603796165	321717.306598615	0.550354005705923	0.599696875376913
isl_143	chr10	117147644	117147710	67	0.067	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_144	chr10	117148341	117148396	56	0.056	2	0.0357142857142857	20.1914146105076	1614.20500403551	35.7142857142857	28825.089357777	360.560975187636	28825.089357777	666414.420811416	0.599696875376913	0.691769407975829
isl_145	chr10	117150544	117150630	87	0.087	2	0.0229885057471264	20.1914146105076	1614.20500403551	22.9885057471264	18554.0805061553	232.085225408133	18554.0805061553	428956.408798153	0.599696875376913	0.691769407975829
isl_146	chr10	117153932	117154017	86	0.086	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_147	chr10	117154654	117154705	52	0.052	2	0.0384615384615385	20.1914146105076	1614.20500403551	38.4615384615385	31042.4039237599	388.296434817454	31042.4039237599	717677.068566141	0.599696875376913	0.691769407975829
isl_148	chr10	117155312	117155364	53	0.053	2	0.0377358490566038	20.1914146105076	1614.20500403551	37.7358490566038	30456.6981893493	380.97008699071	30456.6981893493	704135.991800742	0.599696875376913	0.691769407975829
isl_149	chr10	117155575	117155630	56	0.056	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_15	chr1	81754818	81754880	63	0.063	2	0.0317460317460317	20.1914146105076	1614.20500403551	31.7460317460317	25622.3016513573	320.498644611232	25622.3016513573	592368.374054592	0.599696875376913	0.691769407975829
isl_150	chr10	117156166	117156212	47	0.047	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_151	chr10	117156422	117156466	45	0.045	1	0.0222222222222222	10.0957073052538	807.102502017756	22.2222222222222	17935.6111559501	224.349051227862	17935.6111559501	414657.861838215	0.550354005705923	0.599696875376913
isl_152	chr10	117158951	117158990	40	0.04	1	0.025	10.0957073052538	807.102502017756	25	20177.5625504439	252.392682631345	20177.5625504439	466490.094567992	0.550354005705923	0.599696875376913
isl_153	chr10	117160691	117160735	45	0.045	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_154	chr10	117213235	117213273	39	0.039	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_155	chr10	117229462	117229501	40	0.04	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_156	chr10	117258087	117258135	49	0.049	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_157	chr10	117259002	117259072	71	0.071	2	0.028169014084507	20.1914146105076	1614.20500403551	28.169014084507	22735.281746979	284.386121274755	22735.281746979	525622.641766751	0.599696875376913	0.691769407975829
isl_158	chr10	117292301	117292358	58	0.058	2	0.0344827586206897	20.1914146105076	1614.20500403551	34.4827586206897	27831.120759233	348.1278381122	27831.120759233	643434.61319723	0.599696875376913	0.691769407975829
isl_159	chr10	117334420	117334465	46	0.046	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_16	chr1	89200899	89200955	57	0.057	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_160	chr10	117342879	117342937	59	0.059	2	0.0338983050847458	20.1914146105076	1614.20500403551	33.8983050847458	27359.4068480595	342.22736627979	27359.4068480595	632528.941787107	0.599696875376913	0.691769407975829
isl_161	chr10	117343722	117343764	43	0.043	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_162	chr10	117370267	117370304	38	0.038	1	0.0263157894736842	10.0957073052538	807.102502017756	26.3157894736842	21239.5395267831	265.676508032995	21239.5395267831	491042.204808412	0.550354005705923	0.599696875376913
isl_163	chr10	117388650	117388694	45	0.045	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_164	chr10	117420630	117420674	45	0.045	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_165	chr10	117427964	117428014	51	0.051	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_166	chr10	117446641	117446702	62	0.062	2	0.032258064516129	20.1914146105076	1614.20500403551	32.258064516129	26035.5645812179	325.667977588832	26035.5645812179	601922.702668376	0.599696875376913	0.691769407975829
isl_167	chr10	117451256	117451321	66	0.066	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_168	chr10	117472740	117472802	63	0.063	2	0.0317460317460317	20.1914146105076	1614.20500403551	31.7460317460317	25622.3016513573	320.498644611232	25622.3016513573	592368.374054592	0.599696875376913	0.691769407975829
isl_169	chr10	117502523	117502564	42	0.042	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_17	chr1	90959611	90959652	42	0.042	2	0.0476190476190476	20.1914146105076	1614.20500403551	47.6190476190476	38433.452477036	480.747966916848	38433.452477036	888552.561081889	0.599696875376913	0.691769407975829
isl_170	chr10	117538354	117538393	40	0.04	2	0.05	20.1914146105076	1614.20500403551	50	40355.1251008878	504.78536526269	40355.1251008878	932980.189135983	0.599696875376913	0.691769407975829
isl_171	chr10	117558440	117558480	41	0.041	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_172	chr10	117558485	117558540	56	0.056	2	0.0357142857142857	20.1914146105076	1614.20500403551	35.7142857142857	28825.089357777	360.560975187636	28825.089357777	666414.420811416	0.599696875376913	0.691769407975829
isl_173	chr10	117589139	117589181	43	0.043	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_174	chr10	117609297	117609363	67	0.067	2	0.0298507462686567	20.1914146105076	1614.20500403551	29.8507462686567	24092.61200053	301.364397171755	24092.61200053	557003.097991632	0.599696875376913	0.691769407975829
isl_175	chr10	117839868	117839939	72	0.072	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_176	chr10	117840741	117840780	40	0.04	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_177	chr10	117858535	117858598	64	0.064	2	0.03125	20.1914146105076	1614.20500403551	31.25	25221.9531880549	315.490853289181	25221.9531880549	583112.618209989	0.599696875376913	0.691769407975829
isl_178	chr10	117877581	117877623	43	0.043	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_179	chr10	117910387	117910425	39	0.039	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_18	chr1	91973766	91973815	50	0.05	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_180	chr10	117926925	117926969	45	0.045	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_181	chr10	118032230	118032282	53	0.053	2	0.0377358490566038	20.1914146105076	1614.20500403551	37.7358490566038	30456.6981893493	380.97008699071	30456.6981893493	704135.991800742	0.599696875376913	0.691769407975829
isl_182	chr10	125059814	125059862	49	0.049	2	0.0408163265306122	20.1914146105076	1614.20500403551	40.8163265306122	32942.9592660309	412.069685928727	32942.9592660309	761616.480927333	0.599696875376913	0.691769407975829
isl_183	chr10	128441159	128441201	43	0.043	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_184	chr11	3004574	3004612	39	0.039	1	0.0256410256410256	10.0957073052538	807.102502017756	25.6410256410256	20694.9359491732	258.864289878303	20694.9359491732	478451.379044094	0.550354005705923	0.599696875376913
isl_185	chr11	3032791	3032829	39	0.039	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_186	chr11	3037146	3037215	70	0.07	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_187	chr11	3043213	3043276	64	0.064	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_188	chr11	3046342	3046381	40	0.04	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_189	chr11	3057888	3057944	57	0.057	2	0.0350877192982456	20.1914146105076	1614.20500403551	35.0877192982456	28319.3860357107	354.235344043993	28319.3860357107	654722.939744549	0.599696875376913	0.691769407975829
isl_19	chr1	94557060	94557111	52	0.052	2	0.0384615384615385	20.1914146105076	1614.20500403551	38.4615384615385	31042.4039237599	388.296434817454	31042.4039237599	717677.068566141	0.599696875376913	0.691769407975829
isl_190	chr11	3058499	3058561	63	0.063	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_191	chr11	3058938	3058994	57	0.057	2	0.0350877192982456	20.1914146105076	1614.20500403551	35.0877192982456	28319.3860357107	354.235344043993	28319.3860357107	654722.939744549	0.599696875376913	0.691769407975829
isl_192	chr11	3060186	3060256	71	0.071	2	0.028169014084507	20.1914146105076	1614.20500403551	28.169014084507	22735.281746979	284.386121274755	22735.281746979	525622.641766751	0.599696875376913	0.691769407975829
isl_193	chr11	3060652	3060716	65	0.065	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_194	chr11	3062514	3062584	71	0.071	2	0.028169014084507	20.1914146105076	1614.20500403551	28.169014084507	22735.281746979	284.386121274755	22735.281746979	525622.641766751	0.599696875376913	0.691769407975829
isl_195	chr11	3065477	3065538	62	0.062	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_196	chr11	3065760	3065819	60	0.06	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_197	chr11	3070836	3070893	58	0.058	2	0.0344827586206897	20.1914146105076	1614.20500403551	34.4827586206897	27831.120759233	348.1278381122	27831.120759233	643434.61319723	0.599696875376913	0.691769407975829
isl_198	chr11	3084546	3084602	57	0.057	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_199	chr11	7011881	7011929	49	0.049	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_2	chr1	12634889	12634925	37	0.037	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_20	chr1	94699438	94699505	68	0.068	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_200	chr11	9020759	9020798	40	0.04	2	0.05	20.1914146105076	1614.20500403551	50	40355.1251008878	504.78536526269	40355.1251008878	932980.189135983	0.599696875376913	0.691769407975829
isl_201	chr11	23646873	23646926	54	0.054	2	0.037037037037037	20.1914146105076	1614.20500403551	37.037037037037	29892.6852599169	373.915085379771	29892.6852599169	691096.436397024	0.599696875376913	0.691769407975829
isl_202	chr11	25000160	25000200	41	0.041	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_203	chr11	51158347	51158401	55	0.055	2	0.0363636363636364	20.1914146105076	1614.20500403551	36.3636363636364	29349.1818915548	367.116629281957	29349.1818915548	678531.046644351	0.599696875376913	0.691769407975829
isl_204	chr11	57867192	57867230	39	0.039	2	0.0512820512820513	20.1914146105076	1614.20500403551	51.2820512820513	41389.8718983465	517.728579756605	41389.8718983465	956902.758088188	0.599696875376913	0.691769407975829
isl_205	chr11	63551517	63551569	53	0.053	2	0.0377358490566038	20.1914146105076	1614.20500403551	37.7358490566038	30456.6981893493	380.97008699071	30456.6981893493	704135.991800742	0.599696875376913	0.691769407975829
isl_206	chr11	67343488	67343552	65	0.065	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_207	chr11	67352762	67352820	59	0.059	2	0.0338983050847458	20.1914146105076	1614.20500403551	33.8983050847458	27359.4068480595	342.22736627979	27359.4068480595	632528.941787107	0.599696875376913	0.691769407975829
isl_208	chr11	68289803	68289872	70	0.07	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_209	chr11	75794254	75794301	48	0.048	2	0.0416666666666667	20.1914146105076	1614.20500403551	41.6666666666667	33629.2709174065	420.654471052242	33629.2709174065	777483.490946653	0.599696875376913	0.691769407975829
isl_21	chr1	110943849	110943898	50	0.05	2	0.04	20.1914146105076	1614.20500403551	40	32284.1000807102	403.828292210152	32284.1000807102	746384.151308786	0.599696875376913	0.691769407975829
isl_210	chr11	81994995	81995059	65	0.065	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_211	chr11	83396010	83396048	39	0.039	2	0.0512820512820513	20.1914146105076	1614.20500403551	51.2820512820513	41389.8718983465	517.728579756605	41389.8718983465	956902.758088188	0.599696875376913	0.691769407975829
isl_212	chr11	84186539	84186607	69	0.069	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_213	chr11	86191588	86191643	56	0.056	2	0.0357142857142857	20.1914146105076	1614.20500403551	35.7142857142857	28825.089357777	360.560975187636	28825.089357777	666414.420811416	0.599696875376913	0.691769407975829
isl_214	chr11	86420658	86420717	60	0.06	2	0.0333333333333333	20.1914146105076	1614.20500403551	33.3333333333333	26903.4167339252	336.523576841794	26903.4167339252	621986.792757322	0.599696875376913	0.691769407975829
isl_215	chr11	96392438	96392479	42	0.042	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_216	chr11	96903720	96903759	40	0.04	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_217	chr11	101846463	101846518	56	0.056	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_218	chr11	104732513	104732564	52	0.052	2	0.0384615384615385	20.1914146105076	1614.20500403551	38.4615384615385	31042.4039237599	388.296434817454	31042.4039237599	717677.068566141	0.599696875376913	0.691769407975829
isl_219	chr11	105006495	105006563	69	0.069	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_22	chr1	114602595	114602659	65	0.065	2	0.0307692307692308	20.1914146105076	1614.20500403551	30.7692307692308	24833.9231390079	310.637147853963	24833.9231390079	574141.654852913	0.599696875376913	0.691769407975829
isl_220	chr11	116704222	116704274	53	0.053	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_221	chr11	118327844	118327882	39	0.039	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_222	chr11	120352645	120352711	67	0.067	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_223	chr12	3110006	3110091	86	0.086	16	0.186046511627907	161.531316884061	12913.6400322841	186.046511627907	150158.605026559	1878.27112655885	150158.605026559	3471554.19213389	0.962079965543697	0.998448895900187
isl_224	chr12	6308199	6308271	73	0.073	2	0.0273972602739726	20.1914146105076	1614.20500403551	27.3972602739726	22112.397315555	276.594720691885	22112.397315555	511222.021444374	0.599696875376913	0.691769407975829
isl_225	chr12	14103470	14103536	67	0.067	2	0.0298507462686567	20.1914146105076	1614.20500403551	29.8507462686567	24092.61200053	301.364397171755	24092.61200053	557003.097991632	0.599696875376913	0.691769407975829
isl_226	chr12	31763672	31763726	55	0.055	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_227	chr12	33750558	33750626	69	0.069	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_228	chr12	55650694	55650764	71	0.071	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_229	chr12	74968857	74968895	39	0.039	2	0.0512820512820513	20.1914146105076	1614.20500403551	51.2820512820513	41389.8718983465	517.728579756605	41389.8718983465	956902.758088188	0.599696875376913	0.691769407975829
isl_23	chr1	120831609	120831669	61	0.061	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_230	chr12	75096158	75096218	61	0.061	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_231	chr12	105841949	105841992	44	0.044	2	0.0454545454545455	20.1914146105076	1614.20500403551	45.4545454545455	36686.4773644435	458.895786602446	36686.4773644435	848163.808305439	0.599696875376913	0.691769407975829
isl_232	chr12	110274978	110275035	58	0.058	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_233	chr12	118718971	118719036	66	0.066	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_234	chr13	3744754	3744818	65	0.065	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_235	chr13	15854386	15854438	53	0.053	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_236	chr13	31474097	31474163	67	0.067	2	0.0298507462686567	20.1914146105076	1614.20500403551	29.8507462686567	24092.61200053	301.364397171755	24092.61200053	557003.097991632	0.599696875376913	0.691769407975829
isl_237	chr13	41431398	41431440	43	0.043	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_238	chr13	43099934	43099980	47	0.047	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_239	chr13	43837378	43837419	42	0.042	2	0.0476190476190476	20.1914146105076	1614.20500403551	47.6190476190476	38433.452477036	480.747966916848	38433.452477036	888552.561081889	0.599696875376913	0.691769407975829
isl_24	chr1	122701419	122701481	63	0.063	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_240	chr13	44019413	44019453	41	0.041	2	0.0487804878048781	20.1914146105076	1614.20500403551	48.780487804878	39370.8537569637	492.473527085551	39370.8537569637	910224.574766813	0.599696875376913	0.691769407975829
isl_241	chr13	44450938	44450989	52	0.052	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_242	chr13	45789493	45789539	47	0.047	2	0.0425531914893617	20.1914146105076	1614.20500403551	42.5531914893617	34344.7873199045	429.604566181013	34344.7873199045	794025.692881688	0.599696875376913	0.691769407975829
isl_243	chr13	48662654	48662719	66	0.066	2	0.0303030303030303	20.1914146105076	1614.20500403551	30.3030303030303	24457.6515762956	305.93052440163	24457.6515762956	565442.538870293	0.599696875376913	0.691769407975829
isl_244	chr13	49441668	49441734	67	0.067	2	0.0298507462686567	20.1914146105076	1614.20500403551	29.8507462686567	24092.61200053	301.364397171755	24092.61200053	557003.097991632	0.599696875376913	0.691769407975829
isl_245	chr13	52034931	52034975	45	0.045	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_246	chr13	52890967	52891023	57	0.057	2	0.0350877192982456	20.1914146105076	1614.20500403551	35.0877192982456	28319.3860357107	354.235344043993	28319.3860357107	654722.939744549	0.599696875376913	0.691769407975829
isl_247	chr13	56668796	56668859	64	0.064	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_248	chr13	59243382	59243426	45	0.045	2	0.0444444444444444	20.1914146105076	1614.20500403551	44.4444444444444	35871.2223119003	448.698102455725	35871.2223119003	829315.723676429	0.599696875376913	0.691769407975829
isl_249	chr13	72100261	72100310	50	0.05	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_25	chr1	136088016	136088083	68	0.068	2	0.0294117647058824	20.1914146105076	1614.20500403551	29.4117647058824	23738.3088828752	296.932567801583	23738.3088828752	548811.875962343	0.599696875376913	0.691769407975829
isl_250	chr13	77578168	77578205	38	0.038	1	0.0263157894736842	10.0957073052538	807.102502017756	26.3157894736842	21239.5395267831	265.676508032995	21239.5395267831	491042.204808412	0.550354005705923	0.599696875376913
isl_251	chr13	77578241	77578286	46	0.046	2	0.0434782608695652	20.1914146105076	1614.20500403551	43.4782608695652	35091.4131312068	438.9437958806	35091.4131312068	811287.120987811	0.599696875376913	0.691769407975829
isl_252	chr13	81797046	81797092	47	0.047	2	0.0425531914893617	20.1914146105076	1614.20500403551	42.5531914893617	34344.7873199045	429.604566181013	34344.7873199045	794025.692881688	0.599696875376913	0.691769407975829
isl_253	chr13	83948945	83948984	40	0.04	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_254	chr13	90864295	90864365	71	0.071	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_255	chr13	91110077	91110149	73	0.073	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_256	chr13	94762163	94762207	45	0.045	2	0.0444444444444444	20.1914146105076	1614.20500403551	44.4444444444444	35871.2223119003	448.698102455725	35871.2223119003	829315.723676429	0.599696875376913	0.691769407975829
isl_257	chr13	97960498	97960546	49	0.049	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_258	chr13	102814512	102814573	62	0.062	2	0.032258064516129	20.1914146105076	1614.20500403551	32.258064516129	26035.5645812179	325.667977588832	26035.5645812179	601922.702668376	0.599696875376913	0.691769407975829
isl_259	chr13	104748305	104748369	65	0.065	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_26	chr1	153083309	153083359	51	0.051	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_260	chr13	110033982	110034029	48	0.048	2	0.0416666666666667	20.1914146105076	1614.20500403551	41.6666666666667	33629.2709174065	420.654471052242	33629.2709174065	777483.490946653	0.599696875376913	0.691769407975829
isl_261	chr13	113783383	113783429	47	0.047	2	0.0425531914893617	20.1914146105076	1614.20500403551	42.5531914893617	34344.7873199045	429.604566181013	34344.7873199045	794025.692881688	0.599696875376913	0.691769407975829
isl_262	chr14	25464676	25464736	61	0.061	2	0.0327868852459016	20.1914146105076	1614.20500403551	32.7868852459016	26462.3771153363	331.006796893567	26462.3771153363	611790.287958022	0.599696875376913	0.691769407975829
