chromosome	source	feature	start	end	length	multiplicity	multovl.union.gff	multovl.strict.gff	sum	code	id
chr1	multovl	overlap	46123132	46124166	1035	2	1	1	2	XX	chr1_46123132_46124166
chr1	multovl	overlap	46908586	46911320	2735	2	1	2	3	XX	chr1_46908586_46911320
chr1	multovl	overlap	47910447	47911276	830	2	1	1	2	XX	chr1_47910447_47911276
chr1	multovl	overlap	51345829	51350595	4767	2	1	2	3	XX	chr1_51345829_51350595
chr1	multovl	overlap	51533496	51536111	2616	2	1	1	2	XX	chr1_51533496_51536111
chr1	multovl	overlap	51971575	51973131	1557	2	1	1	2	XX	chr1_51971575_51973131
chr1	multovl	overlap	52176080	52178576	2497	2	1	1	2	XX	chr1_52176080_52178576
chr1	multovl	overlap	52287743	52290783	3041	2	1	1	2	XX	chr1_52287743_52290783
chr1	multovl	overlap	52555912	52557280	1369	2	1	1	2	XX	chr1_52555912_52557280
chr1	multovl	overlap	52687261	52688244	984	2	1	1	2	XX	chr1_52687261_52688244
chr1	multovl	overlap	52873234	52875006	1773	2	1	1	2	XX	chr1_52873234_52875006
chr1	multovl	overlap	52901576	52902923	1348	2	1	1	2	XX	chr1_52901576_52902923
chr1	multovl	overlap	53353108	53354946	1839	2	1	1	2	XX	chr1_53353108_53354946
chr1	multovl	overlap	53369581	53371303	1723	2	1	1	2	XX	chr1_53369581_53371303
chr1	multovl	overlap	53408693	53409665	973	2	1	1	2	XX	chr1_53408693_53409665
chr1	multovl	overlap	53839044	53840397	1354	2	1	1	2	XX	chr1_53839044_53840397
chr1	multovl	overlap	53840475	53842153	1679	2	1	1	2	XX	chr1_53840475_53842153
chr1	multovl	overlap	54250578	54252524	1947	2	1	1	2	XX	chr1_54250578_54252524
chr1	multovl	overlap	54494862	54496164	1303	2	1	1	2	XX	chr1_54494862_54496164
chr1	multovl	overlap	54613587	54615394	1808	2	1	1	2	XX	chr1_54613587_54615394
chr1	multovl	overlap	54981728	54983783	2056	2	1	1	2	XX	chr1_54981728_54983783
chr1	multovl	overlap	55082360	55084660	2301	2	1	1	2	XX	chr1_55082360_55084660
chr1	multovl	overlap	55109603	55111154	1552	2	1	1	2	XX	chr1_55109603_55111154
chr1	multovl	overlap	55142283	55146884	4602	2	1	3	4	XX	chr1_55142283_55146884
chr1	multovl	overlap	55187323	55189821	2499	2	1	2	3	XX	chr1_55187323_55189821
chr1	multovl	overlap	55282205	55283905	1701	2	1	1	2	XX	chr1_55282205_55283905
chr1	multovl	overlap	55283951	55284962	1012	2	1	1	2	XX	chr1_55283951_55284962
chr1	multovl	overlap	55293884	55296463	2580	2	1	1	2	XX	chr1_55293884_55296463
chr1	multovl	overlap	57028003	57031057	3055	2	1	1	2	XX	chr1_57028003_57031057
chr1	multovl	overlap	57433996	57435473	1478	2	1	1	2	XX	chr1_57433996_57435473
chr1	multovl	overlap	57462452	57465650	3199	2	1	1	2	XX	chr1_57462452_57465650
chr1	multovl	overlap	58025719	58027052	1334	2	1	1	2	XX	chr1_58025719_58027052
chr1	multovl	overlap	58052297	58053774	1478	2	1	1	2	XX	chr1_58052297_58053774
chr1	multovl	overlap	58086416	58087804	1389	2	1	1	2	XX	chr1_58086416_58087804
chr1	multovl	overlap	58448262	58451507	3246	2	1	2	3	XX	chr1_58448262_58451507
chr1	multovl	overlap	58479251	58481266	2016	2	1	1	2	XX	chr1_58479251_58481266
chr1	multovl	overlap	58501103	58503634	2532	2	1	1	2	XX	chr1_58501103_58503634
chr1	multovl	overlap	58560519	58562900	2382	2	1	1	2	XX	chr1_58560519_58562900
chr1	multovl	overlap	58641938	58644442	2505	2	1	1	2	XX	chr1_58641938_58644442
chr1	multovl	overlap	58767918	58768979	1062	2	1	1	2	XX	chr1_58767918_58768979
chr1	multovl	overlap	58769798	58772134	2337	2	1	1	2	XX	chr1_58769798_58772134
chr1	multovl	overlap	58851901	58853354	1454	2	1	1	2	XX	chr1_58851901_58853354
chr1	multovl	overlap	59029058	59031536	2479	2	1	1	2	XX	chr1_59029058_59031536
chr1	multovl	overlap	59175931	59177707	1777	2	1	1	2	XX	chr1_59175931_59177707
chr1	multovl	overlap	59293049	59295307	2259	2	1	1	2	XX	chr1_59293049_59295307
chr1	multovl	overlap	59537684	59538856	1173	2	1	1	2	XX	chr1_59537684_59538856
chr1	multovl	overlap	59538870	59543536	4667	2	1	1	2	XX	chr1_59538870_59543536
chr1	multovl	overlap	59726236	59728806	2571	2	1	1	2	XX	chr1_59726236_59728806
chr1	multovl	overlap	59740996	59743884	2889	2	1	1	2	XX	chr1_59740996_59743884
chr1	multovl	overlap	59819029	59822655	3627	2	1	1	2	XX	chr1_59819029_59822655
chr1	multovl	overlap	59968860	59971291	2432	2	1	1	2	XX	chr1_59968860_59971291
chr1	multovl	overlap	60153534	60156370	2837	2	1	1	2	XX	chr1_60153534_60156370
chr1	multovl	overlap	60236246	60239009	2764	2	1	2	3	XX	chr1_60236246_60239009
chr1	multovl	overlap	60399375	60401333	1959	2	1	1	2	XX	chr1_60399375_60401333
chr1	multovl	overlap	60465618	60466320	703	2	1	1	2	XX	chr1_60465618_60466320
chr1	multovl	overlap	60466380	60467699	1320	2	1	1	2	XX	chr1_60466380_60467699
chr1	multovl	overlap	60621403	60623636	2234	2	1	1	2	XX	chr1_60621403_60623636
chr1	multovl	overlap	60623778	60624630	853	2	1	1	2	XX	chr1_60623778_60624630
chr1	multovl	overlap	62749023	62754511	5489	2	1	1	2	XX	chr1_62749023_62754511
chr1	multovl	overlap	63159029	63160216	1188	2	1	1	2	XX	chr1_63159029_63160216
chr1	multovl	overlap	63160750	63162802	2053	2	1	1	2	XX	chr1_63160750_63162802
chr1	multovl	overlap	63221781	63224949	3169	2	1	1	2	XX	chr1_63221781_63224949
chr1	multovl	overlap	63492609	63493482	874	2	1	1	2	XX	chr1_63492609_63493482
chr1	multovl	overlap	63776398	63778358	1961	2	1	1	2	XX	chr1_63776398_63778358
chr1	multovl	overlap	64164901	64168144	3244	2	1	2	3	XX	chr1_64164901_64168144
chr1	multovl	overlap	64168259	64169262	1004	2	1	1	2	XX	chr1_64168259_64169262
chr1	multovl	overlap	64577873	64579432	1560	2	1	1	2	XX	chr1_64577873_64579432
chr1	multovl	overlap	64579802	64581332	1531	2	1	1	2	XX	chr1_64579802_64581332
chr1	multovl	overlap	64661217	64665042	3826	2	1	3	4	XX	chr1_64661217_64665042
chr1	multovl	overlap	64736383	64737492	1110	2	1	1	2	XX	chr1_64736383_64737492
chr1	multovl	overlap	64737527	64738919	1393	2	1	1	2	XX	chr1_64737527_64738919
chr1	multovl	overlap	64739075	64739882	808	2	1	1	2	XX	chr1_64739075_64739882
chr1	multovl	overlap	64782575	64784387	1813	2	1	1	2	XX	chr1_64782575_64784387
chr1	multovl	overlap	64784463	64785326	864	2	1	1	2	XX	chr1_64784463_64785326
chr1	multovl	overlap	65002549	65003744	1196	2	1	1	2	XX	chr1_65002549_65003744
chr1	multovl	overlap	65223905	65226570	2666	2	1	1	2	XX	chr1_65223905_65226570
chr1	multovl	overlap	65231793	65234899	3107	2	1	2	3	XX	chr1_65231793_65234899
chr1	multovl	overlap	66747306	66749083	1778	2	1	1	2	XX	chr1_66747306_66749083
chr1	multovl	overlap	66861973	66864964	2992	2	1	2	3	XX	chr1_66861973_66864964
chr1	multovl	overlap	66908433	66910265	1833	2	1	1	2	XX	chr1_66908433_66910265
chr1	multovl	overlap	67084371	67086042	1672	2	1	1	2	XX	chr1_67084371_67086042
chr1	multovl	overlap	69731940	69732711	772	2	1	1	2	XX	chr1_69731940_69732711
chr1	multovl	overlap	69732716	69734891	2176	2	1	2	3	XX	chr1_69732716_69734891
chr1	multovl	overlap	71148413	71150326	1914	2	1	1	2	XX	chr1_71148413_71150326
chr1	multovl	overlap	71602974	71605103	2130	2	1	1	2	XX	chr1_71602974_71605103
chr1	multovl	overlap	71698696	71700908	2213	2	1	1	2	XX	chr1_71698696_71700908
chr1	multovl	overlap	72271888	72272782	895	2	1	1	2	XX	chr1_72271888_72272782
chr1	multovl	overlap	72290160	72291018	859	2	1	1	2	XX	chr1_72290160_72291018
chr1	multovl	overlap	72301015	72301684	670	2	1	1	2	XX	chr1_72301015_72301684
chr1	multovl	overlap	72330210	72331133	924	2	1	1	2	XX	chr1_72330210_72331133
chr1	multovl	overlap	72353303	72355168	1866	2	1	1	2	XX	chr1_72353303_72355168
chr1	multovl	overlap	72629126	72630800	1675	2	1	1	2	XX	chr1_72629126_72630800
chr1	multovl	overlap	72757439	72759935	2497	2	1	1	2	XX	chr1_72757439_72759935
chr1	multovl	overlap	74114549	74115527	979	2	1	1	2	XX	chr1_74114549_74115527
chr1	multovl	overlap	74282409	74285772	3364	2	1	1	2	XX	chr1_74282409_74285772
chr1	multovl	overlap	74330134	74331377	1244	2	1	1	2	XX	chr1_74330134_74331377
chr1	multovl	overlap	74331488	74332564	1077	2	1	1	2	XX	chr1_74331488_74332564
chr1	multovl	overlap	74349310	74351508	2199	2	1	1	2	XX	chr1_74349310_74351508
chr1	multovl	overlap	74379083	74379904	822	2	1	1	2	XX	chr1_74379083_74379904
chr1	multovl	overlap	74432791	74434266	1476	2	1	1	2	XX	chr1_74432791_74434266
chr1	multovl	overlap	74438355	74439967	1613	2	1	1	2	XX	chr1_74438355_74439967
chr1	multovl	overlap	74551255	74554275	3021	2	1	1	2	XX	chr1_74551255_74554275
chr1	multovl	overlap	74633359	74635647	2289	2	1	2	3	XX	chr1_74633359_74635647
chr1	multovl	overlap	74647005	74648808	1804	2	1	1	2	XX	chr1_74647005_74648808
chr1	multovl	overlap	74708100	74709639	1540	2	1	1	2	XX	chr1_74708100_74709639
chr1	multovl	overlap	74863470	74864409	940	2	1	1	2	XX	chr1_74863470_74864409
chr1	multovl	overlap	75120781	75122277	1497	2	1	1	2	XX	chr1_75120781_75122277
chr1	multovl	overlap	75137033	75140717	3685	2	1	1	2	XX	chr1_75137033_75140717
chr1	multovl	overlap	75164323	75166300	1978	2	1	1	2	XX	chr1_75164323_75166300
chr1	multovl	overlap	75175861	75177386	1526	2	1	1	2	XX	chr1_75175861_75177386
chr1	multovl	overlap	75187484	75190297	2814	2	1	1	2	XX	chr1_75187484_75190297
chr1	multovl	overlap	75204968	75208613	3646	2	1	2	3	XX	chr1_75204968_75208613
chr1	multovl	overlap	75214487	75216492	2006	2	1	1	2	XX	chr1_75214487_75216492
chr1	multovl	overlap	75232762	75234300	1539	2	1	1	2	XX	chr1_75232762_75234300
chr1	multovl	overlap	75259594	75260708	1115	2	1	1	2	XX	chr1_75259594_75260708
chr1	multovl	overlap	75312394	75314210	1817	2	1	1	2	XX	chr1_75312394_75314210
chr1	multovl	overlap	75377880	75379698	1819	2	1	2	3	XX	chr1_75377880_75379698
chr1	multovl	overlap	75432207	75433591	1385	2	1	1	2	XX	chr1_75432207_75433591
chr1	multovl	overlap	75474269	75476773	2505	2	1	1	2	XX	chr1_75474269_75476773
chr1	multovl	overlap	75501339	75503581	2243	2	1	1	2	XX	chr1_75501339_75503581
chr1	multovl	overlap	75517329	75519276	1948	2	1	1	2	XX	chr1_75517329_75519276
chr1	multovl	overlap	75542177	75543778	1602	2	1	1	2	XX	chr1_75542177_75543778
chr1	multovl	overlap	77509068	77512781	3714	2	1	1	2	XX	chr1_77509068_77512781
chr1	multovl	overlap	78200022	78200874	853	2	1	1	2	XX	chr1_78200022_78200874
chr1	multovl	overlap	78484355	78486638	2284	2	1	1	2	XX	chr1_78484355_78486638
chr1	multovl	overlap	78533534	78534818	1285	2	1	1	2	XX	chr1_78533534_78534818
chr1	multovl	overlap	78654386	78656380	1995	2	1	1	2	XX	chr1_78654386_78656380
chr1	multovl	overlap	79667840	79668805	966	2	1	1	2	XX	chr1_79667840_79668805
chr1	multovl	overlap	79755569	79758947	3379	2	1	3	4	XX	chr1_79755569_79758947
chr1	multovl	overlap	79772263	79773654	1392	2	1	1	2	XX	chr1_79772263_79773654
chr1	multovl	overlap	79853986	79855972	1987	2	1	1	2	XX	chr1_79853986_79855972
chr1	multovl	overlap	80334578	80336932	2355	2	1	1	2	XX	chr1_80334578_80336932
chr1	multovl	overlap	80337433	80338272	840	2	1	1	2	XX	chr1_80337433_80338272
chr1	multovl	overlap	82280110	82284011	3902	2	1	1	2	XX	chr1_82280110_82284011
chr1	multovl	overlap	82284405	82288102	3698	2	1	1	2	XX	chr1_82284405_82288102
chr1	multovl	overlap	82312598	82314250	1653	2	1	1	2	XX	chr1_82312598_82314250
chr1	multovl	overlap	82720744	82722824	2081	2	1	1	2	XX	chr1_82720744_82722824
chr1	multovl	overlap	82835871	82837645	1775	2	1	1	2	XX	chr1_82835871_82837645
chr1	multovl	overlap	84280021	84281444	1424	2	1	1	2	XX	chr1_84280021_84281444
chr1	multovl	overlap	84834098	84837600	3503	2	1	3	4	XX	chr1_84834098_84837600
chr1	multovl	overlap	85321365	85322591	1227	2	1	1	2	XX	chr1_85321365_85322591
chr1	multovl	overlap	85322761	85324390	1630	2	1	1	2	XX	chr1_85322761_85324390
chr1	multovl	overlap	87546412	87547030	619	2	1	1	2	XX	chr1_87546412_87547030
chr1	multovl	overlap	87689666	87691908	2243	2	1	1	2	XX	chr1_87689666_87691908
chr1	multovl	overlap	87790438	87792655	2218	2	1	1	2	XX	chr1_87790438_87792655
chr1	multovl	overlap	87960747	87962750	2004	2	1	1	2	XX	chr1_87960747_87962750
chr1	multovl	overlap	88050602	88052043	1442	2	1	1	2	XX	chr1_88050602_88052043
chr1	multovl	overlap	88254473	88257430	2958	2	1	2	3	XX	chr1_88254473_88257430
chr1	multovl	overlap	88338144	88339998	1855	2	1	1	2	XX	chr1_88338144_88339998
chr1	multovl	overlap	88383253	88384116	864	2	1	1	2	XX	chr1_88383253_88384116
chr1	multovl	overlap	88384200	88385569	1370	2	1	1	2	XX	chr1_88384200_88385569
chr1	multovl	overlap	88421962	88423096	1135	2	1	1	2	XX	chr1_88421962_88423096
chr1	multovl	overlap	88423162	88426714	3553	2	1	1	2	XX	chr1_88423162_88426714
chr1	multovl	overlap	88477936	88480103	2168	2	1	1	2	XX	chr1_88477936_88480103
chr1	multovl	overlap	88482978	88485130	2153	2	1	1	2	XX	chr1_88482978_88485130
chr1	multovl	overlap	88599555	88601503	1949	2	1	1	2	XX	chr1_88599555_88601503
chr1	multovl	overlap	89109416	89112361	2946	2	1	1	2	XX	chr1_89109416_89112361
chr1	multovl	overlap	89223442	89225483	2042	2	1	1	2	XX	chr1_89223442_89225483
chr1	multovl	overlap	89651724	89654297	2574	2	1	1	2	XX	chr1_89651724_89654297
chr1	multovl	overlap	89749807	89751527	1721	2	1	1	2	XX	chr1_89749807_89751527
chr1	multovl	overlap	89904015	89905789	1775	2	1	1	2	XX	chr1_89904015_89905789
chr1	multovl	overlap	90172202	90175076	2875	2	1	1	2	XX	chr1_90172202_90175076
chr1	multovl	overlap	90594633	90599095	4463	2	1	1	2	XX	chr1_90594633_90599095
chr1	multovl	overlap	90965840	90966709	870	2	1	1	2	XX	chr1_90965840_90966709
chr1	multovl	overlap	90966875	90969250	2376	2	1	1	2	XX	chr1_90966875_90969250
chr1	multovl	overlap	91350645	91351374	730	2	1	1	2	XX	chr1_91350645_91351374
chr1	multovl	overlap	92499244	92501076	1833	2	1	1	2	XX	chr1_92499244_92501076
chr1	multovl	overlap	92894507	92897339	2833	2	1	1	2	XX	chr1_92894507_92897339
chr1	multovl	overlap	93145837	93149253	3417	2	1	1	2	XX	chr1_93145837_93149253
chr1	multovl	overlap	93194202	93195924	1723	2	1	1	2	XX	chr1_93194202_93195924
chr1	multovl	overlap	93293856	93296112	2257	2	1	1	2	XX	chr1_93293856_93296112
chr1	multovl	overlap	93308788	93310626	1839	2	1	2	3	XX	chr1_93308788_93310626
chr1	multovl	overlap	93354323	93356823	2501	2	1	1	2	XX	chr1_93354323_93356823
chr1	multovl	overlap	93390909	93392337	1429	2	1	1	2	XX	chr1_93390909_93392337
chr1	multovl	overlap	93436176	93438353	2178	2	1	1	2	XX	chr1_93436176_93438353
chr1	multovl	overlap	93696986	93701177	4192	2	1	1	2	XX	chr1_93696986_93701177
chr1	multovl	overlap	94075054	94076660	1607	2	1	1	2	XX	chr1_94075054_94076660
chr1	multovl	overlap	94076979	94078326	1348	2	1	1	2	XX	chr1_94076979_94078326
chr1	multovl	overlap	94369112	94371263	2152	2	1	1	2	XX	chr1_94369112_94371263
chr1	multovl	overlap	94537168	94539460	2293	2	1	1	2	XX	chr1_94537168_94539460
chr1	multovl	overlap	94728213	94729315	1103	2	1	1	2	XX	chr1_94728213_94729315
chr1	multovl	overlap	94806577	94807432	856	2	1	1	2	XX	chr1_94806577_94807432
chr1	multovl	overlap	94807766	94808957	1192	2	1	1	2	XX	chr1_94807766_94808957
chr1	multovl	overlap	94829957	94832877	2921	2	1	1	2	XX	chr1_94829957_94832877
chr1	multovl	overlap	95132061	95134024	1964	2	1	1	2	XX	chr1_95132061_95134024
chr1	multovl	overlap	95201523	95203146	1624	2	1	1	2	XX	chr1_95201523_95203146
chr1	multovl	overlap	95238728	95241302	2575	2	1	1	2	XX	chr1_95238728_95241302
chr1	multovl	overlap	95340239	95343008	2770	2	1	2	3	XX	chr1_95340239_95343008
chr1	multovl	overlap	95373895	95377045	3151	2	1	1	2	XX	chr1_95373895_95377045
chr1	multovl	overlap	95407782	95409840	2059	2	1	1	2	XX	chr1_95407782_95409840
chr1	multovl	overlap	95530346	95532436	2091	2	1	1	2	XX	chr1_95530346_95532436
chr1	multovl	overlap	95649709	95652531	2823	2	1	1	2	XX	chr1_95649709_95652531
chr1	multovl	overlap	95697487	95701561	4075	2	1	2	3	XX	chr1_95697487_95701561
chr1	multovl	overlap	95721190	95722913	1724	2	1	1	2	XX	chr1_95721190_95722913
chr1	multovl	overlap	97209806	97211513	1708	2	1	1	2	XX	chr1_97209806_97211513
chr1	multovl	overlap	99557036	99559300	2265	2	1	1	2	XX	chr1_99557036_99559300
chr1	multovl	overlap	99664906	99667899	2994	2	1	1	2	XX	chr1_99664906_99667899
