chromosome	source	feature	start	end	length	multiplicity	peaks1.bed.bed	peaks2.bed.bed	sum	code	id
chr1	multovl	overlap	39632225	39634250	2026	2	1	1	2	XX	chr1_39632225_39634250
chr1	multovl	overlap	39956880	39957553	674	1	1	0	1	X0	chr1_39956880_39957553
chr1	multovl	overlap	39957880	39960552	2673	2	1	1	2	XX	chr1_39957880_39960552
chr1	multovl	overlap	40323099	40324655	1557	2	1	1	2	XX	chr1_40323099_40324655
chr1	multovl	overlap	40381305	40383403	2099	2	1	1	2	XX	chr1_40381305_40383403
chr1	multovl	overlap	40846785	40848233	1449	2	1	1	2	XX	chr1_40846785_40848233
chr1	multovl	overlap	42907684	42909315	1632	2	1	1	2	XX	chr1_42907684_42909315
chr1	multovl	overlap	43148165	43150244	2080	2	1	1	2	XX	chr1_43148165_43150244
chr1	multovl	overlap	43154707	43156519	1813	2	1	1	2	XX	chr1_43154707_43156519
chr1	multovl	overlap	43218925	43221144	2220	2	1	1	2	XX	chr1_43218925_43221144
chr1	multovl	overlap	43502585	43504209	1625	2	1	1	2	XX	chr1_43502585_43504209
chr1	multovl	overlap	43883484	43884704	1221	2	1	1	2	XX	chr1_43883484_43884704
chr1	multovl	overlap	43884798	43885449	652	1	1	0	1	X0	chr1_43884798_43885449
chr1	multovl	overlap	43989814	43991807	1994	2	1	1	2	XX	chr1_43989814_43991807
chr1	multovl	overlap	44098740	44099503	764	1	0	1	1	0X	chr1_44098740_44099503
chr1	multovl	overlap	44158041	44159751	1711	2	1	1	2	XX	chr1_44158041_44159751
chr1	multovl	overlap	44174789	44177416	2628	2	1	1	2	XX	chr1_44174789_44177416
chr1	multovl	overlap	44203979	44205987	2009	2	1	1	2	XX	chr1_44203979_44205987
chr1	multovl	overlap	44608049	44610099	2051	2	1	1	2	XX	chr1_44608049_44610099
chr1	multovl	overlap	45368372	45369890	1519	1	0	1	1	0X	chr1_45368372_45369890
chr1	multovl	overlap	45557857	45560245	2389	2	1	1	2	XX	chr1_45557857_45560245
chr1	multovl	overlap	45851989	45853465	1477	2	1	1	2	XX	chr1_45851989_45853465
chr1	multovl	overlap	46123393	46124121	729	2	1	1	2	XX	chr1_46123393_46124121
chr1	multovl	overlap	46909006	46910090	1085	2	1	1	2	XX	chr1_46909006_46910090
chr1	multovl	overlap	46910526	46911313	788	2	1	1	2	XX	chr1_46910526_46911313
chr1	multovl	overlap	47910447	47911276	830	1	0	1	1	0X	chr1_47910447_47911276
chr1	multovl	overlap	51345832	51348064	2233	2	1	1	2	XX	chr1_51345832_51348064
chr1	multovl	overlap	51349191	51350278	1088	2	1	1	2	XX	chr1_51349191_51350278
chr1	multovl	overlap	51533855	51536108	2254	2	1	1	2	XX	chr1_51533855_51536108
chr1	multovl	overlap	51971604	51973086	1483	2	1	1	2	XX	chr1_51971604_51973086
chr1	multovl	overlap	52176107	52178231	2125	2	1	1	2	XX	chr1_52176107_52178231
chr1	multovl	overlap	52288131	52289963	1833	2	1	1	2	XX	chr1_52288131_52289963
chr1	multovl	overlap	52556107	52557216	1110	2	1	1	2	XX	chr1_52556107_52557216
chr1	multovl	overlap	52687411	52688219	809	2	1	1	2	XX	chr1_52687411_52688219
chr1	multovl	overlap	52873331	52874964	1634	2	1	1	2	XX	chr1_52873331_52874964
chr1	multovl	overlap	52901841	52902885	1045	2	1	1	2	XX	chr1_52901841_52902885
chr1	multovl	overlap	53353397	53354521	1125	2	1	1	2	XX	chr1_53353397_53354521
chr1	multovl	overlap	53369962	53371188	1227	2	1	1	2	XX	chr1_53369962_53371188
chr1	multovl	overlap	53408778	53409568	791	2	1	1	2	XX	chr1_53408778_53409568
chr1	multovl	overlap	53839044	53840397	1354	1	0	1	1	0X	chr1_53839044_53840397
chr1	multovl	overlap	53840720	53842146	1427	2	1	1	2	XX	chr1_53840720_53842146
chr1	multovl	overlap	54250602	54252370	1769	2	1	1	2	XX	chr1_54250602_54252370
chr1	multovl	overlap	54495079	54496054	976	2	1	1	2	XX	chr1_54495079_54496054
chr1	multovl	overlap	54613652	54615333	1682	2	1	1	2	XX	chr1_54613652_54615333
chr1	multovl	overlap	54981998	54983312	1315	2	1	1	2	XX	chr1_54981998_54983312
chr1	multovl	overlap	55082669	55084614	1946	2	1	1	2	XX	chr1_55082669_55084614
chr1	multovl	overlap	55110051	55111105	1055	2	1	1	2	XX	chr1_55110051_55111105
chr1	multovl	overlap	55143169	55144780	1612	2	1	1	2	XX	chr1_55143169_55144780
chr1	multovl	overlap	55144899	55144965	67	2	1	1	2	XX	chr1_55144899_55144965
chr1	multovl	overlap	55145067	55146251	1185	2	1	1	2	XX	chr1_55145067_55146251
chr1	multovl	overlap	55187450	55188010	561	2	1	1	2	XX	chr1_55187450_55188010
chr1	multovl	overlap	55188067	55189279	1213	2	1	1	2	XX	chr1_55188067_55189279
chr1	multovl	overlap	55282880	55283739	860	2	1	1	2	XX	chr1_55282880_55283739
chr1	multovl	overlap	55284180	55284855	676	2	1	1	2	XX	chr1_55284180_55284855
chr1	multovl	overlap	55293889	55296017	2129	2	1	1	2	XX	chr1_55293889_55296017
chr1	multovl	overlap	57028126	57030935	2810	2	1	1	2	XX	chr1_57028126_57030935
chr1	multovl	overlap	57434103	57435458	1356	2	1	1	2	XX	chr1_57434103_57435458
chr1	multovl	overlap	57462558	57464767	2210	2	1	1	2	XX	chr1_57462558_57464767
chr1	multovl	overlap	58026008	58026915	908	2	1	1	2	XX	chr1_58026008_58026915
chr1	multovl	overlap	58052337	58053749	1413	2	1	1	2	XX	chr1_58052337_58053749
chr1	multovl	overlap	58086417	58087666	1250	2	1	1	2	XX	chr1_58086417_58087666
chr1	multovl	overlap	58448958	58450260	1303	2	1	1	2	XX	chr1_58448958_58450260
chr1	multovl	overlap	58450381	58451200	820	2	1	1	2	XX	chr1_58450381_58451200
chr1	multovl	overlap	58479544	58481211	1668	2	1	1	2	XX	chr1_58479544_58481211
chr1	multovl	overlap	58501301	58503389	2089	2	1	1	2	XX	chr1_58501301_58503389
chr1	multovl	overlap	58560647	58562660	2014	2	1	1	2	XX	chr1_58560647_58562660
chr1	multovl	overlap	58641945	58644068	2124	2	1	1	2	XX	chr1_58641945_58644068
chr1	multovl	overlap	58768033	58768958	926	2	1	1	2	XX	chr1_58768033_58768958
chr1	multovl	overlap	58769994	58771780	1787	2	1	1	2	XX	chr1_58769994_58771780
chr1	multovl	overlap	58852125	58853166	1042	2	1	1	2	XX	chr1_58852125_58853166
chr1	multovl	overlap	59029402	59031521	2120	2	1	1	2	XX	chr1_59029402_59031521
chr1	multovl	overlap	59176141	59177479	1339	2	1	1	2	XX	chr1_59176141_59177479
chr1	multovl	overlap	59293166	59295181	2016	2	1	1	2	XX	chr1_59293166_59295181
chr1	multovl	overlap	59537684	59538856	1173	1	0	1	1	0X	chr1_59537684_59538856
chr1	multovl	overlap	59538949	59542489	3541	2	1	1	2	XX	chr1_59538949_59542489
chr1	multovl	overlap	59726604	59728733	2130	2	1	1	2	XX	chr1_59726604_59728733
chr1	multovl	overlap	59741474	59743741	2268	2	1	1	2	XX	chr1_59741474_59743741
chr1	multovl	overlap	59819154	59822532	3379	2	1	1	2	XX	chr1_59819154_59822532
chr1	multovl	overlap	59969160	59971288	2129	2	1	1	2	XX	chr1_59969160_59971288
chr1	multovl	overlap	60153688	60156023	2336	2	1	1	2	XX	chr1_60153688_60156023
chr1	multovl	overlap	60236506	60237280	775	2	1	1	2	XX	chr1_60236506_60237280
chr1	multovl	overlap	60237336	60238350	1015	2	1	1	2	XX	chr1_60237336_60238350
chr1	multovl	overlap	60399409	60401231	1823	2	1	1	2	XX	chr1_60399409_60401231
chr1	multovl	overlap	60465618	60466320	703	1	0	1	1	0X	chr1_60465618_60466320
chr1	multovl	overlap	60466473	60467563	1091	2	1	1	2	XX	chr1_60466473_60467563
chr1	multovl	overlap	60621791	60623607	1817	2	1	1	2	XX	chr1_60621791_60623607
chr1	multovl	overlap	60623835	60624531	697	2	1	1	2	XX	chr1_60623835_60624531
chr1	multovl	overlap	62749184	62754509	5326	2	1	1	2	XX	chr1_62749184_62754509
chr1	multovl	overlap	63159070	63160013	944	2	1	1	2	XX	chr1_63159070_63160013
chr1	multovl	overlap	63160868	63162152	1285	2	1	1	2	XX	chr1_63160868_63162152
chr1	multovl	overlap	63222010	63224895	2886	2	1	1	2	XX	chr1_63222010_63224895
chr1	multovl	overlap	63492609	63493482	874	1	1	0	1	X0	chr1_63492609_63493482
chr1	multovl	overlap	63776826	63777960	1135	2	1	1	2	XX	chr1_63776826_63777960
chr1	multovl	overlap	64165480	64165581	102	2	1	1	2	XX	chr1_64165480_64165581
chr1	multovl	overlap	64165659	64168129	2471	2	1	1	2	XX	chr1_64165659_64168129
chr1	multovl	overlap	64168388	64169254	867	2	1	1	2	XX	chr1_64168388_64169254
chr1	multovl	overlap	64578113	64579417	1305	2	1	1	2	XX	chr1_64578113_64579417
chr1	multovl	overlap	64580027	64581210	1184	2	1	1	2	XX	chr1_64580027_64581210
chr1	multovl	overlap	64661423	64662177	755	2	1	1	2	XX	chr1_64661423_64662177
chr1	multovl	overlap	64662197	64662241	45	2	1	1	2	XX	chr1_64662197_64662241
chr1	multovl	overlap	64662889	64664993	2105	2	1	1	2	XX	chr1_64662889_64664993
chr1	multovl	overlap	64736474	64737365	892	2	1	1	2	XX	chr1_64736474_64737365
chr1	multovl	overlap	64737530	64738641	1112	2	1	1	2	XX	chr1_64737530_64738641
chr1	multovl	overlap	64739075	64739882	808	1	0	1	1	0X	chr1_64739075_64739882
chr1	multovl	overlap	64782620	64784351	1732	2	1	1	2	XX	chr1_64782620_64784351
chr1	multovl	overlap	64784589	64785239	651	2	1	1	2	XX	chr1_64784589_64785239
chr1	multovl	overlap	65002641	65003656	1016	2	1	1	2	XX	chr1_65002641_65003656
chr1	multovl	overlap	65224295	65226462	2168	2	1	1	2	XX	chr1_65224295_65226462
chr1	multovl	overlap	65232327	65233144	818	2	1	1	2	XX	chr1_65232327_65233144
chr1	multovl	overlap	65233199	65234572	1374	2	1	1	2	XX	chr1_65233199_65234572
chr1	multovl	overlap	66747334	66748593	1260	2	1	1	2	XX	chr1_66747334_66748593
chr1	multovl	overlap	66862002	66863641	1640	2	1	1	2	XX	chr1_66862002_66863641
chr1	multovl	overlap	66864263	66864912	650	2	1	1	2	XX	chr1_66864263_66864912
chr1	multovl	overlap	66908462	66910113	1652	2	1	1	2	XX	chr1_66908462_66910113
chr1	multovl	overlap	67084494	67085763	1270	2	1	1	2	XX	chr1_67084494_67085763
chr1	multovl	overlap	69731940	69732711	772	1	0	1	1	0X	chr1_69731940_69732711
chr1	multovl	overlap	69733082	69733977	896	2	1	1	2	XX	chr1_69733082_69733977
chr1	multovl	overlap	69734013	69734822	810	2	1	1	2	XX	chr1_69734013_69734822
chr1	multovl	overlap	71148610	71149924	1315	2	1	1	2	XX	chr1_71148610_71149924
chr1	multovl	overlap	71603107	71604878	1772	2	1	1	2	XX	chr1_71603107_71604878
chr1	multovl	overlap	71698725	71700788	2064	2	1	1	2	XX	chr1_71698725_71700788
chr1	multovl	overlap	72272147	72272773	627	2	1	1	2	XX	chr1_72272147_72272773
chr1	multovl	overlap	72290160	72291018	859	1	1	0	1	X0	chr1_72290160_72291018
chr1	multovl	overlap	72301015	72301684	670	1	1	0	1	X0	chr1_72301015_72301684
chr1	multovl	overlap	72330233	72331028	796	2	1	1	2	XX	chr1_72330233_72331028
chr1	multovl	overlap	72353462	72354837	1376	2	1	1	2	XX	chr1_72353462_72354837
chr1	multovl	overlap	72629545	72630698	1154	2	1	1	2	XX	chr1_72629545_72630698
chr1	multovl	overlap	72757487	72759003	1517	2	1	1	2	XX	chr1_72757487_72759003
chr1	multovl	overlap	74114549	74115527	979	1	1	0	1	X0	chr1_74114549_74115527
chr1	multovl	overlap	74282437	74285289	2853	2	1	1	2	XX	chr1_74282437_74285289
chr1	multovl	overlap	74330224	74331368	1145	2	1	1	2	XX	chr1_74330224_74331368
chr1	multovl	overlap	74331530	74332505	976	2	1	1	2	XX	chr1_74331530_74332505
chr1	multovl	overlap	74349908	74351494	1587	2	1	1	2	XX	chr1_74349908_74351494
chr1	multovl	overlap	74379083	74379904	822	1	1	0	1	X0	chr1_74379083_74379904
chr1	multovl	overlap	74432873	74433924	1052	2	1	1	2	XX	chr1_74432873_74433924
chr1	multovl	overlap	74438369	74439614	1246	2	1	1	2	XX	chr1_74438369_74439614
chr1	multovl	overlap	74551408	74553982	2575	2	1	1	2	XX	chr1_74551408_74553982
chr1	multovl	overlap	74633618	74634735	1118	2	1	1	2	XX	chr1_74633618_74634735
chr1	multovl	overlap	74634802	74635343	542	2	1	1	2	XX	chr1_74634802_74635343
chr1	multovl	overlap	74647067	74648769	1703	2	1	1	2	XX	chr1_74647067_74648769
chr1	multovl	overlap	74708259	74709533	1275	2	1	1	2	XX	chr1_74708259_74709533
chr1	multovl	overlap	74863493	74864247	755	2	1	1	2	XX	chr1_74863493_74864247
chr1	multovl	overlap	75120793	75122211	1419	2	1	1	2	XX	chr1_75120793_75122211
chr1	multovl	overlap	75137220	75140426	3207	2	1	1	2	XX	chr1_75137220_75140426
chr1	multovl	overlap	75164570	75166219	1650	2	1	1	2	XX	chr1_75164570_75166219
chr1	multovl	overlap	75175876	75177377	1502	2	1	1	2	XX	chr1_75175876_75177377
chr1	multovl	overlap	75187539	75189685	2147	2	1	1	2	XX	chr1_75187539_75189685
chr1	multovl	overlap	75205263	75206399	1137	2	1	1	2	XX	chr1_75205263_75206399
chr1	multovl	overlap	75206640	75208467	1828	2	1	1	2	XX	chr1_75206640_75208467
chr1	multovl	overlap	75214665	75216375	1711	2	1	1	2	XX	chr1_75214665_75216375
chr1	multovl	overlap	75233000	75234234	1235	2	1	1	2	XX	chr1_75233000_75234234
chr1	multovl	overlap	75259644	75260528	885	2	1	1	2	XX	chr1_75259644_75260528
chr1	multovl	overlap	75312438	75314111	1674	2	1	1	2	XX	chr1_75312438_75314111
chr1	multovl	overlap	75377892	75378652	761	2	1	1	2	XX	chr1_75377892_75378652
chr1	multovl	overlap	75378711	75379668	958	2	1	1	2	XX	chr1_75378711_75379668
chr1	multovl	overlap	75432257	75433393	1137	2	1	1	2	XX	chr1_75432257_75433393
chr1	multovl	overlap	75474537	75476155	1619	2	1	1	2	XX	chr1_75474537_75476155
chr1	multovl	overlap	75501434	75503236	1803	2	1	1	2	XX	chr1_75501434_75503236
chr1	multovl	overlap	75517421	75519046	1626	2	1	1	2	XX	chr1_75517421_75519046
chr1	multovl	overlap	75542470	75543655	1186	2	1	1	2	XX	chr1_75542470_75543655
chr1	multovl	overlap	77509573	77512597	3025	2	1	1	2	XX	chr1_77509573_77512597
chr1	multovl	overlap	78200022	78200874	853	1	1	0	1	X0	chr1_78200022_78200874
chr1	multovl	overlap	78484360	78486543	2184	2	1	1	2	XX	chr1_78484360_78486543
chr1	multovl	overlap	78533767	78534703	937	2	1	1	2	XX	chr1_78533767_78534703
chr1	multovl	overlap	78654389	78656248	1860	2	1	1	2	XX	chr1_78654389_78656248
chr1	multovl	overlap	79667840	79668805	966	1	1	0	1	X0	chr1_79667840_79668805
chr1	multovl	overlap	79756296	79756852	557	2	1	1	2	XX	chr1_79756296_79756852
chr1	multovl	overlap	79757000	79757018	19	2	1	1	2	XX	chr1_79757000_79757018
chr1	multovl	overlap	79757031	79758728	1698	2	1	1	2	XX	chr1_79757031_79758728
chr1	multovl	overlap	79772419	79773581	1163	2	1	1	2	XX	chr1_79772419_79773581
chr1	multovl	overlap	79854118	79855960	1843	2	1	1	2	XX	chr1_79854118_79855960
chr1	multovl	overlap	80335543	80336891	1349	2	1	1	2	XX	chr1_80335543_80336891
chr1	multovl	overlap	80337433	80338272	840	1	1	0	1	X0	chr1_80337433_80338272
chr1	multovl	overlap	82280110	82284011	3902	1	0	1	1	0X	chr1_82280110_82284011
chr1	multovl	overlap	82284618	82287906	3289	2	1	1	2	XX	chr1_82284618_82287906
chr1	multovl	overlap	82312732	82314150	1419	2	1	1	2	XX	chr1_82312732_82314150
chr1	multovl	overlap	82721150	82722662	1513	2	1	1	2	XX	chr1_82721150_82722662
chr1	multovl	overlap	82835954	82837485	1532	2	1	1	2	XX	chr1_82835954_82837485
chr1	multovl	overlap	84280331	84281294	964	2	1	1	2	XX	chr1_84280331_84281294
chr1	multovl	overlap	84834196	84835453	1258	2	1	1	2	XX	chr1_84834196_84835453
chr1	multovl	overlap	84835797	84835977	181	2	1	1	2	XX	chr1_84835797_84835977
chr1	multovl	overlap	84835982	84837556	1575	2	1	1	2	XX	chr1_84835982_84837556
chr1	multovl	overlap	85321412	85322435	1024	2	1	1	2	XX	chr1_85321412_85322435
chr1	multovl	overlap	85323105	85324220	1116	2	1	1	2	XX	chr1_85323105_85324220
chr1	multovl	overlap	87546412	87547030	619	1	1	0	1	X0	chr1_87546412_87547030
chr1	multovl	overlap	87690193	87691765	1573	2	1	1	2	XX	chr1_87690193_87691765
chr1	multovl	overlap	87790475	87792631	2157	2	1	1	2	XX	chr1_87790475_87792631
chr1	multovl	overlap	87960844	87962580	1737	2	1	1	2	XX	chr1_87960844_87962580
chr1	multovl	overlap	88050615	88051830	1216	2	1	1	2	XX	chr1_88050615_88051830
chr1	multovl	overlap	88254556	88256053	1498	2	1	1	2	XX	chr1_88254556_88256053
chr1	multovl	overlap	88256148	88257394	1247	2	1	1	2	XX	chr1_88256148_88257394
chr1	multovl	overlap	88338423	88339870	1448	2	1	1	2	XX	chr1_88338423_88339870
chr1	multovl	overlap	88383287	88384049	763	2	1	1	2	XX	chr1_88383287_88384049
chr1	multovl	overlap	88384269	88385243	975	2	1	1	2	XX	chr1_88384269_88385243
chr1	multovl	overlap	88421973	88423043	1071	2	1	1	2	XX	chr1_88421973_88423043
chr1	multovl	overlap	88423176	88426578	3403	2	1	1	2	XX	chr1_88423176_88426578
chr1	multovl	overlap	88478298	88479814	1517	2	1	1	2	XX	chr1_88478298_88479814
chr1	multovl	overlap	88483015	88484738	1724	2	1	1	2	XX	chr1_88483015_88484738
chr1	multovl	overlap	88599606	88601209	1604	2	1	1	2	XX	chr1_88599606_88601209
chr1	multovl	overlap	89109751	89112231	2481	2	1	1	2	XX	chr1_89109751_89112231
chr1	multovl	overlap	89223488	89224814	1327	2	1	1	2	XX	chr1_89223488_89224814
chr1	multovl	overlap	89652335	89653940	1606	2	1	1	2	XX	chr1_89652335_89653940
chr1	multovl	overlap	89749906	89751405	1500	2	1	1	2	XX	chr1_89749906_89751405
chr1	multovl	overlap	89904122	89905239	1118	2	1	1	2	XX	chr1_89904122_89905239
chr1	multovl	overlap	90172280	90174555	2276	2	1	1	2	XX	chr1_90172280_90174555
chr1	multovl	overlap	90594752	90598721	3970	2	1	1	2	XX	chr1_90594752_90598721
chr1	multovl	overlap	90965840	90966709	870	1	0	1	1	0X	chr1_90965840_90966709
chr1	multovl	overlap	90966884	90969235	2352	2	1	1	2	XX	chr1_90966884_90969235
chr1	multovl	overlap	91350645	91351374	730	1	1	0	1	X0	chr1_91350645_91351374
chr1	multovl	overlap	92499312	92500834	1523	2	1	1	2	XX	chr1_92499312_92500834
chr1	multovl	overlap	92894589	92897141	2553	2	1	1	2	XX	chr1_92894589_92897141
