chromosome	source	feature	start	end	length	multiplicity	tracknum	count	name	strand	from	to	id	id_orig	sum	code
chr1	multovl	overlap	9534713	9537250	2538	2	1	1	MACS_peak_11	.	9534713	9537258	chr1_9534713_9537250	chr1_9534713_9537258	2	XX
chr1	multovl	overlap	9534713	9537250	2538	2	2	1	MACS_peak_10	.	9534647	9537250	chr1_9534713_9537250	chr1_9534647_9537250	2	XX
chr1	multovl	overlap	9689487	9690516	1030	2	1	1	MACS_peak_12	.	9689487	9690562	chr1_9689487_9690516	chr1_9689487_9690562	2	XX
chr1	multovl	overlap	9689487	9690516	1030	2	2	1	MACS_peak_11	.	9689181	9690516	chr1_9689487_9690516	chr1_9689181_9690516	2	XX
chr1	multovl	overlap	9690664	9691585	922	2	1	1	MACS_peak_13	.	9690615	9691585	chr1_9690664_9691585	chr1_9690615_9691585	2	XX
chr1	multovl	overlap	9690664	9691585	922	2	2	1	MACS_peak_12	.	9690664	9691736	chr1_9690664_9691585	chr1_9690664_9691736	2	XX
chr1	multovl	overlap	9735341	9736360	1020	2	1	1	MACS_peak_14	.	9735341	9736360	chr1_9735341_9736360	chr1_9735341_9736360	2	XX
chr1	multovl	overlap	9735341	9736360	1020	2	2	1	MACS_peak_13	.	9735081	9738645	chr1_9735341_9736360	chr1_9735081_9738645	2	XX
chr1	multovl	overlap	9736413	9738645	2233	2	1	1	MACS_peak_15	.	9736413	9738650	chr1_9736413_9738645	chr1_9736413_9738650	2	XX
chr1	multovl	overlap	9736413	9738645	2233	2	2	1	MACS_peak_13	.	9735081	9738645	chr1_9736413_9738645	chr1_9735081_9738645	2	XX
chr1	multovl	overlap	9932628	9934527	1900	2	1	1	MACS_peak_16	.	9932628	9934527	chr1_9932628_9934527	chr1_9932628_9934527	2	XX
chr1	multovl	overlap	9932628	9934527	1900	2	2	1	MACS_peak_14	.	9932491	9934608	chr1_9932628_9934527	chr1_9932491_9934608	2	XX
chr1	multovl	overlap	10027109	10028573	1465	2	1	1	MACS_peak_17	.	10027109	10028573	chr1_10027109_10028573	chr1_10027109_10028573	2	XX
chr1	multovl	overlap	10027109	10028573	1465	2	2	1	MACS_peak_15	.	10026833	10030868	chr1_10027109_10028573	chr1_10026833_10030868	2	XX
chr1	multovl	overlap	10029799	10030481	683	2	1	1	MACS_peak_18	.	10029799	10030481	chr1_10029799_10030481	chr1_10029799_10030481	2	XX
chr1	multovl	overlap	10029799	10030481	683	2	2	1	MACS_peak_15	.	10026833	10030868	chr1_10029799_10030481	chr1_10026833_10030868	2	XX
chr1	multovl	overlap	10221569	10224150	2582	2	1	1	MACS_peak_19	.	10221569	10224150	chr1_10221569_10224150	chr1_10221569_10224150	2	XX
chr1	multovl	overlap	10221569	10224150	2582	2	2	1	MACS_peak_16	.	10221308	10224164	chr1_10221569_10224150	chr1_10221308_10224164	2	XX
chr1	multovl	overlap	10983511	10984679	1169	2	1	1	MACS_peak_20	.	10983511	10984679	chr1_10983511_10984679	chr1_10983511_10984679	2	XX
chr1	multovl	overlap	10983511	10984679	1169	2	2	1	MACS_peak_17	.	10983460	10984842	chr1_10983511_10984679	chr1_10983460_10984842	2	XX
chr1	multovl	overlap	13361791	13363234	1444	2	1	1	MACS_peak_21	.	13361773	13363252	chr1_13361791_13363234	chr1_13361773_13363252	2	XX
chr1	multovl	overlap	13361791	13363234	1444	2	2	1	MACS_peak_18	.	13361791	13363234	chr1_13361791_13363234	chr1_13361791_13363234	2	XX
chr1	multovl	overlap	13363724	13364899	1176	2	1	1	MACS_peak_22	.	13363724	13364949	chr1_13363724_13364899	chr1_13363724_13364949	2	XX
chr1	multovl	overlap	13363724	13364899	1176	2	2	1	MACS_peak_19	.	13363457	13364899	chr1_13363724_13364899	chr1_13363457_13364899	2	XX
chr1	multovl	overlap	13578727	13580015	1289	2	1	1	MACS_peak_23	.	13578727	13580015	chr1_13578727_13580015	chr1_13578727_13580015	2	XX
chr1	multovl	overlap	13578727	13580015	1289	2	2	1	MACS_peak_20	.	13578128	13580018	chr1_13578727_13580015	chr1_13578128_13580018	2	XX
chr1	multovl	overlap	13649806	13651266	1461	2	1	1	MACS_peak_24	.	13649806	13651266	chr1_13649806_13651266	chr1_13649806_13651266	2	XX
chr1	multovl	overlap	13649806	13651266	1461	2	2	1	MACS_peak_21	.	13648664	13651382	chr1_13649806_13651266	chr1_13648664_13651382	2	XX
chr1	multovl	overlap	14293485	14295801	2317	1	2	1	MACS_peak_22	.	14293485	14295801	chr1_14293485_14295801	chr1_14293485_14295801	1	0X
chr1	multovl	overlap	14299160	14300430	1271	2	1	1	MACS_peak_25	.	14299160	14300430	chr1_14299160_14300430	chr1_14299160_14300430	2	XX
chr1	multovl	overlap	14299160	14300430	1271	2	2	1	MACS_peak_23	.	14297040	14300545	chr1_14299160_14300430	chr1_14297040_14300545	2	XX
chr1	multovl	overlap	14474188	14474917	730	1	2	1	MACS_peak_24	.	14474188	14474917	chr1_14474188_14474917	chr1_14474188_14474917	1	0X
chr1	multovl	overlap	15795335	15796737	1403	2	1	1	MACS_peak_26	.	15795335	15796737	chr1_15795335_15796737	chr1_15795335_15796737	2	XX
chr1	multovl	overlap	15795335	15796737	1403	2	2	1	MACS_peak_25	.	15795083	15796975	chr1_15795335_15796737	chr1_15795083_15796975	2	XX
chr1	multovl	overlap	16093463	16098048	4586	2	1	1	MACS_peak_27	.	16093463	16098048	chr1_16093463_16098048	chr1_16093463_16098048	2	XX
chr1	multovl	overlap	16093463	16098048	4586	2	2	1	MACS_peak_26	.	16092924	16098459	chr1_16093463_16098048	chr1_16092924_16098459	2	XX
chr1	multovl	overlap	16508453	16510530	2078	2	1	1	MACS_peak_28	.	16508369	16510570	chr1_16508453_16510530	chr1_16508369_16510570	2	XX
chr1	multovl	overlap	16508453	16510530	2078	2	2	1	MACS_peak_27	.	16508453	16510530	chr1_16508453_16510530	chr1_16508453_16510530	2	XX
chr1	multovl	overlap	16607715	16609816	2102	2	1	1	MACS_peak_29	.	16607715	16609816	chr1_16607715_16609816	chr1_16607715_16609816	2	XX
chr1	multovl	overlap	16607715	16609816	2102	2	2	1	MACS_peak_28	.	16607060	16610108	chr1_16607715_16609816	chr1_16607060_16610108	2	XX
chr1	multovl	overlap	16645995	16647937	1943	2	1	1	MACS_peak_30	.	16645995	16647937	chr1_16645995_16647937	chr1_16645995_16647937	2	XX
chr1	multovl	overlap	16645995	16647937	1943	2	2	1	MACS_peak_29	.	16645698	16648006	chr1_16645995_16647937	chr1_16645698_16648006	2	XX
chr1	multovl	overlap	16654862	16656563	1702	2	1	1	MACS_peak_31	.	16654862	16656563	chr1_16654862_16656563	chr1_16654862_16656563	2	XX
chr1	multovl	overlap	16654862	16656563	1702	2	2	1	MACS_peak_30	.	16654756	16656681	chr1_16654862_16656563	chr1_16654756_16656681	2	XX
chr1	multovl	overlap	16677779	16679132	1354	2	1	1	MACS_peak_32	.	16677779	16679210	chr1_16677779_16679132	chr1_16677779_16679210	2	XX
chr1	multovl	overlap	16677779	16679132	1354	2	2	1	MACS_peak_31	.	16677779	16679132	chr1_16677779_16679132	chr1_16677779_16679132	2	XX
chr1	multovl	overlap	20809903	20810474	572	2	1	1	MACS_peak_33	.	20809903	20810474	chr1_20809903_20810474	chr1_20809903_20810474	2	XX
chr1	multovl	overlap	20809903	20810474	572	2	2	1	MACS_peak_32	.	20809752	20810482	chr1_20809903_20810474	chr1_20809752_20810482	2	XX
chr1	multovl	overlap	20880225	20881082	858	2	1	1	MACS_peak_34	.	20880225	20881082	chr1_20880225_20881082	chr1_20880225_20881082	2	XX
chr1	multovl	overlap	20880225	20881082	858	2	2	1	MACS_peak_33	.	20880087	20881287	chr1_20880225_20881082	chr1_20880087_20881287	2	XX
chr1	multovl	overlap	20941469	20942541	1073	1	2	1	MACS_peak_34	.	20941469	20942541	chr1_20941469_20942541	chr1_20941469_20942541	1	0X
chr1	multovl	overlap	21067593	21069363	1771	2	1	1	MACS_peak_35	.	21067064	21070105	chr1_21067593_21069363	chr1_21067064_21070105	2	XX
chr1	multovl	overlap	21067593	21069363	1771	2	2	1	MACS_peak_35	.	21067593	21069363	chr1_21067593_21069363	chr1_21067593_21069363	2	XX
chr1	multovl	overlap	21069440	21070078	639	2	1	1	MACS_peak_35	.	21067064	21070105	chr1_21069440_21070078	chr1_21067064_21070105	2	XX
chr1	multovl	overlap	21069440	21070078	639	2	2	1	MACS_peak_36	.	21069440	21070078	chr1_21069440_21070078	chr1_21069440_21070078	2	XX
chr1	multovl	overlap	21208281	21209383	1103	2	1	1	MACS_peak_36	.	21208281	21209463	chr1_21208281_21209383	chr1_21208281_21209463	2	XX
chr1	multovl	overlap	21208281	21209383	1103	2	2	1	MACS_peak_37	.	21208273	21209383	chr1_21208281_21209383	chr1_21208273_21209383	2	XX
chr1	multovl	overlap	21950295	21951555	1261	2	1	1	MACS_peak_37	.	21950295	21951555	chr1_21950295_21951555	chr1_21950295_21951555	2	XX
chr1	multovl	overlap	21950295	21951555	1261	2	2	1	MACS_peak_38	.	21950061	21951685	chr1_21950295_21951555	chr1_21950061_21951685	2	XX
chr1	multovl	overlap	21951606	21951685	80	2	1	1	MACS_peak_38	.	21951606	21952486	chr1_21951606_21951685	chr1_21951606_21952486	2	XX
chr1	multovl	overlap	21951606	21951685	80	2	2	1	MACS_peak_38	.	21950061	21951685	chr1_21951606_21951685	chr1_21950061_21951685	2	XX
chr1	multovl	overlap	23263649	23264575	927	2	1	1	MACS_peak_39	.	23263056	23264575	chr1_23263649_23264575	chr1_23263056_23264575	2	XX
chr1	multovl	overlap	23263649	23264575	927	2	2	1	MACS_peak_39	.	23263649	23265137	chr1_23263649_23264575	chr1_23263649_23265137	2	XX
chr1	multovl	overlap	23389275	23390022	748	1	2	1	MACS_peak_40	.	23389275	23390022	chr1_23389275_23390022	chr1_23389275_23390022	1	0X
chr1	multovl	overlap	23928125	23929202	1078	2	1	1	MACS_peak_40	.	23928125	23929202	chr1_23928125_23929202	chr1_23928125_23929202	2	XX
chr1	multovl	overlap	23928125	23929202	1078	2	2	1	MACS_peak_41	.	23927882	23929998	chr1_23928125_23929202	chr1_23927882_23929998	2	XX
chr1	multovl	overlap	24011829	24012734	906	2	1	1	MACS_peak_41	.	24011829	24012734	chr1_24011829_24012734	chr1_24011829_24012734	2	XX
chr1	multovl	overlap	24011829	24012734	906	2	2	1	MACS_peak_42	.	24011524	24012844	chr1_24011829_24012734	chr1_24011524_24012844	2	XX
chr1	multovl	overlap	24105867	24107145	1279	2	1	1	MACS_peak_42	.	24105867	24107888	chr1_24105867_24107145	chr1_24105867_24107888	2	XX
chr1	multovl	overlap	24105867	24107145	1279	2	2	1	MACS_peak_43	.	24105665	24107145	chr1_24105867_24107145	chr1_24105665_24107145	2	XX
chr1	multovl	overlap	24107253	24107888	636	2	1	1	MACS_peak_42	.	24105867	24107888	chr1_24107253_24107888	chr1_24105867_24107888	2	XX
chr1	multovl	overlap	24107253	24107888	636	2	2	1	MACS_peak_44	.	24107253	24107895	chr1_24107253_24107888	chr1_24107253_24107895	2	XX
chr1	multovl	overlap	24114100	24114885	786	2	1	1	MACS_peak_43	.	24114100	24114885	chr1_24114100_24114885	chr1_24114100_24114885	2	XX
chr1	multovl	overlap	24114100	24114885	786	2	2	1	MACS_peak_45	.	24113964	24115163	chr1_24114100_24114885	chr1_24113964_24115163	2	XX
chr1	multovl	overlap	24684700	24686456	1757	2	1	1	MACS_peak_44	.	24684700	24686456	chr1_24684700_24686456	chr1_24684700_24686456	2	XX
chr1	multovl	overlap	24684700	24686456	1757	2	2	1	MACS_peak_46	.	24684530	24686755	chr1_24684700_24686456	chr1_24684530_24686755	2	XX
chr1	multovl	overlap	30929253	30930305	1053	2	1	1	MACS_peak_45	.	30929253	30930305	chr1_30929253_30930305	chr1_30929253_30930305	2	XX
chr1	multovl	overlap	30929253	30930305	1053	2	2	1	MACS_peak_47	.	30928654	30930463	chr1_30929253_30930305	chr1_30928654_30930463	2	XX
chr1	multovl	overlap	30930522	30931660	1139	1	2	1	MACS_peak_48	.	30930522	30931660	chr1_30930522_30931660	chr1_30930522_30931660	1	0X
chr1	multovl	overlap	31005058	31006412	1355	2	1	1	MACS_peak_46	.	31005058	31007720	chr1_31005058_31006412	chr1_31005058_31007720	2	XX
chr1	multovl	overlap	31005058	31006412	1355	2	2	1	MACS_peak_49	.	31003480	31006412	chr1_31005058_31006412	chr1_31003480_31006412	2	XX
chr1	multovl	overlap	31006564	31007720	1157	2	1	1	MACS_peak_46	.	31005058	31007720	chr1_31006564_31007720	chr1_31005058_31007720	2	XX
chr1	multovl	overlap	31006564	31007720	1157	2	2	1	MACS_peak_50	.	31006564	31008045	chr1_31006564_31007720	chr1_31006564_31008045	2	XX
chr1	multovl	overlap	31075946	31076850	905	1	2	1	MACS_peak_51	.	31075946	31076850	chr1_31075946_31076850	chr1_31075946_31076850	1	0X
chr1	multovl	overlap	33725990	33727789	1800	2	1	1	MACS_peak_47	.	33725990	33727864	chr1_33725990_33727789	chr1_33725990_33727864	2	XX
chr1	multovl	overlap	33725990	33727789	1800	2	2	1	MACS_peak_52	.	33725838	33727789	chr1_33725990_33727789	chr1_33725838_33727789	2	XX
chr1	multovl	overlap	33776860	33777778	919	2	1	1	MACS_peak_48	.	33776860	33777778	chr1_33776860_33777778	chr1_33776860_33777778	2	XX
chr1	multovl	overlap	33776860	33777778	919	2	2	1	MACS_peak_53	.	33776637	33778345	chr1_33776860_33777778	chr1_33776637_33778345	2	XX
chr1	multovl	overlap	33813106	33815035	1930	2	1	1	MACS_peak_49	.	33813106	33815112	chr1_33813106_33815035	chr1_33813106_33815112	2	XX
chr1	multovl	overlap	33813106	33815035	1930	2	2	1	MACS_peak_54	.	33812604	33815035	chr1_33813106_33815035	chr1_33812604_33815035	2	XX
chr1	multovl	overlap	33870029	33871999	1971	2	1	1	MACS_peak_50	.	33870029	33871999	chr1_33870029_33871999	chr1_33870029_33871999	2	XX
chr1	multovl	overlap	33870029	33871999	1971	2	2	1	MACS_peak_55	.	33869755	33872077	chr1_33870029_33871999	chr1_33869755_33872077	2	XX
chr1	multovl	overlap	33964734	33965865	1132	2	1	1	MACS_peak_51	.	33964701	33965936	chr1_33964734_33965865	chr1_33964701_33965936	2	XX
chr1	multovl	overlap	33964734	33965865	1132	2	2	1	MACS_peak_56	.	33964734	33965865	chr1_33964734_33965865	chr1_33964734_33965865	2	XX
chr1	multovl	overlap	34062695	34063765	1071	2	1	1	MACS_peak_52	.	34062695	34063765	chr1_34062695_34063765	chr1_34062695_34063765	2	XX
chr1	multovl	overlap	34062695	34063765	1071	2	2	1	MACS_peak_57	.	34062403	34064268	chr1_34062695_34063765	chr1_34062403_34064268	2	XX
chr1	multovl	overlap	34068388	34069543	1156	2	1	1	MACS_peak_53	.	34068388	34069543	chr1_34068388_34069543	chr1_34068388_34069543	2	XX
chr1	multovl	overlap	34068388	34069543	1156	2	2	1	MACS_peak_58	.	34067625	34069815	chr1_34068388_34069543	chr1_34067625_34069815	2	XX
chr1	multovl	overlap	34177645	34178544	900	2	1	1	MACS_peak_54	.	34177576	34178544	chr1_34177645_34178544	chr1_34177576_34178544	2	XX
chr1	multovl	overlap	34177645	34178544	900	2	2	1	MACS_peak_59	.	34177645	34179316	chr1_34177645_34178544	chr1_34177645_34179316	2	XX
chr1	multovl	overlap	34491090	34492752	1663	1	2	1	MACS_peak_60	.	34491090	34492752	chr1_34491090_34492752	chr1_34491090_34492752	1	0X
chr1	multovl	overlap	34495556	34497545	1990	2	1	1	MACS_peak_55	.	34495543	34497545	chr1_34495556_34497545	chr1_34495543_34497545	2	XX
chr1	multovl	overlap	34495556	34497545	1990	2	2	1	MACS_peak_61	.	34495556	34497720	chr1_34495556_34497545	chr1_34495556_34497720	2	XX
chr1	multovl	overlap	34858273	34859628	1356	2	1	1	MACS_peak_56	.	34858236	34859689	chr1_34858273_34859628	chr1_34858236_34859689	2	XX
chr1	multovl	overlap	34858273	34859628	1356	2	2	1	MACS_peak_62	.	34858273	34859628	chr1_34858273_34859628	chr1_34858273_34859628	2	XX
chr1	multovl	overlap	34897962	34900579	2618	2	1	1	MACS_peak_57	.	34897962	34900579	chr1_34897962_34900579	chr1_34897962_34900579	2	XX
chr1	multovl	overlap	34897962	34900579	2618	2	2	1	MACS_peak_63	.	34897803	34900735	chr1_34897962_34900579	chr1_34897803_34900735	2	XX
chr1	multovl	overlap	36125302	36126917	1616	2	1	1	MACS_peak_58	.	36125302	36126917	chr1_36125302_36126917	chr1_36125302_36126917	2	XX
chr1	multovl	overlap	36125302	36126917	1616	2	2	1	MACS_peak_64	.	36125263	36127635	chr1_36125302_36126917	chr1_36125263_36127635	2	XX
chr1	multovl	overlap	36300082	36301392	1311	2	1	1	MACS_peak_59	.	36300082	36301392	chr1_36300082_36301392	chr1_36300082_36301392	2	XX
chr1	multovl	overlap	36300082	36301392	1311	2	2	1	MACS_peak_65	.	36300004	36301859	chr1_36300082_36301392	chr1_36300004_36301859	2	XX
chr1	multovl	overlap	36364520	36365184	665	2	1	1	MACS_peak_60	.	36364457	36365184	chr1_36364520_36365184	chr1_36364457_36365184	2	XX
chr1	multovl	overlap	36364520	36365184	665	2	2	1	MACS_peak_66	.	36364520	36365405	chr1_36364520_36365184	chr1_36364520_36365405	2	XX
chr1	multovl	overlap	36424772	36425958	1187	2	1	1	MACS_peak_61	.	36424772	36425958	chr1_36424772_36425958	chr1_36424772_36425958	2	XX
chr1	multovl	overlap	36424772	36425958	1187	2	2	1	MACS_peak_67	.	36424642	36426079	chr1_36424772_36425958	chr1_36424642_36426079	2	XX
chr1	multovl	overlap	36501293	36502380	1088	2	1	1	MACS_peak_62	.	36501293	36502439	chr1_36501293_36502380	chr1_36501293_36502439	2	XX
chr1	multovl	overlap	36501293	36502380	1088	2	2	1	MACS_peak_68	.	36501037	36502380	chr1_36501293_36502380	chr1_36501037_36502380	2	XX
chr1	multovl	overlap	36568702	36569138	437	2	1	1	MACS_peak_63	.	36568702	36569138	chr1_36568702_36569138	chr1_36568702_36569138	2	XX
chr1	multovl	overlap	36568702	36569138	437	2	2	1	MACS_peak_69	.	36568646	36570441	chr1_36568702_36569138	chr1_36568646_36570441	2	XX
chr1	multovl	overlap	36569281	36570380	1100	2	1	1	MACS_peak_64	.	36569281	36570380	chr1_36569281_36570380	chr1_36569281_36570380	2	XX
chr1	multovl	overlap	36569281	36570380	1100	2	2	1	MACS_peak_69	.	36568646	36570441	chr1_36569281_36570380	chr1_36568646_36570441	2	XX
chr1	multovl	overlap	36603327	36604150	824	2	1	1	MACS_peak_65	.	36603327	36604287	chr1_36603327_36604150	chr1_36603327_36604287	2	XX
chr1	multovl	overlap	36603327	36604150	824	2	2	1	MACS_peak_70	.	36602967	36604150	chr1_36603327_36604150	chr1_36602967_36604150	2	XX
chr1	multovl	overlap	36612271	36615143	2873	2	1	1	MACS_peak_66	.	36612271	36615306	chr1_36612271_36615143	chr1_36612271_36615306	2	XX
chr1	multovl	overlap	36612271	36615143	2873	2	2	1	MACS_peak_71	.	36612204	36615143	chr1_36612271_36615143	chr1_36612204_36615143	2	XX
chr1	multovl	overlap	36748305	36749565	1261	2	1	1	MACS_peak_67	.	36747752	36749565	chr1_36748305_36749565	chr1_36747752_36749565	2	XX
chr1	multovl	overlap	36748305	36749565	1261	2	2	1	MACS_peak_72	.	36748305	36749740	chr1_36748305_36749565	chr1_36748305_36749740	2	XX
chr1	multovl	overlap	36765203	36766992	1790	2	1	1	MACS_peak_68	.	36765203	36766992	chr1_36765203_36766992	chr1_36765203_36766992	2	XX
chr1	multovl	overlap	36765203	36766992	1790	2	2	1	MACS_peak_73	.	36765116	36767122	chr1_36765203_36766992	chr1_36765116_36767122	2	XX
chr1	multovl	overlap	36994888	36997510	2623	2	1	1	MACS_peak_69	.	36994888	36997510	chr1_36994888_36997510	chr1_36994888_36997510	2	XX
chr1	multovl	overlap	36994888	36997510	2623	2	2	1	MACS_peak_74	.	36994453	36997609	chr1_36994888_36997510	chr1_36994453_36997609	2	XX
chr1	multovl	overlap	37356650	37357807	1158	2	1	1	MACS_peak_70	.	37356510	37357807	chr1_37356650_37357807	chr1_37356510_37357807	2	XX
chr1	multovl	overlap	37356650	37357807	1158	2	2	1	MACS_peak_75	.	37356650	37357850	chr1_37356650_37357807	chr1_37356650_37357850	2	XX
chr1	multovl	overlap	37485640	37488221	2582	2	1	1	MACS_peak_71	.	37485640	37488221	chr1_37485640_37488221	chr1_37485640_37488221	2	XX
chr1	multovl	overlap	37485640	37488221	2582	2	2	1	MACS_peak_76	.	37485479	37488311	chr1_37485640_37488221	chr1_37485479_37488311	2	XX
chr1	multovl	overlap	37921040	37921853	814	2	1	1	MACS_peak_72	.	37921040	37922902	chr1_37921040_37921853	chr1_37921040_37922902	2	XX
chr1	multovl	overlap	37921040	37921853	814	2	2	1	MACS_peak_77	.	37920935	37921853	chr1_37921040_37921853	chr1_37920935_37921853	2	XX
chr1	multovl	overlap	37921951	37922902	952	2	1	1	MACS_peak_72	.	37921040	37922902	chr1_37921951_37922902	chr1_37921040_37922902	2	XX
chr1	multovl	overlap	37921951	37922902	952	2	2	1	MACS_peak_78	.	37921951	37922902	chr1_37921951_37922902	chr1_37921951_37922902	2	XX
chr1	multovl	overlap	37929032	37930049	1018	2	1	1	MACS_peak_73	.	37929032	37930049	chr1_37929032_37930049	chr1_37929032_37930049	2	XX
chr1	multovl	overlap	37929032	37930049	1018	2	2	1	MACS_peak_79	.	37928160	37930123	chr1_37929032_37930049	chr1_37928160_37930123	2	XX
chr1	multovl	overlap	37945860	37948231	2372	2	1	1	MACS_peak_74	.	37945860	37948231	chr1_37945860_37948231	chr1_37945860_37948231	2	XX
chr1	multovl	overlap	37945860	37948231	2372	2	2	1	MACS_peak_80	.	37945708	37948517	chr1_37945860_37948231	chr1_37945708_37948517	2	XX
chr1	multovl	overlap	38052835	38056368	3534	2	1	1	MACS_peak_75	.	38052835	38056368	chr1_38052835_38056368	chr1_38052835_38056368	2	XX
chr1	multovl	overlap	38052835	38056368	3534	2	2	1	MACS_peak_81	.	38052774	38056446	chr1_38052835_38056368	chr1_38052774_38056446	2	XX
chr1	multovl	overlap	38184895	38186422	1528	2	1	1	MACS_peak_76	.	38184895	38186436	chr1_38184895_38186422	chr1_38184895_38186436	2	XX
chr1	multovl	overlap	38184895	38186422	1528	2	2	1	MACS_peak_82	.	38184225	38186422	chr1_38184895_38186422	chr1_38184225_38186422	2	XX
chr1	multovl	overlap	38953957	38955213	1257	2	1	1	MACS_peak_77	.	38953957	38955213	chr1_38953957_38955213	chr1_38953957_38955213	2	XX
chr1	multovl	overlap	38953957	38955213	1257	2	2	1	MACS_peak_83	.	38953907	38955434	chr1_38953957_38955213	chr1_38953907_38955434	2	XX
chr1	multovl	overlap	39043755	39045805	2051	2	1	1	MACS_peak_78	.	39043720	39045865	chr1_39043755_39045805	chr1_39043720_39045865	2	XX
chr1	multovl	overlap	39043755	39045805	2051	2	2	1	MACS_peak_84	.	39043755	39045805	chr1_39043755_39045805	chr1_39043755_39045805	2	XX
chr1	multovl	overlap	39424638	39426414	1777	2	1	1	MACS_peak_79	.	39424482	39426414	chr1_39424638_39426414	chr1_39424482_39426414	2	XX
chr1	multovl	overlap	39424638	39426414	1777	2	2	1	MACS_peak_85	.	39424638	39426694	chr1_39424638_39426414	chr1_39424638_39426694	2	XX
chr1	multovl	overlap	39534295	39535618	1324	2	1	1	MACS_peak_80	.	39534295	39535667	chr1_39534295_39535618	chr1_39534295_39535667	2	XX
chr1	multovl	overlap	39534295	39535618	1324	2	2	1	MACS_peak_86	.	39534283	39535618	chr1_39534295_39535618	chr1_39534283_39535618	2	XX
chr1	multovl	overlap	39591951	39593959	2009	2	1	1	MACS_peak_81	.	39591951	39593959	chr1_39591951_39593959	chr1_39591951_39593959	2	XX
chr1	multovl	overlap	39591951	39593959	2009	2	2	1	MACS_peak_87	.	39591777	39594078	chr1_39591951_39593959	chr1_39591777_39594078	2	XX
chr1	multovl	overlap	39632225	39634250	2026	2	1	1	MACS_peak_82	.	39632104	39634250	chr1_39632225_39634250	chr1_39632104_39634250	2	XX
chr1	multovl	overlap	39632225	39634250	2026	2	2	1	MACS_peak_88	.	39632225	39634323	chr1_39632225_39634250	chr1_39632225_39634323	2	XX
chr1	multovl	overlap	39956880	39957553	674	1	1	1	MACS_peak_83	.	39956880	39957553	chr1_39956880_39957553	chr1_39956880_39957553	1	X0
chr1	multovl	overlap	39957880	39960552	2673	2	1	1	MACS_peak_84	.	39957880	39960552	chr1_39957880_39960552	chr1_39957880_39960552	2	XX
chr1	multovl	overlap	39957880	39960552	2673	2	2	1	MACS_peak_89	.	39957802	39961192	chr1_39957880_39960552	chr1_39957802_39961192	2	XX
