chromosome	start	end	strand	length	tracknum	peaks1.bed.bed	peaks2.bed.bed	code
chr10	60292401	60294265	.	1864	1	1	1	XX
chr10	60608237	60610431	.	2194	1	1	1	XX
chr10	60735460	60736272	.	812	1	1	1	XX
chr10	6079309	6080363	.	1054	1	1	1	XX
chr10	60845240	60846787	.	1547	1	1	1	XX
chr10	60914355	60915632	.	1277	1	1	1	XX
chr10	60938463	60939593	.	1130	1	1	1	XX
chr10	61111296	61112230	.	934	1	1	1	XX
chr10	61143022	61144173	.	1151	1	1	1	XX
chr10	61157578	61159792	.	2214	1	1	1	XX
chr10	61177765	61178894	.	1129	1	1	1	XX
chr10	61245607	61246895	.	1288	1	1	0	X0
chr10	61801884	61804222	.	2338	1	1	1	XX
chr10	61911548	61913389	.	1841	1	1	1	XX
chr10	61948476	61949424	.	948	1	1	1	XX
chr10	62040257	62041511	.	1254	1	1	1	XX
chr10	62063849	62065812	.	1963	1	1	1	XX
chr10	62112926	62114006	.	1080	1	1	1	XX
chr10	62253710	62255285	.	1575	1	1	1	XX
chr10	62348861	62350268	.	1407	1	1	0	X0
chr10	62382718	62384291	.	1573	1	1	1	XX
chr10	62442901	62444009	.	1108	1	1	1	XX
chr10	62485238	62486176	.	938	1	1	1	XX
chr10	62486793	62487684	.	891	1	1	1	XX
chr10	62706560	62707791	.	1231	1	1	1	XX
chr10	62844952	62845657	.	705	1	1	0	X0
chr10	62891196	62892159	.	963	1	2	2	XX
chr10	62892169	62893327	.	1158	1	2	2	XX
chr10	6372148	6373499	.	1351	1	1	1	XX
chr10	66558513	66559185	.	672	1	1	0	X0
chr10	66559199	66559765	.	566	1	2	1	XX
chr10	66559768	66561186	.	1418	1	2	1	XX
chr10	66648354	66649114	.	760	1	1	1	XX
chr10	66747072	66748019	.	947	1	1	1	XX
chr10	66999138	67000005	.	867	1	1	0	X0
chr10	67010350	67011695	.	1345	1	1	1	XX
chr10	67011699	67012654	.	955	1	1	1	XX
chr10	67374514	67375490	.	976	1	1	1	XX
chr10	67442281	67443099	.	818	1	1	1	XX
chr10	67598636	67599493	.	857	1	1	0	X0
chr10	67739160	67740869	.	1709	1	1	1	XX
chr10	68674727	68676783	.	2056	1	1	1	XX
chr10	68814604	68815746	.	1142	1	1	1	XX
chr10	68996438	68998979	.	2541	1	1	1	XX
chr10	69560003	69561724	.	1721	1	1	1	XX
chr10	69903118	69904190	.	1072	1	1	1	XX
chr10	69957565	69958307	.	742	1	1	0	X0
chr10	70620955	70622427	.	1472	1	1	1	XX
chr10	70699835	70701482	.	1647	1	1	1	XX
chr10	70746870	70748322	.	1452	1	1	1	XX
chr10	70807010	70808200	.	1190	1	1	1	XX
chr10	70809783	70810480	.	697	1	1	0	X0
chr10	70810525	70812061	.	1536	1	1	1	XX
chr10	72117319	72118895	.	1576	1	1	1	XX
chr10	7309846	7310727	.	881	1	1	0	X0
chr10	7382095	7383856	.	1761	1	1	1	XX
chr10	7386921	7387939	.	1018	1	1	1	XX
chr10	7399996	7401300	.	1304	1	1	2	XX
chr10	7445722	7446768	.	1046	1	1	1	XX
chr10	74499258	74500706	.	1448	1	1	1	XX
chr10	74674750	74675855	.	1105	1	1	1	XX
chr10	74979300	74980166	.	866	1	1	1	XX
chr10	74980243	74980729	.	486	1	2	1	XX
chr10	74980730	74981668	.	938	1	2	1	XX
chr10	7499919	7500926	.	1007	1	1	0	X0
chr10	7511897	7513464	.	1567	1	1	1	XX
chr10	75129515	75131066	.	1551	1	1	1	XX
chr10	75226328	75227727	.	1399	1	1	1	XX
chr10	75235237	75236133	.	896	1	1	1	XX
chr10	75243306	75244232	.	926	1	1	1	XX
chr10	75321614	75322693	.	1079	1	1	1	XX
chr10	75383329	75385260	.	1931	1	1	1	XX
chr10	75394456	75395552	.	1096	1	1	1	XX
chr10	75495113	75496443	.	1330	1	1	1	XX
chr10	75699823	75701309	.	1486	1	1	1	XX
chr10	75807095	75807940	.	845	1	1	1	XX
chr10	75904760	75905548	.	788	1	1	1	XX
chr10	75930886	75932276	.	1390	1	1	1	XX
chr10	75994250	75995046	.	796	1	1	1	XX
chr10	76085048	76086005	.	957	1	1	1	XX
chr10	76187762	76188988	.	1226	1	1	1	XX
chr10	76423862	76424752	.	890	1	1	1	XX
chr10	76495365	76496987	.	1622	1	1	1	XX
chr10	76721214	76722885	.	1671	1	1	1	XX
chr10	7674470	7675526	.	1056	1	1	1	XX
chr10	76881056	76881806	.	750	1	1	1	XX
chr10	76977644	76979383	.	1739	1	1	1	XX
chr10	77044363	77045405	.	1042	1	1	1	XX
chr10	77046273	77047112	.	839	1	1	0	X0
chr10	77069241	77070249	.	1008	1	1	1	XX
chr10	77084934	77085866	.	932	1	1	1	XX
chr10	77441275	77442180	.	905	1	1	1	XX
chr10	77471490	77472988	.	1498	1	1	1	XX
chr10	77631588	77632644	.	1056	1	1	1	XX
chr10	77646870	77648118	.	1248	1	1	1	XX
chr10	77706344	77707330	.	986	1	1	0	X0
chr10	77707388	77708282	.	894	1	1	1	XX
chr10	77874508	77876019	.	1511	1	1	1	XX
chr10	77887799	77889353	.	1554	1	1	1	XX
chr10	77926719	77927803	.	1084	1	1	1	XX
chr10	78037010	78038568	.	1558	1	1	1	XX
chr10	78053102	78054848	.	1746	1	1	1	XX
chr10	78559451	78560180	.	729	1	1	1	XX
chr10	78995524	78996720	.	1196	1	1	1	XX
chr10	79016509	79017589	.	1080	1	2	1	XX
chr10	79017622	79018523	.	901	1	2	1	XX
chr10	79131449	79133591	.	2142	1	1	1	XX
chr10	79145156	79146927	.	1771	1	1	1	XX
chr10	79167103	79168534	.	1431	1	1	1	XX
chr10	79208755	79209383	.	628	1	1	0	X0
chr10	79228347	79229654	.	1307	1	1	1	XX
chr10	79256306	79257808	.	1502	1	1	1	XX
chr10	79317257	79320024	.	2767	1	1	1	XX
chr10	79336501	79337278	.	777	1	1	0	X0
chr10	79371107	79371875	.	768	1	1	0	X0
chr10	79378695	79380348	.	1653	1	1	1	XX
chr10	79389728	79391137	.	1409	1	1	2	XX
chr10	79422719	79423809	.	1090	1	1	1	XX
chr10	79446041	79446914	.	873	1	1	1	XX
chr10	79447008	79447758	.	750	1	1	1	XX
chr10	79448323	79449293	.	970	1	1	1	XX
chr10	79451166	79453271	.	2105	1	1	1	XX
chr10	79501639	79502603	.	964	1	1	1	XX
chr10	79516304	79518022	.	1718	1	1	1	XX
chr10	79564634	79565727	.	1093	1	2	2	XX
chr10	79566435	79567308	.	873	1	2	2	XX
chr10	79579024	79580262	.	1238	1	1	1	XX
chr10	79601031	79602068	.	1037	1	1	1	XX
chr10	79604988	79605833	.	845	1	1	1	XX
chr10	79610626	79613134	.	2508	1	1	2	XX
chr10	79613307	79614762	.	1455	1	1	1	XX
chr10	79689374	79690332	.	958	1	1	1	XX
chr10	79711877	79713295	.	1418	1	1	1	XX
chr10	79722906	79723964	.	1058	1	1	1	XX
chr10	79724119	79725151	.	1032	1	1	1	XX
chr10	79727843	79728663	.	820	1	1	1	XX
chr10	79755131	79756728	.	1597	1	1	1	XX
chr10	79782512	79783651	.	1139	1	1	1	XX
chr10	79785452	79786850	.	1398	1	1	1	XX
chr10	79810417	79811527	.	1110	1	1	1	XX
chr10	79848060	79850252	.	2192	1	1	1	XX
chr10	79861061	79862247	.	1186	1	1	0	X0
chr10	79868678	79869891	.	1213	1	1	1	XX
chr10	79895091	79896612	.	1521	1	1	1	XX
chr10	79937510	79938842	.	1332	1	1	0	X0
chr10	80023382	80024473	.	1091	1	1	1	XX
chr10	80038376	80041941	.	3565	1	1	2	XX
chr10	80052255	80053219	.	964	1	1	1	XX
chr10	80065289	80066930	.	1641	1	1	1	XX
chr10	80085676	80086810	.	1134	1	1	1	XX
chr10	80118398	80119335	.	937	1	1	0	X0
chr10	80137413	80138991	.	1578	1	1	1	XX
chr10	80139354	80140183	.	829	1	1	1	XX
chr10	80163993	80164797	.	804	1	1	1	XX
chr10	80165386	80166490	.	1104	1	1	1	XX
chr10	80203512	80205140	.	1628	1	1	1	XX
chr10	80217968	80219428	.	1460	1	1	1	XX
chr10	80259901	80262557	.	2656	1	1	1	XX
chr10	80289559	80291133	.	1574	1	1	1	XX
chr10	80317052	80318980	.	1928	1	1	1	XX
chr10	80362464	80363688	.	1224	1	1	1	XX
chr10	80380202	80381313	.	1111	1	1	1	XX
chr10	80391440	80392538	.	1098	1	1	1	XX
chr10	80392675	80395025	.	2350	1	1	1	XX
chr10	80476949	80477783	.	834	1	1	0	X0
chr10	80499542	80500153	.	611	1	1	1	XX
chr10	80521852	80523101	.	1249	1	1	1	XX
chr10	80532529	80533461	.	932	1	1	1	XX
chr10	80567855	80570270	.	2415	1	1	1	XX
chr10	80598522	80600063	.	1541	1	1	1	XX
chr10	80600822	80602261	.	1439	1	1	1	XX
chr10	80629413	80630631	.	1218	1	1	1	XX
chr10	80631420	80632071	.	651	1	1	1	XX
chr10	80639253	80642268	.	3015	1	1	0	X0
chr10	80645755	80646950	.	1195	1	1	1	XX
chr10	80695203	80696385	.	1182	1	1	2	XX
chr10	80730734	80731946	.	1212	1	1	1	XX
chr10	80755709	80756813	.	1104	1	1	1	XX
chr10	80783746	80785035	.	1289	1	1	1	XX
chr10	80812142	80813278	.	1136	1	1	1	XX
chr10	80820257	80821212	.	955	1	1	1	XX
chr10	80840049	80841226	.	1177	1	1	1	XX
chr10	80847112	80848346	.	1234	1	1	1	XX
chr10	80944665	80945599	.	934	1	1	1	XX
chr10	80958004	80959365	.	1361	1	1	1	XX
chr10	81006746	81007776	.	1030	1	1	1	XX
chr10	81022245	81023627	.	1382	1	1	1	XX
chr10	81033790	81034475	.	685	1	1	1	XX
chr10	81037966	81038927	.	961	1	1	1	XX
chr10	81068764	81069801	.	1037	1	1	1	XX
chr10	81089443	81090640	.	1197	1	1	1	XX
chr10	81105409	81107057	.	1648	1	1	1	XX
chr10	81510512	81511445	.	933	1	1	1	XX
chr10	81590397	81591581	.	1184	1	1	1	XX
chr10	81640524	81641993	.	1469	1	1	1	XX
chr10	81703196	81704254	.	1058	1	1	1	XX
chr10	81816672	81817900	.	1228	1	1	1	XX
chr10	82091894	82092562	.	668	1	2	1	XX
chr10	82092680	82093965	.	1285	1	2	1	XX
chr10	82161546	82163012	.	1466	1	1	1	XX
chr10	82321874	82324728	.	2854	1	1	1	XX
chr10	8237536	8238781	.	1245	1	1	1	XX
chr10	82447476	82449355	.	1879	1	1	1	XX
chr10	82822653	82823690	.	1037	1	1	1	XX
chr10	82996159	82996868	.	709	1	1	0	X0
chr10	83006358	83007443	.	1085	1	1	1	XX
chr10	83110670	83111503	.	833	1	1	1	XX
chr10	83900807	83901673	.	866	1	2	1	XX
chr10	83901694	83903457	.	1763	1	2	1	XX
chr10	83903529	83904650	.	1121	1	1	1	XX
chr10	83994564	83996803	.	2239	1	1	2	XX
chr10	84038638	84040691	.	2053	1	1	1	XX
chr10	84084722	84086056	.	1334	1	1	1	XX
chr10	84379988	84381322	.	1334	1	1	1	XX
chr10	84564434	84565362	.	928	1	1	1	XX
chr10	84565479	84566753	.	1274	1	1	1	XX
chr10	84590088	84591109	.	1021	1	1	1	XX
chr10	84646653	84648027	.	1374	1	1	1	XX
chr10	8480965	8482088	.	1123	1	1	1	XX
chr10	85334297	85335503	.	1206	1	1	1	XX
chr10	85378734	85379734	.	1000	1	1	1	XX
chr10	85419520	85420551	.	1031	1	1	1	XX
chr10	85484592	85485764	.	1172	1	1	1	XX
chr10	85763207	85765356	.	2149	1	1	1	XX
chr10	86148008	86148892	.	884	1	1	0	X0
chr10	86166706	86168465	.	1759	1	2	1	XX
chr10	86168473	86169410	.	937	1	2	1	XX
chr10	86241712	86242843	.	1131	1	1	1	XX
chr10	87322515	87324121	.	1606	1	1	0	X0
chr10	87609062	87610618	.	1556	1	1	1	XX
chr10	87663679	87664786	.	1107	1	1	1	XX
chr10	87818958	87820134	.	1176	1	1	1	XX
chr10	87841910	87843018	.	1108	1	1	1	XX
chr10	87965835	87966668	.	833	1	1	1	XX
chr10	88193029	88195493	.	2464	1	1	2	XX
chr10	88288572	88289890	.	1318	1	1	1	XX
chr10	88905677	88906792	.	1115	1	1	1	XX
chr10	89148003	89149463	.	1460	1	1	1	XX
chr10	89194352	89195742	.	1390	1	1	1	XX
chr10	89207732	89208456	.	724	1	1	1	XX
chr10	90544443	90545505	.	1062	1	1	1	XX
chr10	90545659	90546629	.	970	1	1	1	XX
chr10	90585589	90586823	.	1234	1	1	1	XX
chr10	90633711	90634456	.	745	1	2	1	XX
chr10	90634461	90635246	.	785	1	2	1	XX
chr10	90643683	90644646	.	963	1	1	1	XX
chr10	92184248	92185281	.	1033	1	1	1	XX
chr10	92624083	92625019	.	936	1	1	1	XX
chr10	92772587	92773639	.	1052	1	1	1	XX
chr10	92915853	92917013	.	1160	1	1	1	XX
chr10	93051575	93052358	.	783	1	1	1	XX
chr10	93351374	93353402	.	2028	1	1	1	XX
chr10	93497520	93498634	.	1114	1	1	1	XX
chr10	93610271	93611631	.	1360	1	1	1	XX
chr10	93661498	93662669	.	1171	1	1	1	XX
chr10	9392457	9395067	.	2610	1	1	1	XX
chr10	93977589	93978642	.	1053	1	1	1	XX
chr10	94150508	94152178	.	1670	1	1	1	XX
chr10	94785833	94786749	.	916	1	1	1	XX
chr10	94963867	94964886	.	1019	1	1	1	XX
chr10	94978036	94978804	.	768	1	1	1	XX
chr10	95024823	95026729	.	1906	1	1	1	XX
chr10	95403670	95404501	.	831	1	1	1	XX
chr10	96079864	96081345	.	1481	1	1	1	XX
chr10	96082406	96083099	.	693	1	1	1	XX
chr10	9619836	9621880	.	2044	1	1	1	XX
chr10	98376204	98376882	.	678	1	1	0	X0
chr10	98377035	98377713	.	678	1	1	0	X0
chr10	98377986	98379408	.	1422	1	1	1	XX
chr10	98723745	98725107	.	1362	1	1	1	XX
chr10	98725833	98727888	.	2055	1	2	1	XX
chr10	98728252	98729246	.	994	1	2	1	XX
chr10	99478361	99479284	.	923	1	1	1	XX
chr10	99949039	99950894	.	1855	1	1	1	XX
chr11	100181252	100182822	.	1570	1	1	1	XX
chr11	100257767	100259204	.	1437	1	1	1	XX
chr11	100273682	100276375	.	2693	1	2	1	XX
chr11	100276759	100278536	.	1777	1	2	1	XX
chr11	100301644	100302747	.	1103	1	1	1	XX
chr11	100332111	100332864	.	753	1	2	1	XX
chr11	100332958	100334402	.	1444	1	2	1	XX
chr11	100387567	100389351	.	1784	1	1	1	XX
chr11	100406050	100407686	.	1636	1	1	1	XX
chr11	100479357	100481893	.	2536	1	1	1	XX
chr11	100483917	100484900	.	983	1	1	1	XX
chr11	100563906	100564695	.	789	1	1	0	X0
chr11	100572827	100573943	.	1116	1	1	1	XX
chr11	100598100	100599601	.	1501	1	1	1	XX
chr11	100622702	100623563	.	861	1	1	1	XX
chr11	100631595	100632867	.	1272	1	1	1	XX
chr11	100710681	100712049	.	1368	1	1	1	XX
chr11	100721406	100722436	.	1030	1	1	1	XX
chr11	100798935	100800935	.	2000	1	1	1	XX
chr11	100829123	100832127	.	3004	1	1	1	XX
chr11	100870064	100871894	.	1830	1	1	1	XX
chr11	100931170	100932381	.	1211	1	1	1	XX
chr11	100943658	100944983	.	1325	1	1	1	XX
chr11	100947958	100949773	.	1815	1	1	1	XX
chr11	100956050	100957384	.	1334	1	1	1	XX
chr11	100980109	100981324	.	1215	1	2	2	XX
chr11	100981394	100982436	.	1042	1	2	2	XX
chr11	101030790	101032676	.	1886	1	1	1	XX
chr11	101033128	101034127	.	999	1	1	1	XX
chr11	101114015	101115874	.	1859	1	1	1	XX
chr11	101120987	101122337	.	1350	1	1	0	X0
chr11	101139257	101140327	.	1070	1	1	1	XX
chr11	101162216	101163767	.	1551	1	1	1	XX
chr11	101176743	101178827	.	2084	1	1	1	XX
chr11	101278057	101279137	.	1080	1	1	0	X0
chr11	101285316	101287674	.	2358	1	1	1	XX
chr11	101303580	101304947	.	1367	1	1	1	XX
chr11	101309408	101311005	.	1597	1	1	1	XX
chr11	101325031	101328112	.	3081	1	1	1	XX
chr11	101328475	101330204	.	1729	1	1	1	XX
chr11	101412441	101415269	.	2828	1	1	2	XX
chr11	101489216	101489983	.	767	1	1	1	XX
chr11	101526261	101527571	.	1310	1	1	1	XX
chr11	101594083	101595367	.	1284	1	1	1	XX
chr11	101644954	101646720	.	1766	1	1	2	XX
