# peak_chr	peak_start	peak_end	gene_name	gene_class	distance
chr10	75298808	75299292	GSTT2:NM_010361	core_gene_genebody_peak	0
chr10	75299840	75300537	GSTT2:NM_010361	core_gene_genebody_peak	0
chr10	75412032	75413055	VPREB3:NM_009514	core_gene_genebody_peak	0
chr10	75444136	75444544	GM5134:NM_198635	core_gene_genebody_peak	0
chr10	7559001	7559871	ZC3H12D:NM_172785	core_gene_genebody_peak	0
chr10	75817592	75818333	PCNT:NM_008787	core_gene_genebody_peak	0
chr10	75844635	75845512	PCNT:NM_008787	core_gene_genebody_peak	0
chr10	75846782	75847588	PCNT:NM_008787	core_gene_genebody_peak	0
chr10	76419005	76419409	PCBP3:NM_021568	core_gene_genebody_peak	0
chr10	76519450	76520199	COL18A1:NM_001109991:NM_009929	core_gene_genebody_peak	0
chr1	10111232	10111570	CSPP1:NM_026493	core_gene_genebody_peak	0
chr1	108170438	108170857	PHLPP1:NM_133821	core_gene_genebody_peak	0
chr1	108445666	108446278	BCL2:NM_009741:NM_177410	core_gene_genebody_peak	0
chr1	108451952	108452646	BCL2:NM_009741:NM_177410	core_gene_genebody_peak	0
chr11	100477200	100477624	DNAJC7:NM_019795	core_gene_genebody_peak	0
chr11	100481232	100481647	DNAJC7:NM_019795	core_gene_TSS_peak	0
chr11	100800672	100801502	STAT3:NM_213660:NM_011486:NM_213659	core_gene_TSS_peak	0
chr11	100931011	100931373	NAGLU:NM_013792	core_gene_genebody_peak	0
chr11	101303225	101303825	RPL27:NM_011289	core_gene_TSS_peak	0
chr11	101412653	101413605	BRCA1:NM_009764	core_gene_TSS_peak	0
chr11	101412653	101413605	NBR1:NM_008676	core_gene_TSS_peak	0
chr11	101846141	101846766	1700006E09RIK:NM_029287	core_gene_genebody_peak	0
chr11	101846141	101846766	DUSP3:NM_028207	core_gene_genebody_peak	0
chr11	101876336	101877186	MPP3:NM_007863	core_gene_genebody_peak	0
chr11	102145606	102146521	TMUB2:NM_028076	core_gene_TSS_peak	0
chr11	102212560	102213308	SLC4A1:NM_011403	core_gene_genebody_peak	0
chr11	102269579	102270161	SLC25A39:NM_026542	core_gene_genebody_peak	0
chr11	102293407	102294453	GRN:NM_008175	core_gene_genebody_peak	0
chr11	102977660	102978973	HEXIM1:NM_138753	core_gene_genebody_peak	0
chr11	103128778	103129541	MAP3K14:NM_016896	core_gene_genebody_peak	0
chr11	103273987	103275144	PLEKHM1:NM_183034	core_gene_genebody_peak	0
chr11	104150015	104150499	MAPT:NM_010838:NM_001038609	core_gene_genebody_peak	0
chr11	104492485	104493011	ITGB3:NM_016780	core_gene_genebody_peak	0
chr11	104497984	104498923	ITGB3:NM_016780	core_gene_genebody_peak	0
chr11	105209158	105209539	MRC2:NM_008626	core_gene_genebody_peak	0
chr11	106054931	106055499	STRADA:NM_028126	core_gene_genebody_peak	0
chr11	106186068	106186786	SCN4A:NM_133199	core_gene_genebody_peak	0
chr11	106196514	106197090	SCN4A:NM_133199	core_gene_genebody_peak	0
chr11	106462933	106464160	TEX2:NM_198292	core_gene_genebody_peak	0
chr11	106967574	106968502	NM_176850:NM_176850	core_gene_genebody_peak	0
chr11	118949565	118951226	CBX4:NM_007625	core_gene_genebody_peak	0
chr11	119011654	119012328	TBC1D16:NM_172443	core_gene_genebody_peak	0
chr11	119024117	119025134	TBC1D16:NM_172443	core_gene_genebody_peak	0
chr11	119051732	119052385	TBC1D16:NM_172443	core_gene_genebody_peak	0
chr11	119052601	119053522	TBC1D16:NM_172443	core_gene_genebody_peak	0
chr11	119838306	119838952	BAIAP2:NM_130862:NM_001037754:NM_001037755	core_gene_genebody_peak	0
chr9	70941878	70942290	.	unassigned_peak	.
chr9	77840047	77840689	.	unassigned_peak	.
chr9	83127139	83127923	.	unassigned_peak	.
chr9	83278827	83279344	.	unassigned_peak	.
chr9	83528238	83528721	.	unassigned_peak	.
chr9	83536648	83537199	.	unassigned_peak	.
chr9	83552737	83553135	.	unassigned_peak	.
chrX	11219729	11220227	.	unassigned_peak	.
chrX	11224086	11224569	.	unassigned_peak	.
chrX	11324751	11325167	.	unassigned_peak	.
chrX	11361142	11361499	.	unassigned_peak	.
chrX	11398915	11399429	.	unassigned_peak	.
chrX	39696053	39696971	.	unassigned_peak	.
chrX	50559090	50559510	.	unassigned_peak	.
chrX	96525901	96526291	.	unassigned_peak	.
