chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
chr1	36320815	36321524	710	352	27	146.39	16.30	1.93
chr1	36338433	36339243	811	490	22	55.02	6.52	2.69
chr1	36353897	36354514	618	272	17	54.42	7.33	2.82
chr1	36364531	36365722	1192	467	75	379.02	17.50	8.26
chr1	36425778	36426383	606	286	26	161.99	24.93	1.93
chr1	36501646	36502270	625	384	19	101.62	10.92	1.61
chr1	36527835	36528632	798	436	22	86.72	9.78	1.61
chr1	36568587	36569164	578	365	17	87.61	13.47	1.60
chr1	36569225	36569681	457	197	16	76.03	13.20	1.57
chr1	36599551	36599775	225	113	8	56.73	11.50	2.47
chr1	36613669	36614641	973	439	31	101.76	9.43	1.60
chr1	36747961	36748647	687	364	21	61.25	11.41	1.93
chr1	36823134	36824036	903	778	24	62.88	7.52	1.80
chr1	36853611	36854825	1215	891	49	101.14	11.85	1.62
chr1	36892299	36893057	759	406	31	176.43	20.75	2.15
chr1	36917149	36917721	573	356	23	97.40	12.83	1.62
chr1	36996518	36997162	645	294	15	74.38	10.48	1.57
chr1	37356584	37357220	637	403	19	103.45	14.67	1.59
chr1	37365404	37365968	565	255	15	50.23	7.93	3.63
chr1	37369571	37370163	593	332	17	59.78	7.93	2.08
chr1	37458638	37459147	510	231	17	72.55	7.33	1.59
chr1	37486348	37487378	1031	611	43	212.09	14.67	2.86
chr1	37597642	37598334	693	364	19	117.52	14.93	1.60
chr1	37603433	37604160	728	440	32	114.32	11.00	1.54
chr1	37642615	37643499	885	525	39	120.01	11.68	1.62
chr1	37722182	37723175	994	402	37	155.04	10.48	1.97
chr1	37921320	37922457	1138	793	53	335.48	25.51	6.15
chr1	37928949	37929527	579	254	15	64.18	13.47	1.76
chr1	37946928	37947553	626	323	30	117.37	13.20	1.60
chr1	38054560	38055551	992	359	34	199.43	13.97	2.70
chr1	38186220	38186886	667	448	18	65.40	9.78	1.74
chr1	38258009	38258355	347	113	9	52.83	10.00	3.13
chr1	38700495	38700956	462	183	14	78.89	12.48	1.55
chr1	38714336	38715493	1158	285	36	136.48	10.64	1.93
chr1	38752720	38753326	607	124	21	93.68	10.00	1.68
chr1	38824569	38825132	564	320	14	54.91	11.00	2.76
chr1	38892345	38892927	583	297	14	64.91	15.28	1.76
chr1	39044200	39045082	883	367	34	117.31	11.41	1.60
chr1	39135634	39136105	472	315	16	79.59	13.44	1.56
chr1	39154115	39154631	517	274	13	63.63	12.22	1.77
chr1	39424446	39424898	453	203	10	50.54	11.67	3.61
chr1	39592221	39593065	845	278	26	153.26	16.92	1.96
chr1	39633761	39634517	757	547	22	101.14	9.68	1.62
chr1	39707583	39708333	751	360	19	73.79	7.05	1.56
chr1	39769560	39771365	1806	1641	60	140.60	9.35	1.99
chr1	39790886	39791681	796	547	22	51.23	7.33	3.43
chr1	39924636	39925265	630	307	15	56.51	12.43	2.50
chr1	39931471	39931707	237	119	8	53.87	10.67	2.93
chr1	39952067	39952838	772	470	34	143.70	17.86	1.90
chr1	40083962	40084563	602	312	18	80.16	13.67	1.57
chr1	40112062	40112370	309	106	11	59.30	14.10	2.08
chr1	40323521	40323744	224	113	9	51.25	11.19	3.43
chr1	40522456	40522947	492	131	14	69.78	11.28	1.70
chr1	40737329	40738378	1050	261	32	135.70	13.58	1.93
chr1	40847121	40847659	539	382	18	99.40	14.67	1.64
chr1	42362261	42362664	404	133	10	65.40	19.20	1.74
chr1	42656020	42656498	479	260	10	56.39	14.26	2.55
chr1	42741366	42741838	473	224	10	58.81	12.80	2.21
chr1	42754287	42754926	640	486	18	104.76	14.93	1.56
chr1	42755280	42755740	461	133	11	68.68	12.80	1.68
chr1	42907793	42908636	844	492	29	133.01	11.00	1.85
chr1	43148677	43149891	1215	501	31	92.02	7.59	1.65
chr1	43155175	43156095	921	413	40	241.21	16.13	3.62
chr1	43418199	43418865	667	263	36	202.06	17.81	2.59
chr1	43619222	43619696	475	130	16	55.32	11.92	2.66
chr1	43755269	43755808	540	237	19	79.20	8.91	1.54
chr1	43954679	43955375	697	302	23	81.12	10.08	1.59
chr1	43990224	43991537	1314	308	52	215.18	15.71	2.97
chr1	44158805	44159606	802	323	28	160.17	17.46	1.93
chr1	44204430	44205096	667	445	20	75.07	7.33	1.59
chr1	44596575	44596822	248	125	8	61.77	17.07	1.92
chr1	46909412	46909973	562	310	17	76.20	8.56	1.58
chr1	46910090	46910715	626	334	13	50.25	11.28	3.60
chr1	46910960	46911414	455	238	11	52.59	13.20	3.20
chr1	46978396	46978842	447	256	9	52.60	12.80	3.20
chr1	50984707	50985135	429	131	10	54.60	13.97	2.79
chr1	51534806	51535587	782	288	24	140.15	18.33	2.01
chr1	51586499	51586932	434	245	25	180.56	23.52	2.28
chr1	51641439	51642220	782	375	32	174.89	18.33	2.11
chr1	51747582	51748176	595	261	11	51.74	13.16	3.33
chr1	51932181	51932793	613	299	19	119.24	23.16	1.60
chr1	51971833	51972986	1154	248	34	119.33	8.02	1.61
chr1	51987217	51987929	713	392	37	223.90	23.22	3.15
chr1	52068171	52068632	462	128	13	50.57	8.38	3.60
chr1	52170258	52170992	735	364	29	107.88	13.47	1.55
chr1	52175861	52176770	910	411	34	204.78	16.67	2.68
chr1	52207418	52208059	642	383	19	79.20	11.77	1.54
chr1	52289163	52290236	1074	169	32	133.11	12.22	1.85
chr1	52290255	52290647	393	133	13	61.75	14.40	1.92
chr1	52345507	52345841	335	203	9	50.14	8.98	3.65
chr1	52557410	52557759	350	128	10	66.13	13.16	1.72
chr1	52568714	52569023	310	134	15	87.60	14.67	1.60
chr1	52634773	52635655	883	206	27	113.22	8.56	1.57
chr1	52687196	52687848	653	396	18	88.76	12.22	1.62
chr1	52779426	52779840	415	232	13	80.85	13.64	1.59
chr1	52783441	52784322	882	287	32	192.57	20.17	2.64
chr1	52874047	52874742	696	301	23	109.89	14.15	1.55
chr1	53353622	53354345	724	283	20	69.25	9.43	1.68
chr1	53370188	53370656	469	310	20	82.42	13.85	1.62
chr1	53381947	53382296	350	185	8	52.70	12.80	3.16
chr1	53409244	53409804	561	307	20	144.34	21.33	1.89
chr1	53841330	53842068	739	461	21	86.40	13.55	1.60
chr1	53848259	53848677	419	128	19	79.20	7.68	1.54
chr1	53908225	53908518	294	133	15	92.73	17.70	1.66
chr1	53962879	53963308	430	286	13	60.02	11.83	2.04
chr1	54002538	54003057	520	350	15	80.45	17.16	1.58
chr1	54185671	54186355	685	324	19	79.20	12.56	1.54
chr1	54250973	54251691	719	604	19	67.26	7.33	1.69
chr1	54495511	54496038	528	374	14	89.12	14.93	1.63
chr1	54614186	54614889	704	371	22	99.69	16.44	1.63
chr1	54969427	54970008	582	252	19	54.13	7.33	2.87
chr1	54982438	54983003	566	306	18	80.98	10.64	1.59
chr1	54983223	54983770	548	267	17	80.02	10.11	1.56
chr1	55083906	55084626	721	504	33	214.62	24.44	2.94
chr1	55109295	55110049	755	240	23	98.41	12.22	1.64
chr1	55144217	55145367	1151	231	42	215.03	17.60	2.96
chr1	55187709	55188872	1164	236	44	212.00	19.64	2.85
chr1	55267025	55267636	612	284	22	69.22	8.98	1.68
chr1	55293781	55294922	1142	236	59	335.23	26.89	6.13
chr1	55420446	55420829	384	219	12	66.34	12.67	1.72
chr1	55462188	55463173	986	465	33	173.80	13.75	2.08
chr1	55585137	55586316	1180	651	43	190.70	15.89	2.55
chr1	55614662	55614941	280	153	8	56.96	13.51	2.43
chr1	56065099	56065413	315	202	11	74.85	15.00	1.58
chr1	56889626	56890036	411	128	14	75.62	11.78	1.60
chr1	57027607	57028096	490	224	12	60.62	9.56	1.97
chr1	57033320	57033779	460	179	12	72.93	13.51	1.59
chr1	57037471	57037947	477	355	11	50.57	8.80	3.60
chr1	57434024	57434913	890	339	34	207.79	26.66	2.78
chr1	57462883	57464013	1131	730	38	93.33	7.33	1.67
chr1	57792829	57793198	370	94	9	59.77	10.67	2.08
chr1	57896735	57897058	324	143	10	57.34	11.28	2.37
chr1	58026740	58027374	635	321	17	91.63	12.22	1.65
chr1	58052553	58053193	641	281	24	137.84	13.20	1.97
chr1	58272188	58272741	554	302	17	59.18	9.17	2.09
chr1	58286632	58287346	715	557	20	74.32	8.56	1.56
chr1	58360264	58361049	786	482	47	277.00	27.24	4.14
chr1	58448965	58450802	1838	655	79	463.65	39.00	13.56
chr1	58501967	58502679	713	385	25	125.23	15.68	1.69
chr1	58561387	58562241	855	317	26	126.86	11.73	1.74
chr1	58709390	58709993	604	322	13	67.62	13.51	1.66
chr1	58772851	58773509	659	532	19	81.30	11.07	1.60
chr1	58851911	58852632	722	457	20	63.24	8.38	1.75
chr1	58854177	58854755	579	284	22	110.49	15.38	1.57
chr1	58859107	58859638	532	165	18	60.61	6.52	1.98
chr1	58968818	58969257	440	104	11	55.81	10.69	2.60
chr1	59003734	59004134	401	116	9	50.99	11.00	3.52
chr1	59013095	59013485	391	153	15	66.10	10.08	1.72
chr1	59029803	59030596	794	510	29	74.64	6.47	1.57
chr1	59030599	59031021	423	279	18	97.28	11.38	1.61
chr1	59176633	59177489	857	201	26	149.19	12.83	1.90
chr1	59342746	59343157	412	210	9	50.93	9.40	3.55
chr1	59379031	59379517	487	171	15	66.31	9.17	1.71
chr1	59389925	59390334	410	157	16	76.02	10.02	1.57
chr1	59538217	59538853	637	125	17	61.51	7.33	1.93
chr1	59540177	59540759	583	149	17	73.85	8.56	1.56
chr1	59614632	59615192	561	238	15	93.70	16.76	1.68
chr1	59727234	59727967	734	430	28	176.79	22.17	2.16
chr1	59820679	59821116	438	322	11	71.03	17.07	1.69
chr1	59821178	59821495	318	128	10	63.83	14.26	1.76
chr1	59970096	59970606	511	276	12	62.95	12.22	1.80
chr1	60154750	60155575	826	374	38	296.78	32.00	4.74
chr1	60236893	60237660	768	278	24	117.11	14.08	1.61
chr1	60400027	60400629	603	333	23	138.26	19.86	1.98
chr1	60466019	60466986	968	616	36	248.14	25.14	3.82
chr1	60623009	60623615	607	179	18	83.16	9.17	1.58
chr1	60623638	60624252	615	341	15	55.13	10.64	2.67
chr1	60759529	60759886	358	226	11	63.14	11.73	1.77
chr1	62752625	62753500	876	549	23	101.40	11.24	1.62
chr1	63223313	63223823	511	335	13	53.13	8.56	3.07
chr1	63329358	63329649	292	131	9	63.05	14.67	1.78
chr1	64167494	64168234	741	484	22	73.91	9.43	1.56
chr1	64355058	64355706	649	315	16	51.69	6.29	3.36
chr1	64448561	64448919	359	242	9	60.23	10.48	2.02
chr1	64578349	64579124	776	342	24	103.37	11.00	1.58
chr1	64663426	64664481	1056	357	46	278.75	19.45	3.87
chr1	64737789	64738251	463	332	21	171.82	25.60	2.07
chr1	64782438	64783440	1003	336	30	85.50	7.33	1.60
chr1	64783564	64784144	581	259	16	68.96	11.38	1.69
chr1	65224666	65225235	570	218	16	77.97	12.94	1.55
chr1	65225464	65226106	643	382	52	339.12	34.83	6.35
chr1	65232924	65233679	756	504	24	134.31	13.33	1.88
chr1	66514845	66515277	433	312	11	71.56	10.67	1.66
chr1	66747089	66747722	634	274	15	81.31	13.51	1.60
chr1	66862410	66863593	1184	439	67	372.21	22.00	7.83
chr1	66909101	66910070	970	291	27	83.16	10.48	1.58
chr1	66942331	66942724	394	290	9	51.65	9.17	3.35
chr1	71148626	71149496	871	479	28	81.93	8.96	1.61
chr1	71603440	71604071	632	295	21	69.41	9.17	1.68
chr1	71705277	71705533	257	129	8	61.77	17.07	1.92
chr1	71927765	71927987	223	112	8	50.62	9.78	3.59
chr1	72003583	72003987	405	125	10	55.05	15.00	2.67
chr1	72258607	72259229	623	309	21	84.00	14.67	1.60
chr1	72260921	72261858	938	414	32	118.76	9.83	1.61
chr1	72272875	72273250	376	118	12	58.20	11.03	2.25
chr1	72282688	72283386	699	330	23	90.09	14.35	1.62
chr1	72301090	72301609	520	304	16	58.88	9.53	2.20
chr1	72353778	72354376	599	234	20	57.70	6.59	2.29
chr1	72474895	72476249	1355	459	44	169.36	11.00	2.06
chr1	72536597	72537496	900	668	29	103.00	9.43	1.61
chr1	72629975	72630315	341	126	17	76.02	12.50	1.57
chr1	72793027	72793554	528	296	13	64.72	9.56	1.76
chr1	72871778	72872250	473	342	13	58.59	8.85	2.21
chr1	72920347	72920707	361	180	9	52.21	10.23	3.26
chr1	72925331	72925825	495	200	10	56.94	12.80	2.43
chr1	73204797	73205152	356	229	10	55.10	10.27	2.68
chr1	73870754	73871851	1098	314	27	94.36	14.76	1.61
chr1	73952153	73952708	556	312	16	73.74	13.09	1.57
chr1	73971355	73972098	744	354	21	106.30	14.35	1.53
chr1	74114888	74115320	433	314	12	66.34	9.53	1.72
chr1	74171263	74171820	558	254	14	59.05	9.17	2.19
chr1	74282710	74284228	1519	359	61	316.48	23.01	5.56
chr1	74330834	74331719	886	242	25	123.43	11.16	1.65
chr1	74350547	74351204	658	392	17	70.55	7.86	1.68
chr1	74402282	74402715	434	220	10	51.35	9.78	3.40
chr1	74433159	74433967	809	497	22	110.88	14.67	1.56
chr1	74435935	74436969	1035	502	31	140.69	11.97	2.00
chr1	74437948	74438276	329	154	13	68.94	9.71	1.69
chr1	74551965	74553170	1206	792	43	170.81	10.48	2.04
chr1	74634289	74635192	904	589	32	140.93	12.60	2.00
chr1	74708242	74708759	518	133	12	72.02	12.80	1.64
chr1	74744030	74744499	470	323	14	56.37	9.43	2.55
chr1	74799872	74800232	361	121	11	61.01	9.87	1.95
chr1	74818683	74819153	471	124	12	62.50	14.35	1.83
chr1	74820826	74821154	329	207	9	50.06	10.27	3.70
chr1	74841051	74841666	616	374	18	60.39	7.52	2.01
chr1	74846980	74847479	500	368	17	79.58	12.60	1.56
chr1	74849328	74850149	822	524	35	165.04	13.62	1.97
chr1	74852880	74853543	664	399	17	52.08	6.82	3.26
chr1	74854076	74855099	1024	725	28	92.64	8.02	1.67
chr1	74900742	74901741	1000	799	30	107.88	13.44	1.55
chr1	74904870	74905340	471	305	12	68.04	10.73	1.67
chr1	74928781	74929382	602	163	17	86.28	10.69	1.60
chr1	74997746	74998086	341	130	11	71.18	15.00	1.66
chr1	75011466	75011813	348	110	10	52.90	9.51	3.12
chr1	75137937	75138324	388	210	10	55.88	11.41	2.61
chr1	75138935	75139748	814	313	33	216.24	27.93	3.02
chr1	75165190	75165686	497	345	14	67.17	12.22	1.69
chr1	75176744	75177109	366	130	12	61.85	11.00	1.87
chr1	75188136	75188964	829	537	22	61.83	7.33	1.87
chr1	75207123	75207648	526	284	14	64.11	12.22	1.76
chr1	75313817	75314792	976	124	34	147.12	9.78	1.92
chr1	75356686	75357198	513	263	12	51.90	9.68	3.32
chr1	75368001	75368340	340	191	12	72.37	11.28	1.60
chr1	75384638	75385373	736	127	21	89.58	10.92	1.63
chr1	75419261	75419880	620	243	14	50.10	9.78	3.66
chr1	75444086	75444649	564	303	14	74.02	15.71	1.56
chr1	75445461	75446109	649	518	20	98.81	14.04	1.64
chr1	75465800	75466233	434	289	10	52.25	10.00	3.25
chr1	75469436	75470030	595	346	15	79.13	13.97	1.54
chr1	75473722	75474496	775	478	24	103.49	12.22	1.59
chr1	75475761	75476307	547	283	15	93.52	16.30	1.67
chr1	75517812	75518552	741	296	32	223.24	21.73	3.12
chr1	75521263	75521687	425	267	15	101.09	14.31	1.62
chr1	75562252	75562719	468	132	19	105.00	14.67	1.57
chr1	77056860	77057232	373	117	8	50.52	10.67	3.62
chr1	78214922	78215278	357	120	8	52.02	12.80	3.28
chr1	78392875	78393282	408	141	10	50.40	8.98	3.60
chr1	78485316	78485914	599	470	23	105.06	11.52	1.57
chr1	78654203	78655172	970	411	32	189.82	25.60	2.52
chr1	78698446	78698948	503	265	13	62.95	8.80	1.80
chr1	78699458	78699898	441	204	25	125.23	12.94	1.69
chr1	79668075	79668669	595	248	19	89.75	11.38	1.62
chr1	79758011	79758435	425	301	10	56.98	11.00	2.42
chr1	79772322	79773189	868	326	31	129.24	12.73	1.74
chr1	80337450	80337896	447	239	15	68.48	9.83	1.67
chr1	82217120	82217590	471	258	17	100.07	17.60	1.63
chr1	82279627	82280344	718	134	24	134.98	17.54	1.90
chr1	82287289	82287806	518	363	19	131.11	20.89	1.80
chr1	82287900	82288254	355	226	10	61.36	14.93	1.93
chr1	82312815	82313542	728	328	42	284.17	29.36	4.14
chr1	82835706	82836463	758	325	24	118.47	12.69	1.62
chr1	84691732	84692446	715	210	17	82.18	11.58	1.62
chr1	84835009	84836467	1459	277	50	201.57	23.22	2.58
chr1	85253943	85255171	1229	872	39	53.71	5.30	2.94
chr1	85336691	85336926	236	119	11	82.00	14.94	1.61
chr1	87599828	87600565	738	242	19	83.25	11.16	1.57
chr1	87654758	87655219	462	130	14	92.59	17.84	1.67
chr1	87689556	87690646	1091	414	34	163.64	14.04	1.93
chr1	87790762	87791707	946	275	25	86.13	9.78	1.59
chr1	88051139	88051676	538	155	17	52.08	7.10	3.26
chr1	88160472	88161033	562	194	18	83.71	9.78	1.59
chr1	88197657	88198376	720	405	22	57.96	6.79	2.28
chr1	88199456	88199999	544	319	16	72.94	13.91	1.59
chr1	88200021	88200701	681	117	19	74.20	7.72	1.56
chr1	88255323	88256531	1209	887	35	143.23	16.13	1.95
chr1	88321577	88322071	495	210	15	67.18	8.28	1.69
chr1	88331029	88331526	498	185	22	104.81	13.62	1.57
chr1	88338525	88339937	1413	192	81	381.89	13.82	8.45
chr1	88368692	88369139	448	288	11	53.26	8.80	3.01
chr1	88383560	88384637	1078	492	56	242.83	16.30	3.59
chr1	88395153	88395650	498	257	16	60.03	9.43	2.04
chr1	88399963	88401107	1145	128	37	150.17	11.64	1.93
chr1	88405909	88406350	442	280	20	93.84	13.41	1.64
chr1	88418907	88419550	644	262	16	58.16	6.55	2.24
chr1	88421403	88422201	799	299	20	57.70	5.86	2.29
chr1	88422567	88423171	605	237	22	121.82	14.10	1.61
chr1	88423293	88424197	905	342	23	98.09	12.75	1.63
chr1	88424488	88425373	886	569	30	134.40	14.29	1.88
chr1	88478679	88479825	1147	606	32	149.25	11.67	1.90
chr1	88483585	88484230	646	118	26	108.37	10.08	1.57
chr1	88512556	88512986	431	131	11	57.64	12.48	2.29
chr1	88561382	88561713	332	201	8	50.18	11.28	3.63
chr1	88566395	88567243	849	274	27	56.43	6.67	2.55
chr1	88810415	88810940	526	308	15	76.12	11.73	1.57
chr1	89046968	89047398	431	275	14	79.31	14.67	1.55
chr1	89050826	89051255	430	146	11	69.74	14.26	1.69
chr1	89051271	89051562	292	177	14	110.05	24.44	1.56
chr1	89079546	89080255	710	278	16	68.48	8.68	1.67
chr1	89081336	89081627	292	161	10	75.01	17.37	1.58
chr1	89083449	89084029	581	278	15	62.91	14.67	1.80
chr1	89110307	89111228	922	217	35	171.06	18.33	2.05
chr1	89160513	89161463	951	426	28	137.23	11.67	1.95
chr1	89178545	89178940	396	116	13	51.55	7.33	3.36
chr1	89223260	89224198	939	321	31	164.31	18.33	1.95
chr1	89315214	89315828	615	313	14	73.33	13.16	1.58
chr1	89373893	89374336	444	324	12	51.33	8.28	3.39
chr1	89406236	89407317	1082	900	30	100.02	9.78	1.62
chr1	89464967	89465575	609	477	16	72.71	8.46	1.60
chr1	89516606	89517297	692	252	31	75.10	7.10	1.59
chr1	89518263	89518981	719	306	29	117.40	14.47	1.60
chr1	89522998	89523504	507	169	26	153.26	20.31	1.96
chr1	89536219	89537500	1282	970	38	136.44	12.93	1.92
chr1	89547085	89547865	781	287	40	228.25	19.47	3.35
chr1	89554554	89555061	508	167	17	52.08	7.45	3.26
chr1	89652240	89653070	831	480	50	379.10	30.29	8.29
chr1	89725903	89726950	1048	711	56	318.89	26.02	5.66
chr1	89743330	89744013	684	352	21	63.36	9.20	1.76
chr1	89750256	89750863	608	307	14	53.69	11.58	2.96
chr1	89768277	89768780	504	223	12	50.20	9.17	3.63
chr1	90147928	90150795	2868	2037	151	71.76	5.47	1.64
chr1	90151091	90153447	2357	533	161	180.31	5.22	2.27
chr1	90153510	90158097	4588	2105	293	262.04	12.94	4.20
chr1	90173471	90175416	1946	723	237	526.78	19.70	19.74
chr1	90557071	90557614	544	258	13	57.07	12.69	2.40
chr1	90598542	90599107	566	262	16	66.53	11.83	1.71
chr1	90966506	90967055	550	420	17	89.50	15.00	1.63
chr1	90967113	90967783	671	321	20	97.94	11.16	1.63
chr1	91105991	91106378	388	232	10	53.26	10.69	3.02
chr1	91199097	91199714	618	274	19	84.58	13.44	1.61
chr1	91351011	91351619	609	280	23	117.15	15.89	1.59
chr1	91816162	91816507	346	219	9	56.53	11.00	2.50
chr1	91826732	91827674	943	319	24	127.92	17.07	1.74
chr1	91836259	91836873	615	267	14	74.77	13.51	1.57
chr1	91838171	91838725	555	282	14	55.74	7.33	2.60
chr1	92176998	92177512	515	204	12	52.59	9.87	3.20
chr1	92402004	92402539	536	124	14	57.55	7.33	2.32
chr1	92811480	92811852	373	153	15	76.54	10.48	1.59
chr1	92948923	92949998	1076	683	41	119.22	8.61	1.60
chr1	93112982	93113907	926	359	48	217.51	18.67	3.07
chr1	93146321	93147068	748	401	28	120.29	12.22	1.62
chr1	93147132	93147541	410	125	14	60.81	9.17	1.97
chr1	93194514	93195201	688	459	20	63.52	7.33	1.77
chr1	93241045	93241485	441	321	12	51.64	10.64	3.35
chr1	93241590	93241991	402	102	12	53.04	9.17	3.09
chr1	93262819	93263921	1103	208	26	77.58	7.72	1.54
chr1	93269640	93270055	416	251	11	54.77	8.46	2.77
chr1	93295118	93295711	594	332	15	50.51	9.43	3.62
chr1	93309108	93310200	1093	885	33	117.08	10.15	1.60
chr1	93355738	93356535	798	474	24	95.22	9.17	1.60
chr1	93436690	93437628	939	584	26	79.92	8.38	1.56
