chr	start	end	length	summit	tags	X.10.log10.pvalue	fold_enrichment	FDR	start+summit-150bp	start+summit+150bp
chr1	133422802	133424122	1321	1076	74	505.79	29.03	16.67	133423728	133424028
chr6	133984898	133986453	1556	413	76	501.05	28.69	17.58	133985161	133985461
chr5	116473781	116474954	1174	725	71	495.42	35.25	17.39	116474356	116474656
chr2	126500272	126501861	1590	944	74	494.28	44	17.2	126501066	126501366
chr8	125950681	125952801	2121	1701	93	493.86	18.15	17.02	125952232	125952532
chr8	129281488	129282543	1056	611	69	493.12	36.66	16.84	129281949	129282249
chr5	125519772	125521256	1485	925	104	493.03	28.6	16.67	125520547	125520847
chr11	120434168	120435128	961	415	70	490.02	26.89	16.49	120434433	120434733
chr12	78338794	78340445	1652	1280	71	489.63	30.28	16.33	78339924	78340224
chr19	47805122	47806499	1378	626	66	486.82	40.74	16.16	47805598	47805898
chr11	94850603	94851468	866	529	71	486.73	47.14	16	94850982	94851282
chr10	99949349	99950495	1147	649	63	486.23	34.73	15.84	99949848	99950148
chr16	57391502	57391952	451	231	116	485.57	12.9	15.69	57391583	57391883
chr2	180171334	180172388	1055	711	77	484.77	20.81	15.53	180171895	180172195
chr13	13920193	13921244	1052	234	67	482.74	28.2	15.38	13920277	13920577
chr2	151367784	151368504	721	427	59	474.69	48	15.24	151368061	151368361
chr11	95694944	95696191	1248	820	85	474.62	29.33	15.09	95695614	95695914
chr2	38863145	38863960	816	432	61	471.94	47.53	14.95	38863427	38863727
chr4	19501993	19502607	615	230	50	470.87	56.83	14.81	19502073	19502373
chr11	82683338	82685006	1669	328	67	469.87	27.74	14.68	82683516	82683816
chr8	124866593	124868081	1489	1275	75	468.96	39.6	14.55	124867718	124868018
chr10	80791294	80793265	1972	883	112	468.38	19.03	14.41	80792027	80792327
chr15	97923181	97924294	1114	522	69	468.12	32.74	14.29	97923553	97923853
chr17	17761151	17763032	1882	293	77	467.48	24.15	14.16	17761294	17761594
chr19	32462099	32464556	2458	830	89	466.68	20	14.04	32462779	32463079
chr19	3935066	3936802	1737	943	88	466.54	24.06	13.91	3935859	3936159
chr1	133151313	133151903	591	172	57	465.5	37.89	13.79	133151335	133151635
chr10	90644032	90644720	689	406	59	464.57	39.11	13.68	90644288	90644588
chr1	58448965	58450802	1838	655	79	463.65	39	13.56	58449470	58449770
chr11	98802682	98804538	1857	619	110	462.15	17.6	13.45	98803151	98803451
chr11	117126474	117128290	1817	1020	81	460.99	27.32	13.33	117127344	117127644
chr1	133844647	133845219	573	329	58	460.86	39.92	13.22	133844826	133845126
chr3	130808823	130811108	2286	1030	110	460.48	19.25	13.11	130809703	130810003
chr17	29531983	29532827	845	597	69	460.1	31.84	13.01	29532430	29532730
chr11	69694550	69695293	744	287	58	459.81	38.02	12.9	69694687	69694987
chr13	85266038	85267290	1253	708	421	456.86	5.31	12.8	85266596	85266896
chr3	86027369	86028662	1294	310	74	456.68	35.44	12.7	86027529	86027829
chr2	165065163	165066367	1205	301	62	455.86	41.36	12.6	165065314	165065614
chr11	102417235	102417949	715	412	52	454.02	41.94	12.5	102417497	102417797
chr9	96337698	96339426	1729	936	119	453.08	16.14	12.4	96338484	96338784
chr7	107641094	107642293	1200	342	72	449.22	26.02	13.08	107641286	107641586
chr10	62113289	62114597	1309	922	79	446.42	27.5	12.98	62114061	62114361
chr10	13684121	13685684	1564	658	73	444.8	23.47	12.88	13684629	13684929
chr10	17442063	17444466	2404	1336	93	444.72	15.51	12.78	17443249	17443549
chr5	97425785	97426903	1119	415	70	443.3	37.27	12.69	97426050	97426350
chr9	44689248	44691001	1754	335	76	442.13	22.81	12.59	44689433	44689733
chr5	31209641	31210748	1108	644	65	441.83	35.95	12.5	31210135	31210435
chr16	24392493	24394308	1816	869	75	441.76	16.3	12.32	24393212	24393512
chr3	51905654	51907533	1880	796	78	441.76	18.38	12.41	51906300	51906600
chr2	156888794	156890375	1582	580	85	441.08	29.33	12.23	156889224	156889524
chr8	125188824	125190056	1233	546	80	440.23	33.84	12.14	125189220	125189520
chr11	72420304	72422260	1957	1700	75	440.08	24.44	12.06	72421854	72422154
chr8	19784395	19785227	833	255	57	439.74	24.93	11.97	19784500	19784800
chr15	38228738	38230109	1372	303	68	439.67	39.11	11.89	38228891	38229191
chr14	26276756	26277778	1023	491	58	438.22	47.75	11.81	26277097	26277397
chr9	118059077	118059602	526	325	43	436.91	53.34	11.72	118059252	118059552
chr12	66273217	66273956	740	494	52	436.27	46.66	11.64	66273561	66273861
chr17	7031820	7033089	1270	839	96	434.19	15.89	11.56	7032509	7032809
chr10	82612225	82612985	761	523	62	431.97	30.19	11.49	82612598	82612898
chr4	137465220	137465903	684	410	56	431.73	39.11	11.41	137465480	137465780
chr2	173367108	173367946	839	542	61	430.68	30.75	11.33	173367500	173367800
chr4	57968157	57969746	1590	948	77	429.36	14.91	11.26	57968955	57969255
chr11	69445876	69447148	1273	406	63	428.7	34.11	11.18	69446132	69446432
chr5	129525222	129526917	1696	665	66	428.34	25.09	11.11	129525737	129526037
chr11	59475332	59476153	822	526	58	427.47	45.83	11.04	59475708	59476008
chr4	132568865	132569840	976	448	62	427.45	36.66	10.97	132569163	132569463
chr19	7568291	7569538	1248	648	67	426.52	26.79	10.9	7568789	7569089
chrX	166424274	166426001	1728	757	153	425.53	9.82	10.83	166424881	166425181
chr16	33751531	33752072	542	347	60	424.66	26.89	10.76	33751728	33752028
chr13	68720529	68721553	1025	468	60	423.57	29.33	10.69	68720847	68721147
chr5	22915606	22916579	974	386	67	423.53	30.38	10.62	22915842	22916142
chr7	135018520	135020638	2119	1163	93	423.17	24.42	10.56	135019533	135019833
chr2	90419190	90421632	2443	1835	87	422.78	18.33	10.49	90420875	90421175
chr5	141112607	141113500	894	601	63	421.58	29.1	10.43	141113058	141113358
chr10	80391333	80392762	1430	240	70	419.91	28.2	10.37	80391423	80391723
chr7	107755574	107757018	1445	632	68	417.92	26.4	10.3	107756056	107756356
chr2	132110400	132111687	1288	343	84	417.83	26.89	10.24	132110593	132110893
chr14	25598459	25599320	862	487	64	417.76	25.46	10.18	25598796	25599096
chr5	141082167	141083900	1734	374	78	417.62	20.23	10.12	141082391	141082691
chr15	103088571	103089319	749	502	67	416.53	21.18	10.06	103088923	103089223
chr16	16870643	16871510	868	320	51	415.96	41.36	10	16870813	16871113
chr5	32760765	32761765	1001	552	63	415.85	26.89	9.94	32761167	32761467
chr5	123599296	123600486	1191	414	68	415.52	23.61	9.88	123599560	123599860
chr5	104121160	104122861	1702	725	73	414.97	20.13	9.83	104121735	104122035
chr12	106835000	106835969	970	485	66	414.65	28.28	9.77	106835335	106835635
chr17	23862803	23864165	1363	499	66	413.69	23.47	9.71	23863152	23863452
chr5	123794062	123795610	1549	281	68	413.67	36.66	9.66	123794193	123794493
chr2	156137503	156138716	1214	295	63	413.18	22	9.6	156137648	156137948
chr10	8237666	8238993	1328	446	75	412.93	33.43	9.55	8237962	8238262
chr9	56920807	56921878	1072	285	60	412.7	24.93	9.5	56920942	56921242
chr16	10784244	10786764	2521	2003	89	412.16	15.51	9.44	10786097	10786397
chr5	138071882	138073180	1299	682	75	410.95	27.24	9.39	138072414	138072714
chr7	29156375	29158162	1788	238	78	410.01	18.33	9.34	29156463	29156763
chr4	133368820	133370612	1793	444	85	409.58	18.86	9.29	133369114	133369414
chr14	71249323	71250419	1097	836	71	409.56	32.18	9.24	71250009	71250309
chr5	24413641	24414980	1340	734	65	408.18	16.13	9.19	24414225	24414525
chr1	174241187	174243016	1830	892	92	407.69	12.52	9.14	174241929	174242229
chr11	114712004	114713791	1788	251	80	407.06	24.44	9.09	114712105	114712405
chr9	57678888	57679794	907	478	55	407.06	42.78	9.04	57679216	57679516
chr2	118324701	118325699	999	396	71	405.82	19.21	8.99	118324947	118325247
chr3	89233954	89234779	826	369	53	405.29	38.19	8.95	89234173	89234473
chr18	35019397	35020533	1137	170	65	403.54	24.44	8.9	35019417	35019717
chr9	70503960	70505557	1598	1261	62	402.89	25.09	8.85	70505071	70505371
chr13	85428467	85429431	965	435	53	399.7	29.33	8.81	85428752	85429052
chr6	38383283	38385117	1835	547	74	399.3	23.47	8.76	38383680	38383980
chr17	74926882	74928600	1719	388	71	399.21	20.53	8.72	74927120	74927420
chr12	72115894	72116892	999	376	53	398.22	26.83	8.67	72116120	72116420
chr14	28241648	28243098	1451	648	59	397.9	23.47	8.63	28242146	28242446
chr2	31625062	31625889	828	441	57	397.31	43.72	8.59	31625353	31625653
chr15	36722866	36724619	1754	1443	74	390.35	23.08	9.05	36724159	36724459
chr6	55288745	55289996	1252	450	62	390.28	32.92	9	55289045	55289345
chr13	8869734	8870814	1081	656	58	389.78	41.06	8.96	8870240	8870540
chr14	32344881	32345675	795	255	58	389.73	34.51	8.91	32344986	32345286
chr16	23283467	23285491	2025	938	96	389.54	21.08	8.87	23284255	23284555
chr17	71351075	71352176	1102	586	61	388.85	20.95	8.82	71351511	71351811
chr7	80682354	80683034	681	321	48	387.68	30.55	8.78	80682525	80682825
chr2	29744770	29746500	1731	383	61	387.6	25.6	8.74	29745003	29745303
chr16	4541582	4542226	645	383	56	386.7	28.38	8.7	4541815	4542115
chr3	145710587	145712452	1866	1630	80	385.74	20.78	8.65	145712067	145712367
chr7	90013928	90015127	1200	879	52	385.58	27.74	8.61	90014657	90014957
chr17	29534889	29535568	680	266	57	385.26	27.75	8.53	29535005	29535305
chr8	47937627	47938366	740	334	56	385.26	25.88	8.53	47937811	47938111
chr11	116713798	116715450	1653	1298	79	384.42	19.9	8.49	116714946	116715246
chr1	88338525	88339937	1413	192	81	381.89	13.82	8.45	88338567	88338867
chr17	34258995	34259947	953	727	62	379.75	22	8.41	34259572	34259872
chr7	25395075	25396713	1639	578	83	379.46	16.5	8.37	25395503	25395803
chr8	127816979	127817874	896	490	73	379.23	29.33	8.33	127817319	127817619
chr1	89652240	89653070	831	480	50	379.1	30.29	8.29	89652570	89652870
chr1	36364531	36365722	1192	467	75	379.02	17.5	8.26	36364848	36365148
chr11	44283428	44284499	1072	600	61	378.83	28.11	8.22	44283878	44284178
chr14	69902090	69903601	1512	1066	65	378.12	27.5	8.18	69903006	69903306
chr9	58045013	58047640	2628	1281	94	377.85	12.02	8.14	58046144	58046444
chr17	65962633	65963722	1090	690	57	377.54	26.4	8.11	65963173	65963473
chr11	59989955	59990874	920	369	58	377.27	28.39	8.07	59990174	59990474
chr3	105489846	105490892	1047	683	64	375.67	28.28	8.04	105490379	105490679
chr13	73964509	73965557	1049	622	64	375.19	28.28	8	73964981	73965281
chr1	180248079	180249400	1322	1080	67	375.1	16.56	7.96	180249009	180249309
chr9	14169521	14170623	1103	507	59	374.83	23.47	7.93	14169878	14170178
chr8	122637538	122638954	1417	369	63	374.58	22	7.89	122637757	122638057
chr17	28344402	28345843	1442	295	82	374.04	18.71	7.86	28344547	28344847
chr1	66862410	66863593	1184	439	67	372.21	22	7.83	66862699	66862999
chr15	78394269	78395280	1012	288	64	371.11	36.15	7.79	78394407	78394707
chr6	117856414	117858349	1936	433	69	371.06	20.46	7.76	117856697	117856997
chr17	45569938	45571320	1383	756	62	370.97	22	7.73	45570544	45570844
chr8	123962973	123964953	1981	1610	93	370.92	19.07	7.69	123964433	123964733
chr7	108256505	108257163	659	467	50	369.81	24.16	7.66	108256822	108257122
chr3	95462258	95463701	1444	418	68	369.5	25.29	7.63	95462526	95462826
chr13	58503754	58504858	1105	190	49	369.18	23.47	7.59	58503794	58504094
chr15	5066053	5067050	998	262	62	368	27.18	7.53	5066165	5066465
chr5	152170866	152171928	1063	665	62	368	22.27	7.53	152171381	152171681
chr5	76733051	76734535	1485	830	61	367.9	22	7.5	76733731	76734031
chr18	65589821	65591091	1271	388	59	366.81	26.94	7.47	65590059	65590359
chr1	130497718	130498485	768	570	50	366.25	30.44	7.44	130498138	130498438
chr1	135989349	135990963	1615	657	82	366.02	20.04	7.41	135989856	135990156
chr9	57817382	57818409	1028	427	79	365.49	20.78	7.38	57817659	57817959
chr11	88860219	88861083	865	428	51	364.67	44	7.35	88860497	88860797
chr7	73362873	73363746	874	641	58	364.61	18.89	7.32	73363364	73363664
chr4	46598555	46599221	667	385	46	364.36	34.42	7.29	46598790	46599090
chr16	20651429	20652247	819	258	65	362.96	28.53	7.26	20651537	20651837
chr3	51364012	51365994	1983	552	79	362.86	18.33	7.23	51364414	51364714
chr2	164286199	164287436	1238	507	62	361.81	20.23	7.2	164286556	164286856
chr12	98299572	98300119	548	321	195	361.46	5.58	7.17	98299743	98300043
chr19	6156856	6157937	1082	567	67	360.97	22	7.14	6157273	6157573
chr6	28211102	28212812	1711	858	60	360.23	25.6	7.11	28211810	28212110
chr3	135100765	135101940	1176	610	53	357.94	26.19	7.48	135101225	135101525
chr7	133645418	133647481	2064	1582	75	355.63	16.92	7.45	133646850	133647150
chr13	104709983	104711297	1315	469	52	355.56	36.27	7.42	104710302	104710602
chr8	11634758	11636194	1437	1050	57	355.41	31.16	7.39	11635658	11635958
chr16	30227286	30228070	785	461	55	355.34	28.28	7.36	30227597	30227897
chr5	144288222	144289228	1007	668	51	355.03	37.48	7.34	144288740	144289040
chr7	26491709	26492401	693	240	46	353.27	41.06	7.31	26491799	26492099
chr6	119797605	119798864	1260	686	65	353.22	21.11	7.28	119798141	119798441
chr5	124423180	124424457	1278	269	62	353.2	19.64	7.25	124423299	124423599
chr11	116703803	116705451	1649	375	68	353.06	18.33	7.22	116704028	116704328
chr15	58654318	58655835	1518	736	58	352.99	25.67	7.2	58654904	58655204
chr8	87501052	87503094	2043	1582	86	352.94	15.71	7.17	87502484	87502784
chr5	115979815	115981108	1294	866	73	352.15	22.7	7.14	115980531	115980831
chr11	106649550	106650831	1282	841	61	351.66	28.52	7.12	106650241	106650541
chr10	82397702	82398524	823	404	51	351.54	36.66	7.09	82397956	82398256
chr4	155317036	155318385	1350	878	64	350	36.66	7.06	155317764	155318064
chr3	152058377	152059715	1339	368	57	349.92	21.67	7.04	152058595	152058895
chr1	95374522	95376144	1623	925	65	349.52	15.51	7.01	95375297	95375597
chr5	108494434	108495463	1030	203	47	349.22	49.07	6.99	108494487	108494787
chr9	109020328	109021273	946	565	56	348.24	39.11	6.96	109020743	109021043
chr4	140239649	140241001	1353	614	74	348.12	15.71	6.93	140240113	140240413
chr11	93746358	93748114	1757	759	62	348.11	22	6.91	93746967	93747267
chr13	59923950	59924860	911	561	45	347.1	25.76	6.88	59924361	59924661
chr15	85687119	85687987	869	356	58	346.24	25.46	6.86	85687325	85687625
chr18	5931862	5932550	689	369	52	345.04	27.28	6.79	5932081	5932381
chr8	36028449	36029090	642	357	52	345.04	28.25	6.79	36028656	36028956
chr8	72682289	72683115	827	339	52	345.04	30.32	6.79	72682478	72682778
chr4	32050488	32051429	942	284	50	344.91	25.97	6.76	32050622	32050922
chr6	39067500	39069048	1549	766	62	344.89	23.91	6.74	39068116	39068416
chr16	4678898	4680056	1159	944	62	344.69	19.48	6.71	4679692	4679992
chr13	113253563	113254874	1312	370	55	344.54	21.67	6.69	113253783	113254083
chr12	114393223	114394967	1745	1181	80	344.34	13.51	6.67	114394254	114394554
chr10	30320096	30320808	713	491	41	344.33	44.8	6.64	30320437	30320737
chr8	131208858	131209845	988	701	47	344.18	33.84	6.62	131209409	131209709
chr9	108165469	108167019	1551	725	57	344.07	16.92	6.6	108166044	108166344
chr4	108520179	108521320	1142	509	53	344	25	6.57	108520538	108520838
chr17	7380635	7381264	630	304	52	343.37	22.92	6.55	7380789	7381089
chr2	59449640	59451324	1685	824	64	343.35	23.91	6.53	59450314	59450614
chr6	120594243	120595405	1163	916	56	342.95	26.4	6.51	120595009	120595309
chr19	10175752	10176647	896	452	56	342.61	23.69	6.48	10176054	10176354
chr9	59200999	59201527	529	309	40	341.91	37.44	6.46	59201158	59201458
chr3	84385724	84387184	1461	695	69	340.92	12.86	6.44	84386269	84386569
chr1	95698188	95698899	712	332	46	340.77	28.2	6.42	95698370	95698670
chr4	154460060	154461028	969	466	54	340.45	31.61	6.4	154460376	154460676
chr2	154616048	154617450	1403	423	62	339.37	31.02	6.38	154616321	154616621
chr1	65225464	65226106	643	382	52	339.12	34.83	6.35	65225696	65225996
chr6	143115037	143116639	1603	732	65	338.62	18.67	6.33	143115619	143115919
chr17	71824010	71825392	1383	612	56	338.55	28.62	6.31	71824472	71824772
chr14	19070572	19072228	1657	1324	78	336.7	13.75	6.29	19071746	19072046
chr11	103273648	103274769	1122	520	54	336.59	24.44	6.27	103274018	103274318
chr17	46210402	46211400	999	656	62	336.01	19.25	6.25	46210908	46211208
chr8	73219040	73219838	799	399	57	335.9	33.98	6.23	73219289	73219589
chr12	118798728	118799463	736	390	49	335.82	31.25	6.21	118798968	118799268
chr10	98723658	98725046	1389	821	62	335.77	16.55	6.17	98724329	98724629
chr4	129418993	129420474	1482	637	63	335.77	20.38	6.17	129419480	129419780
chr1	37921320	37922457	1138	793	53	335.48	25.51	6.15	37921963	37922263
chr1	55293781	55294922	1142	236	59	335.23	26.89	6.13	55293867	55294167
chr6	31563139	31564098	960	564	54	335.18	28.11	6.11	31563553	31563853
chr16	17208607	17209693	1087	665	54	335.14	26.29	6.09	17209122	17209422
chr4	132439825	132441072	1248	559	73	335.02	20.37	6.07	132440234	132440534
chr3	104667693	104668383	691	302	45	334.95	39.85	6.05	104667845	104668145
chr9	40892128	40892806	679	305	50	334.84	37.71	6.03	40892283	40892583
chr11	17058781	17059909	1129	479	49	334.66	29.33	6.01	17059110	17059410
chr10	40602964	40604077	1114	828	46	334.45	29.87	5.99	40603642	40603942
chr7	134851338	134852685	1348	503	59	334.09	22.45	5.97	134851691	134851991
chr10	95540061	95540628	568	232	225	334	4.21	5.96	95540143	95540443
chr11	3813358	3814803	1446	961	66	333.85	17.11	5.94	3814169	3814469
chr11	11589899	11590690	792	388	56	333.83	18.33	5.92	11590137	11590437
chr5	149788347	149790325	1979	1515	87	333.83	17.23	5.9	149789712	149790012
chr16	20716301	20718050	1750	1499	69	333.81	17.33	5.88	20717650	20717950
chr15	97655379	97656878	1500	1057	74	333.16	13.75	5.86	97656286	97656586
chr3	122011053	122012386	1334	377	60	333.09	24.44	5.85	122011280	122011580
chr7	139890888	139892071	1184	627	71	332.63	22.81	5.83	139891365	139891665
chr12	32339446	32340303	858	283	44	332.52	31.16	5.81	32339579	32339879
chr5	134789584	134791151	1568	1245	69	331.28	26.02	5.79	134790679	134790979
chr12	110030252	110031454	1203	239	47	330.69	21.33	5.78	110030341	110030641
chr6	137683293	137684232	940	285	47	330.63	28.33	5.76	137683428	137683728
chr10	94977166	94978106	941	603	49	330.55	23.94	5.74	94977619	94977919
chr5	125725741	125726608	868	378	44	330.43	38.5	5.72	125725969	125726269
chr7	54174839	54175614	776	542	40	330.18	40.54	5.71	54175231	54175531
chr7	28115565	28117257	1693	725	65	329.63	20.37	5.69	28116140	28116440
chr7	135604498	135605551	1054	609	49	329.42	23.33	5.67	135604957	135605257
chr3	58380320	58381232	913	247	43	329.02	30.55	5.65	58380417	58380717
chr2	35516931	35518735	1805	123	71	328.39	14.67	5.64	35516904	35517204
chr10	110976686	110977428	743	408	48	326.76	29.33	5.62	110976944	110977244
chr16	32913929	32914837	909	467	44	326.67	24.44	5.6	32914246	32914546
chr5	142842983	142844075	1093	428	52	326.57	24.93	5.59	142843261	142843561
chr9	105705556	105706402	847	362	55	326.46	23.81	5.57	105705768	105706068
chr12	102320623	102322318	1696	1311	60	326.45	22.7	5.56	102321784	102322084
chr2	125977529	125978330	802	261	46	326.26	39.7	5.54	125977640	125977940
chr11	117807469	117808839	1371	661	67	326.08	18.86	5.52	117807980	117808280
chr1	127331721	127332764	1044	761	48	325.41	23.87	6.07	127332332	127332632
chr13	48641291	48642373	1083	757	52	325.41	23.91	6.09	48641898	48642198
chr13	22142545	22143437	893	472	45	325.31	40.33	6.05	22142867	22143167
chr16	30066082	30067497	1416	1123	52	325.29	27.75	6.03	30067055	30067355
chr15	98860099	98861409	1311	1003	54	325.11	25.67	6.02	98860952	98861252
chr17	47678840	47679599	760	384	45	324.99	33.73	6	47679074	47679374
chr15	12250835	12252211	1377	347	54	324.95	38.5	5.98	12251032	12251332
chr11	88046845	88048176	1332	944	66	324.77	22	5.97	88047639	88047939
chr5	114264266	114265036	771	396	50	324.68	32.79	5.95	114264512	114264812
chr1	7387662	7388581	920	405	42	324.48	32	5.93	7387917	7388217
chr17	25409872	25411643	1772	751	73	324.21	13.33	5.92	25410473	25410773
chr16	22939076	22939968	893	481	53	323.8	31.59	5.9	22939407	22939707
chr14	70842721	70843776	1056	575	51	323.72	30.8	5.88	70843146	70843446
chr17	88373983	88375368	1386	191	56	323	30	5.87	88374024	88374324
chr1	13579508	13580496	989	643	50	322.94	33.07	5.85	13580001	13580301
chr17	32014300	32015405	1106	720	70	322.9	16.87	5.83	32014870	32015170
