peak_chr	peak_start	peak_end	gene_name	gene_class	distance
chr10	59832954	59834030	4632428N05RIK:NM_001159572:NM_028732	core_gene_genebody_peak	0
chr10	59832954	59834030	CDH23:NM_023370	core_gene_genebody_peak	0
chr10	59851783	59852932	CDH23:NM_023370	core_gene_genebody_peak	0
chr10	60207103	60207827	SLC29A3:NM_023596	core_gene_genebody_peak	0
chr10	60738353	60738803	ADAMTS14:NM_001081127	core_gene_genebody_peak	0
chr10	60800168	60800761	X99384:NM_013753	core_gene_genebody_peak	0
chr10	61322430	61323232	COL13A1:NM_007731	core_gene_genebody_peak	0
chr10	61652647	61653477	TSPAN15:NM_197996	core_gene_genebody_peak	0
chr10	61949655	61950161	VPS26A:NM_001113355:NM_133672	core_gene_genebody_peak	0
chr10	62127557	62128172	STOX1:NM_001033260	core_gene_genebody_peak	0
chr10	6217587	6218187	MTHFD1L:NM_001170785:NM_001170786:NM_172308	core_gene_genebody_peak	0
chr10	62175975	62176849	STOX1:NM_001033260	core_gene_genebody_peak	0
chr10	6225409	6225985	MTHFD1L:NM_001170785:NM_001170786:NM_172308	core_gene_genebody_peak	0
chr10	62434523	62435002	DNA2:NM_177372	core_gene_genebody_peak	0
chr10	6246087	6246740	MTHFD1L:NM_001170785:NM_001170786:NM_172308	core_gene_genebody_peak	0
chr10	62487539	62488331	3110049J23RIK:NM_026085	core_gene_genebody_peak	0
chr10	62487539	62488331	HNRNPH3:NM_001079824	core_gene_genebody_peak	0
chr10	6513990	6514606	PLEKHG1:NM_001033253:NM_001159942	core_gene_genebody_peak	0
chr10	66506045	66506753	REEP3:NM_178606	core_gene_genebody_peak	0
chr10	66514028	66514660	REEP3:NM_178606	core_gene_genebody_peak	0
chr10	68717104	68717786	RHOBTB1:NM_001081347	core_gene_genebody_peak	0
chr10	69583309	69583665	CCDC6:NM_001111121	core_gene_genebody_peak	0
chr10	70721503	70722392	UBE2D1:NM_145420	core_gene_genebody_peak	0
chr10	72117243	72117680	ZWINT:NM_025635	core_gene_TSS_peak	0
chr10	74541104	74542111	BCR:NM_001081412	core_gene_genebody_peak	0
chr10	74762210	74763042	CYTSA:NM_153406:NM_001145826	core_gene_genebody_peak	0
chr10	75296724	75297740	GSTT2:NM_010361	core_gene_TSS_peak	0
chr10	75298808	75299292	GSTT2:NM_010361	core_gene_genebody_peak	0
chr10	75299840	75300537	GSTT2:NM_010361	core_gene_genebody_peak	0
chr10	75412032	75413055	VPREB3:NM_009514	core_gene_genebody_peak	0
chr10	75444136	75444544	GM5134:NM_198635	core_gene_genebody_peak	0
chr10	7559001	7559871	ZC3H12D:NM_172785	core_gene_genebody_peak	0
chr10	75817592	75818333	PCNT:NM_008787	core_gene_genebody_peak	0
chr10	75844635	75845512	PCNT:NM_008787	core_gene_genebody_peak	0
chr10	75846782	75847588	PCNT:NM_008787	core_gene_genebody_peak	0
chr10	76419005	76419409	PCBP3:NM_021568	core_gene_genebody_peak	0
chr10	76519450	76520199	COL18A1:NM_001109991:NM_009929	core_gene_genebody_peak	0
chr10	76547296	76547836	COL18A1:NM_001109991:NM_009929	core_gene_genebody_peak	0
chr10	76628182	76628887	COL18A1:NM_001109991:NM_009929	core_gene_genebody_peak	0
chr10	76969133	76970397	1810008A18RIK:NM_133998	core_gene_genebody_peak	0
chr10	77096785	77097099	UBE2G2:NM_019803	core_gene_genebody_peak	0
chr10	77760516	77761307	AGPAT3:NM_053014	core_gene_genebody_peak	0
chr10	79047141	79047899	THEG:NM_011583:NM_199226	core_gene_genebody_peak	0
chr10	79256998	79258340	PALM:NM_001161747:NM_023128	core_gene_genebody_peak	0
chr10	79260854	79261693	PALM:NM_001161747:NM_023128	core_gene_genebody_peak	0
chr10	79388916	79389665	ARID3A:NM_007880	core_gene_genebody_peak	0
chr10	79400545	79401428	ARID3A:NM_007880	core_gene_genebody_peak	0
chr10	79420607	79421277	WDR18:NM_175450	core_gene_genebody_peak	0
chr10	79542225	79543117	SBNO2:NM_183426	core_gene_genebody_peak	0
chr10	79720896	79721608	GAMT:NM_010255	core_gene_genebody_peak	0
chr10	79892079	79893192	TCF3:NM_001164151:NM_011548:NM_001164148:NM_001164152:NM_001164150:NM_001164149:NM_001164147:NM_001164153	core_gene_genebody_peak	0
chr10	79898524	79899617	TCF3:NM_001164151:NM_011548:NM_001164148:NM_001164152:NM_001164150:NM_001164149:NM_001164147:NM_001164153	core_gene_genebody_peak	0
chr10	79994781	79995450	ATP8B3:NM_026094	core_gene_genebody_peak	0
chr10	80065424	80066410	ADAT3:NM_001100606	core_gene_TSS_peak	0
chr10	80065424	80066410	SCAMP4:NM_019575	core_gene_TSS_peak	0
chr10	80157673	80158336	MOBKL2A:NM_172457	core_gene_genebody_peak	0
chr10	80289168	80289436	OAZ1:NM_008753:NR_027656	core_gene_TSS_peak	0
chr10	80393760	80394469	GADD45B:NM_008655	core_gene_genebody_peak	0
chr10	80452788	80453817	GNG7:NM_001038655:NM_010319	core_gene_genebody_peak	0
chr10	80457688	80458551	GNG7:NM_001038655:NM_010319	core_gene_genebody_peak	0
chr10	80538455	80539285	THOP1:NM_022653	core_gene_genebody_peak	0
chr10	80707201	80707823	ZFR2:NM_001034895	core_gene_genebody_peak	0
chr10	80711464	80713234	ZFR2:NM_001034895	core_gene_genebody_peak	0
chr10	80720660	80721325	MATK:NM_010768	core_gene_genebody_peak	0
chr10	80753202	80753794	PIP5K1C:NM_008844:NM_001146687	core_gene_genebody_peak	0
chr10	80753202	80753794	TJP3:NM_013769	core_gene_genebody_peak	0
chr10	80760573	80762035	PIP5K1C:NM_008844:NM_001146687	core_gene_genebody_peak	0
chr10	80791733	80792748	TBXA2R:NM_009325	core_gene_genebody_peak	0
chr10	80960053	80960969	NCLN:NM_134009	core_gene_genebody_peak	0
chr10	80960053	80960969	S1PR4:NM_010102	core_gene_genebody_peak	0
chr10	80981097	80981737	GNA15:NM_010304	core_gene_genebody_peak	0
chr10	80982055	80982884	GNA15:NM_010304	core_gene_genebody_peak	0
chr10	81067334	81067974	BC025920:NR_030677	core_gene_genebody_peak	0
chr10	82499525	82499829	CHST11:NM_021439	core_gene_genebody_peak	0
chr10	82531196	82531726	CHST11:NM_021439	core_gene_genebody_peak	0
chr10	82612385	82612973	CHST11:NM_021439	core_gene_genebody_peak	0
chr10	82644234	82645717	CHST11:NM_021439	core_gene_genebody_peak	0
chr10	82646566	82647583	CHST11:NM_021439	core_gene_genebody_peak	0
chr10	82729366	82729922	SLC41A2:NM_177388	core_gene_genebody_peak	0
chr10	83847728	83848379	NUAK1:NM_001004363	core_gene_genebody_peak	0
chr10	84039681	84040600	TCP11L2:NM_146008	core_gene_TSS_peak	0
chr10	84231545	84232190	RFX4:NM_001024918:NM_027689	core_gene_genebody_peak	0
chr10	84237226	84238010	RFX4:NM_001024918:NM_027689	core_gene_genebody_peak	0
chr10	84278694	84279367	RFX4:NM_001024918:NM_027689	core_gene_genebody_peak	0
chr10	84590554	84591616	MTERFD3:NM_028832	core_gene_TSS_peak	0
chr10	8524007	8524685	SASH1:NM_175155	core_gene_genebody_peak	0
chr10	85390497	85390954	NM_001163614:NM_001163614	core_gene_genebody_peak	0
chr10	85620985	85621829	SYN3:NM_013722:NM_001164495	core_gene_genebody_peak	0
chr10	86290853	86291976	NT5DC3:NM_175331	core_gene_genebody_peak	0
chr10	88032308	88032705	MYBPC1:NM_175418	core_gene_genebody_peak	0
chr10	88878216	88878546	GAS2L3:NM_001079876:NM_001033331	core_gene_genebody_peak	0
chr10	92628998	92629694	CDK17:NM_146239	core_gene_genebody_peak	0
chr10	92660921	92661550	CDK17:NM_146239	core_gene_genebody_peak	0
chr10	94288462	94289412	PLXNC1:NM_018797	core_gene_genebody_peak	0
chr10	94644989	94645435	CRADD:NM_009950	core_gene_genebody_peak	0
chr10	94746436	94747367	CRADD:NM_009950	core_gene_genebody_peak	0
chr10	94753484	94754435	CRADD:NM_009950	core_gene_genebody_peak	0
chr10	94762012	94762805	CRADD:NM_009950	core_gene_genebody_peak	0
chr10	95473542	95474072	EEA1:NM_001001932	core_gene_genebody_peak	0
chr10	98589345	98589988	WDR51B:NM_027740	core_gene_genebody_peak	0
chr1	10111232	10111570	CSPP1:NM_026493	core_gene_genebody_peak	0
chr1	108170438	108170857	PHLPP1:NM_133821	core_gene_genebody_peak	0
chr1	108445666	108446278	BCL2:NM_009741:NM_177410	core_gene_genebody_peak	0
chr1	108451952	108452646	BCL2:NM_009741:NM_177410	core_gene_genebody_peak	0
chr11	100477200	100477624	DNAJC7:NM_019795	core_gene_genebody_peak	0
chr11	100481232	100481647	DNAJC7:NM_019795	core_gene_TSS_peak	0
chr11	100800672	100801502	STAT3:NM_213660:NM_011486:NM_213659	core_gene_TSS_peak	0
chr11	100931011	100931373	NAGLU:NM_013792	core_gene_genebody_peak	0
chr11	101303225	101303825	RPL27:NM_011289	core_gene_TSS_peak	0
chr11	101412653	101413605	BRCA1:NM_009764	core_gene_TSS_peak	0
chr11	101412653	101413605	NBR1:NM_008676	core_gene_TSS_peak	0
chr11	101846141	101846766	1700006E09RIK:NM_029287	core_gene_genebody_peak	0
chr11	101846141	101846766	DUSP3:NM_028207	core_gene_genebody_peak	0
chr11	101876336	101877186	MPP3:NM_007863	core_gene_genebody_peak	0
chr11	102145606	102146521	TMUB2:NM_028076	core_gene_TSS_peak	0
chr11	102212560	102213308	SLC4A1:NM_011403	core_gene_genebody_peak	0
chr11	102269579	102270161	SLC25A39:NM_026542	core_gene_genebody_peak	0
chr11	102293407	102294453	GRN:NM_008175	core_gene_genebody_peak	0
chr11	102977660	102978973	HEXIM1:NM_138753	core_gene_genebody_peak	0
chr11	103128778	103129541	MAP3K14:NM_016896	core_gene_genebody_peak	0
chr11	103273987	103275144	PLEKHM1:NM_183034	core_gene_genebody_peak	0
chr11	104150015	104150499	MAPT:NM_010838:NM_001038609	core_gene_genebody_peak	0
chr11	104492485	104493011	ITGB3:NM_016780	core_gene_genebody_peak	0
chr11	104497984	104498923	ITGB3:NM_016780	core_gene_genebody_peak	0
chr11	105209158	105209539	MRC2:NM_008626	core_gene_genebody_peak	0
chr11	106054931	106055499	STRADA:NM_028126	core_gene_genebody_peak	0
chr11	106186068	106186786	SCN4A:NM_133199	core_gene_genebody_peak	0
chr11	106196514	106197090	SCN4A:NM_133199	core_gene_genebody_peak	0
chr11	106462933	106464160	TEX2:NM_198292	core_gene_genebody_peak	0
chr11	106967574	106968502	NM_176850:NM_176850	core_gene_genebody_peak	0
chr11	107304410	107305332	PITPNC1:NM_145823	core_gene_genebody_peak	0
chr11	108083695	108085066	PRKCA:NM_011101	core_gene_genebody_peak	0
chr11	108129520	108130386	PRKCA:NM_011101	core_gene_genebody_peak	0
chr11	108178893	108179737	PRKCA:NM_011101	core_gene_genebody_peak	0
chr11	108779335	108779690	AXIN2:NM_015732	core_gene_genebody_peak	0
chr11	109287273	109287723	AMZ2:NM_025275	core_gene_genebody_peak	0
chr11	112925998	112926483	AL604023.1:NR_015556	core_gene_genebody_peak	0
chr11	113351847	113353016	SLC39A11:NM_027216:NM_001166503	core_gene_genebody_peak	0
chr11	113407646	113408198	SLC39A11:NM_027216:NM_001166503	core_gene_genebody_peak	0
chr11	113929705	113930095	SDK2:NM_172800	core_gene_genebody_peak	0
chr11	114601621	114602586	DNAIC2:NM_001034878	core_gene_genebody_peak	0
chr11	114604327	114604803	DNAIC2:NM_001034878	core_gene_genebody_peak	0
chr11	114659254	114659697	BTBD17:NM_028055	core_gene_genebody_peak	0
chr11	114659254	114659697	GPR142:NM_181749	core_gene_genebody_peak	0
chr11	114712048	114713076	GPRC5C:NM_001110337:NM_001110338:NM_147217	core_gene_TSS_peak	0
chr11	115052775	115053390	TMEM104:NM_001033393	core_gene_genebody_peak	0
chr11	115336714	115337377	ARMC7:NM_177778	core_gene_TSS_peak	0
chr11	115560067	115560949	GRB2:NM_008163	core_gene_genebody_peak	0
chr11	115759782	115760318	2210020M01RIK:NM_183259	core_gene_genebody_peak	0
chr11	115759782	115760318	RECQL5:NM_130454	core_gene_genebody_peak	0
chr11	115760539	115761656	2210020M01RIK:NM_183259	core_gene_TSS_peak	0
chr11	115760539	115761656	RECQL5:NM_130454	core_gene_TSS_peak	0
chr11	115766369	115767178	2210020M01RIK:NM_183259	core_gene_genebody_peak	0
chr11	115766369	115767178	RECQL5:NM_130454	core_gene_genebody_peak	0
chr11	115794574	115795048	RECQL5:NM_130454	core_gene_TSS_peak	0
chr11	115794574	115795048	SAP30BP:NM_020483	core_gene_TSS_peak	0
chr11	115948095	115948862	WBP2:NM_016852	core_gene_TSS_peak	0
chr11	116115876	116116401	SRP68:NM_146032	core_gene_genebody_peak	0
chr11	116220027	116221451	RNF157:NM_027258	core_gene_genebody_peak	0
chr11	116230294	116231325	RNF157:NM_027258	core_gene_genebody_peak	0
chr11	116468103	116468806	RHBDF2:NM_001167680:NM_172572	core_gene_genebody_peak	0
chr11	116469006	116469526	RHBDF2:NM_001167680:NM_172572	core_gene_genebody_peak	0
chr11	116478724	116479352	RHBDF2:NM_001167680:NM_172572	core_gene_genebody_peak	0
chr11	117103493	117104383	SEPT9:NM_001113486:NM_001113487:NM_017380:NM_001113488	core_gene_genebody_peak	0
chr11	117126374	117127435	SEPT9:NM_001113486:NM_001113487:NM_017380:NM_001113488	core_gene_genebody_peak	0
chr11	117153532	117154210	SEPT9:NM_001113486:NM_001113487:NM_017380:NM_001113488	core_gene_genebody_peak	0
chr11	117169173	117170421	SEPT9:NM_001113486:NM_001113487:NM_017380:NM_001113488	core_gene_genebody_peak	0
chr11	117178531	117179817	SEPT9:NM_001113486:NM_001113487:NM_017380:NM_001113488	core_gene_genebody_peak	0
chr11	117188765	117189444	SEPT9:NM_001113486:NM_001113487:NM_017380:NM_001113488	core_gene_genebody_peak	0
chr11	117209490	117210457	SEPT9:NM_001113486:NM_001113487:NM_017380:NM_001113488	core_gene_genebody_peak	0
chr11	117210674	117212234	SEPT9:NM_001113486:NM_001113487:NM_017380:NM_001113488	core_gene_genebody_peak	0
chr11	117624259	117625121	TNRC6C:NM_198022	core_gene_genebody_peak	0
chr11	117642364	117642978	TMC6:NM_145439:NM_181321	core_gene_genebody_peak	0
chr11	117642364	117642978	TMC8:NM_181856	core_gene_genebody_peak	0
chr11	117659588	117660116	6030468B19RIK:NM_029964	core_gene_genebody_peak	0
chr11	11772437	11773123	DDC:NM_016672	core_gene_genebody_peak	0
chr11	117732883	117734040	THA1:NM_027919	core_gene_genebody_peak	0
chr11	118044098	118044631	CYTH1:NM_001112700:NM_001112699:NM_011180	core_gene_genebody_peak	0
chr11	118073024	118073659	CYTH1:NM_001112700:NM_001112699:NM_011180	core_gene_genebody_peak	0
chr11	118074022	118074592	CYTH1:NM_001112700:NM_001112699:NM_011180	core_gene_genebody_peak	0
chr11	118084934	118085342	CYTH1:NM_001112700:NM_001112699:NM_011180	core_gene_genebody_peak	0
chr11	118104825	118105897	CYTH1:NM_001112700:NM_001112699:NM_011180	core_gene_genebody_peak	0
chr11	118510830	118511713	D11BWG0517E:NM_001039167:NM_001039168:NM_001024931	core_gene_genebody_peak	0
chr11	118949565	118951226	CBX4:NM_007625	core_gene_genebody_peak	0
chr11	119011654	119012328	TBC1D16:NM_172443	core_gene_genebody_peak	0
chr11	119024117	119025134	TBC1D16:NM_172443	core_gene_genebody_peak	0
chr11	119051732	119052385	TBC1D16:NM_172443	core_gene_genebody_peak	0
chr11	119052601	119053522	TBC1D16:NM_172443	core_gene_genebody_peak	0
chr11	119838306	119838952	BAIAP2:NM_130862:NM_001037754:NM_001037755	core_gene_genebody_peak	0
chr11	120011873	120013040	SLC38A10:NM_001164800:NM_024249:NM_001164798:NM_001164799:NM_001164802:NM_001164801	core_gene_TSS_peak	0
chr11	120390648	120391004	GCGR:NM_008101	core_gene_genebody_peak	0
chr11	120438741	120439462	ARHGDIA:NM_133796	core_gene_genebody_peak	0
chr11	120488947	120489728	MAFG:NM_010756	core_gene_genebody_peak	0
chr11	120508751	120509578	NM_026751:NM_026751	core_gene_genebody_peak	0
chr11	120574336	120575530	LRRC45:NM_153545	core_gene_TSS_peak	0
chr11	120574336	120575530	STRA13:NM_016665	core_gene_TSS_peak	0
chr11	121065057	121065754	1110031I02RIK:NM_025402	core_gene_TSS_peak	0
chr11	121065057	121065754	HEXDC:NM_001001333:NM_001146073	core_gene_TSS_peak	0
chr11	121089333	121090023	BC017643:NM_144832	core_gene_genebody_peak	0
chr11	121097838	121098639	NARF:NM_026272	core_gene_TSS_peak	0
chr11	17092215	17092731	PPP3R1:NM_024459	core_gene_genebody_peak	0
chr11	19838454	19838819	SPRED2:NM_033523	core_gene_genebody_peak	0
chr11	20012228	20012605	ACTR2:NM_146243	core_gene_genebody_peak	0
chr1	120351306	120352076	CLASP1:NM_001081276:NM_177548:NM_029709	core_gene_genebody_peak	0
chr1	120355520	120356790	2900060B14RIK:NR_027901	core_gene_TSS_peak	0
chr1	120355520	120356790	CLASP1:NM_001081276:NM_177548:NM_029709	core_gene_TSS_peak	0
chr1	120467446	120467962	CLASP1:NM_001081276:NM_177548:NM_029709	core_gene_genebody_peak	0
chr11	20641578	20642000	AFTPH:NM_181411	core_gene_genebody_peak	0
chr1	122071518	122072118	3110009E18RIK:NM_028439:NM_001172074	core_gene_genebody_peak	0
chr11	22116958	22117664	EHBP1:NM_153078	core_gene_genebody_peak	0
chr1	122500334	122500778	EN1:NM_010133	core_gene_genebody_peak	0
chr11	22748215	22749003	B3GNT2:NM_016888:NM_001169114	core_gene_genebody_peak	0
chr11	22757496	22758082	B3GNT2:NM_016888:NM_001169114	core_gene_genebody_peak	0
chr1	128714007	128714987	NCKAP5:NM_172484:NM_001081756:NM_176957	core_gene_genebody_peak	0
chr11	29071944	29073315	SMEK2:NM_134034	core_gene_TSS_peak	0
chr1	129204310	129205278	MGAT5:NM_145128	core_gene_genebody_peak	0
chr1	129297217	129297687	MGAT5:NM_145128	core_gene_genebody_peak	0
chr1	129357603	129358088	MGAT5:NM_145128	core_gene_genebody_peak	0
chr1	129370239	129370738	MGAT5:NM_145128	core_gene_genebody_peak	0
chr1	129407719	129408469	TMEM163:NM_028135	core_gene_genebody_peak	0
chr1	129410970	129411739	TMEM163:NM_028135	core_gene_genebody_peak	0
chr1	129473533	129474128	TMEM163:NM_028135	core_gene_genebody_peak	0
chr1	129726626	129727465	YSK4:NM_011737	core_gene_genebody_peak	0
chr11	30059337	30060184	SPNB2:NM_175836:NM_009260	core_gene_genebody_peak	0
chr11	30097812	30098727	SPNB2:NM_175836:NM_009260	core_gene_genebody_peak	0
chr1	130215924	130216236	LCT:NM_001081078	core_gene_genebody_peak	0
chr11	3023472	3024136	NR_003517:NR_003517:NR_003518	core_gene_TSS_peak	0
chr1	13135335	13135885	NCOA2:NM_008678:NM_001077695	core_gene_genebody_peak	0
chr11	31913121	31913552	NSG2:NM_008741	core_gene_genebody_peak	0
chr11	3191940	3192531	PATZ1:NM_019574	core_gene_genebody_peak	0
chr1	13192266	13192892	NCOA2:NM_008678:NM_001077695	core_gene_genebody_peak	0
chr11	32442511	32443363	STK10:NM_009288	core_gene_genebody_peak	0
chr11	32450141	32450572	STK10:NM_009288	core_gene_genebody_peak	0
chr11	32461455	32462176	STK10:NM_009288	core_gene_genebody_peak	0
chr1	13278066	13278792	NCOA2:NM_008678:NM_001077695	core_gene_genebody_peak	0
chr1	133031688	133032161	DYRK3:NM_145508	core_gene_genebody_peak	0
chr1	133034906	133035659	DYRK3:NM_145508	core_gene_genebody_peak	0
chr1	133096040	133097108	RASSF5:NM_018750	core_gene_genebody_peak	0
chr1	133110975	133111856	RASSF5:NM_018750	core_gene_genebody_peak	0
chr1	133121291	133122099	RASSF5:NM_018750	core_gene_genebody_peak	0
chr1	133323989	133324518	SRGAP2:NM_001081011	core_gene_genebody_peak	0
chr1	133423297	133423558	FAM72A:NM_175382	core_gene_genebody_peak	0
chr1	133423297	133423558	SRGAP2:NM_001081011	core_gene_genebody_peak	0
chr11	3436917	3437651	SMTN:NM_001159284:NM_013870	core_gene_genebody_peak	0
chr1	134979619	134980210	PIK3C2B:NM_001099276	core_gene_genebody_peak	0
chr1	135029603	135030070	PPP1R15B:NM_133819	core_gene_genebody_peak	0
chr1	135586324	135587022	LAX1:NM_172842:NM_001159649	core_gene_TSS_peak	0
chr11	35691503	35692236	WWC1:NM_170779	core_gene_genebody_peak	0
chr1	136547915	136548831	SYT2:NM_009307	core_gene_genebody_peak	0
chr1	136576033	136576546	SYT2:NM_009307	core_gene_genebody_peak	0
chr1	136604925	136605773	SYT2:NM_009307	core_gene_genebody_peak	0
chr1	136674662	136675103	PPP1R12B:NM_001081307:NR_015606	core_gene_genebody_peak	0
chr1	136987456	136987886	LGR6:NM_001033409	core_gene_genebody_peak	0
chr1	136991719	136992391	LGR6:NM_001033409	core_gene_genebody_peak	0
chr1	137730764	137731281	TNNT2:NM_001130180:NM_001130179:NM_001130178:NM_001130177:NM_001130175:NM_001130174:NM_011619:NM_001130181:NM_001136083:NM_001130176	core_gene_genebody_peak	0
chr1	138015370	138016044	CACNA1S:NM_001081023:NM_014193	core_gene_genebody_peak	0
chr1	138032135	138032790	KIF21B:NM_001039472	core_gene_genebody_peak	0
chr1	138036642	138037295	KIF21B:NM_001039472	core_gene_genebody_peak	0
chr1	140032948	140033570	PTPRC:NM_011210:NM_001111316	core_gene_genebody_peak	0
chr1	140515561	140515986	NEK7:NM_021605	core_gene_genebody_peak	0
chr1	140932899	140933223	DENND1B:NM_001166501:NM_181347	core_gene_genebody_peak	0
chr1	141242939	141243658	CRB1:NM_133239	core_gene_genebody_peak	0
chr11	4136124	4137963	OSM:NM_001013365	core_gene_TSS_peak	0
chr11	4323682	4324161	HORMAD2:NM_029458	core_gene_genebody_peak	0
chr11	44283917	44284312	UBLCP1:NM_024475	core_gene_TSS_peak	0
chr11	44741854	44742305	EBF1:IMP_00002:NM_007897	core_gene_genebody_peak	0
chr11	44763782	44764333	EBF1:IMP_00002:NM_007897	core_gene_genebody_peak	0
chr11	46112420	46113011	CYFIP2:NM_133769	core_gene_genebody_peak	0
chr11	46122762	46123541	CYFIP2:NM_133769	core_gene_genebody_peak	0
chr11	46138110	46138772	ITK:NM_010583	core_gene_genebody_peak	0
chr11	46157475	46158381	ITK:NM_010583	core_gene_genebody_peak	0
chr11	46193467	46194182	ITK:NM_010583	core_gene_genebody_peak	0
chr11	46250153	46250870	MED7:NM_001104530:NM_001104557:NM_001104556:NM_025426	core_gene_TSS_peak	0
chr11	4682128	4682614	NF2:NM_010898	core_gene_genebody_peak	0
chr11	46963049	46963537	SGCD:NM_011891	core_gene_genebody_peak	0
chr11	48684388	48685272	IRGM1:NM_008326	core_gene_TSS_peak	0
chr1	14908662	14909162	TRPA1:NM_177781	core_gene_TSS_peak	0
chr11	4912068	4912820	AP1B1:NM_007454	core_gene_genebody_peak	0
chr11	49731959	49732467	RASGEF1C:NM_029004	core_gene_genebody_peak	0
chr11	4999150	4999568	EWSR1:NM_007968	core_gene_TSS_peak	0
chr11	4999150	4999568	RHBDD3:NM_177370	core_gene_TSS_peak	0
chr11	5028974	5029840	EMID1:NM_080595	core_gene_genebody_peak	0
chr11	5049089	5050211	EMID1:NM_080595	core_gene_genebody_peak	0
